 	le	pêcheur	apprend	à	son	enfant	à	pagayer	</S>
o	0.898359	0.0837273	0.00633227	0.00432738	0.00557613	0.000475947	0.000691526	0.000428627	8.19785e-05
l	0.0417366	0.933059	0.0197444	0.00206663	0.000867782	0.000283419	0.000561306	0.000625595	0.00105543
ώ	0.00781052	0.97421	0.00954607	0.00724248	0.000530415	3.38065e-05	0.00039737	1.30716e-05	0.000216323
b	0.0159523	0.818784	0.114995	0.0298026	0.00917489	0.00253771	0.00293193	0.00150221	0.00431929
h	0.149171	0.203891	0.279969	0.0933186	0.0376359	0.0145106	0.0408702	0.0073405	0.173293
i	0.438253	0.31471	0.051198	0.0270889	0.0125113	0.0131971	0.00689878	0.00322074	0.132921
l	0.183574	0.0421936	0.682426	0.039112	0.00922754	0.0102689	0.0104392	0.000174124	0.0225844
á	0.127144	0.0210724	0.578714	0.0607734	0.0440838	0.0136591	0.0266995	0.000692522	0.127162
a	0.653519	0.00446187	0.127187	0.0470974	0.094669	0.0518604	0.0100181	0.000249361	0.0109383
y	0.00738451	0.0144853	0.791841	0.159799	0.00816984	0.00554333	0.00401317	0.000386109	0.00837782
é	0.0069755	0.000702828	0.895225	0.0822788	0.00944952	0.00111005	0.00264584	7.19271e-06	0.00160515
s	0.0349872	0.00275964	0.600555	0.240102	0.0506022	0.00453584	0.0174488	0.000196674	0.0488128
á	0.0445344	0.0019024	0.700243	0.199336	0.0309965	0.00155101	0.0102655	0.00027785	0.0108929
á	0.0195628	0.00244436	0.193825	0.229445	0.397562	0.0877389	0.0291006	0.00236512	0.0379561
m	0.01033	0.000482134	0.085045	0.190327	0.432049	0.201778	0.0559703	0.00915951	0.0148591
w	0.00269549	0.000204884	0.00101123	0.0355242	0.0750764	0.80607	0.0483488	0.000251083	0.0308183
á	0.000862479	0.000283237	0.0018381	0.0914485	0.126612	0.737768	0.0296191	0.000958352	0.0106098
n	0.0138389	0.000147539	0.00180449	0.0159631	0.107861	0.801086	0.00990701	0.0112813	0.0381107
a	0.0329914	0.00334049	0.0137449	0.103567	0.330523	0.42075	0.0185908	0.00152029	0.0749725
i	0.00622363	0.00194247	0.136208	0.125728	0.247489	0.199697	0.235336	0.0150922	0.0322832
d	0.0105404	0.00473841	0.0241563	0.126496	0.114749	0.167795	0.288292	0.00438421	0.258848
ú	0.00297239	0.000640659	0.0213206	0.126665	0.0802504	0.0285815	0.422772	0.000393311	0.316404
a	0.00103698	5.10862e-05	0.00225913	0.0451886	0.021256	0.00932995	0.784684	0.00637853	0.129815
l	0.00101833	0.000407521	0.0117888	0.0362773	0.0244195	0.00843123	0.378607	0.0738165	0.465234
á	0.00393039	0.00181775	0.0889237	0.134277	0.0312985	0.0111913	0.349697	0.00787915	0.370986
b	0.00429043	0.000503315	0.0156445	0.0780924	0.17199	0.0303223	0.406302	0.13953	0.153325
v	0.00954149	0.00140035	0.00446476	0.0360764	0.0484299	0.0514613	0.0962767	0.733384	0.0189649
á	0.000417498	8.04046e-05	5.40079e-05	0.00545054	0.0114005	0.0103969	0.0298611	0.919538	0.0228007
r	0.000618622	7.62801e-05	0.000425961	0.00629905	0.0169579	0.0583359	0.0477236	0.758869	0.110694
e	0.00238639	0.000518507	0.00266683	0.0464447	0.134455	0.112812	0.334284	0.0966553	0.269777
</S>	0.000869945	0.00056901	0.00804345	0.0201639	0.0593763	0.0313783	0.281966	0.152155	0.445478
