 	ton	enfant-ci	est	têtu	</S>
m	0.725004	0.248609	0.0133601	0.010523	0.00250401
w	0.0902311	0.744672	0.109899	0.00542363	0.0497736
á	0.0723795	0.916239	0.00597076	0.00297427	0.00243664
n	0.626788	0.358027	0.00320488	0.000427211	0.0115525
a	0.0886985	0.63828	0.0815202	0.00626463	0.185237
y	0.669707	0.221748	0.0721613	0.0173533	0.0190303
a	0.362267	0.29688	0.178766	0.0777119	0.0843749
n	0.646803	0.279133	0.0503446	0.00788941	0.0158298
ω	0.704997	0.288759	0.00299396	0.000425987	0.00282383
w	0.0469905	0.312385	0.496338	0.0540208	0.0902664
ó	0.384773	0.318054	0.157357	0.0421741	0.097641
a	0.0530169	0.0549564	0.554648	0.15774	0.17964
d	0.0442012	0.0150066	0.664343	0.107075	0.169374
í	0.0137285	0.00574525	0.324552	0.0227003	0.633274
a	0.277027	0.00566484	0.154918	0.238165	0.324226
t	0.0183693	0.0033865	0.086576	0.704085	0.187583
ú	0.00210358	0.0013071	0.0439691	0.777949	0.174671
e	0.00594059	0.00123919	0.0257335	0.600571	0.366515
k	0.0066447	0.00100922	0.0582236	0.286136	0.647987
a	0.0552618	0.00266471	0.0216664	0.55369	0.366718
á	0.00335488	0.00152416	0.0137386	0.178947	0.802435
</S>	0.0138863	0.00371201	0.0969032	0.0658367	0.819662
