 	il	est	brimé	par	son	chef	</S>
o	0.0982279	0.0916235	0.257001	0.45028	0.0553163	0.0247025	0.0228491
k	0.00518142	0.0205587	0.0942602	0.0118502	0.0136883	0.821832	0.0326297
o	0.00399802	0.00762184	0.0522147	0.00560111	0.00516768	0.905099	0.0202982
n	0.00038413	0.00549629	0.199919	0.009385	0.00553709	0.77242	0.00685761
d	0.0527938	0.0705409	0.23072	0.0165851	0.0288568	0.571273	0.02923
z	0.0954422	0.0714661	0.388353	0.0185714	0.00380106	0.372876	0.0494898
i	0.0812592	0.0763223	0.705231	0.0137786	0.00708149	0.0917977	0.0245295
a	0.136016	0.140441	0.0432443	0.332354	0.225896	0.0074519	0.114596
k	0.0609244	0.0641801	0.00759603	0.184697	0.369693	0.0276281	0.285281
y	0.00628996	0.00925267	0.0199827	0.0575766	0.167228	0.482916	0.256754
ε	0.0488173	0.0286794	0.0218461	0.035872	0.281732	0.468454	0.114599
l	0.00356074	0.00942421	0.00960213	0.0575682	0.211089	0.184477	0.524279
i	0.0147902	0.0144499	0.011936	0.0493851	0.414596	0.0598853	0.434957
i	0.0261927	0.0297109	0.00412909	0.0522632	0.396302	0.0029538	0.488449
w	0.0356142	0.0383305	0.00670371	0.0231151	0.0899629	0.0286745	0.777599
a	0.0344424	0.0715841	0.0219956	0.0721491	0.494722	0.0165352	0.288572
</S>	0.0303084	0.0357416	0.00997271	0.0280092	0.245973	0.00922665	0.640768
