 	une	femme	enceinte	porte	des	habits	amples	</S>
o	0.937939	0.0187875	0.00298591	0.0147462	0.0151196	0.00950539	0.00027101	0.00064486
y	0.139161	0.813473	0.00562095	0.0063329	0.002054	0.00461492	0.0252392	0.0035043
ú	0.939741	0.0467331	0.0030467	0.00368408	0.00112042	0.000984284	0.00389913	0.000790949
r	0.739788	0.0423288	0.0171505	0.0466458	0.0230698	0.00934661	0.0910717	0.0305989
u	0.819457	0.102052	0.0173524	0.0184851	0.0112217	0.0112356	0.0066932	0.0135028
y	0.403416	0.240295	0.162865	0.0295038	0.0416828	0.029886	0.00810656	0.0842456
e	0.53373	0.137416	0.194066	0.0270662	0.0322529	0.0205412	0.0223203	0.0326076
e	0.774858	0.0159348	0.129961	0.0293753	0.0229784	0.00834587	0.0047587	0.0137879
d	0.0305561	0.0192033	0.688985	0.112801	0.0105195	0.0816098	0.0210357	0.0352898
í	0.055067	0.00676709	0.585529	0.0663649	0.0134735	0.0243783	0.028713	0.219707
s	0.0348688	0.00638157	0.714237	0.0770563	0.0216721	0.0140954	0.0110151	0.120674
ε	0.0598842	0.0077671	0.58282	0.149418	0.0905171	0.0326431	0.0149591	0.0619914
n	0.0304698	0.000570531	0.503146	0.259064	0.158729	0.0169165	0.00501712	0.0260872
g	0.0316858	0.00123012	0.447111	0.361661	0.0793831	0.0204481	0.0220924	0.0363884
έ	0.0738157	0.00681186	0.304811	0.356846	0.101914	0.022435	0.054626	0.0787404
l	0.00781201	8.17194e-05	0.169124	0.3605	0.387072	0.0464498	0.00462003	0.0243399
á	0.00476063	0.000197	0.285007	0.268035	0.142911	0.121067	0.0164207	0.161602
a	0.016029	0.000290727	0.0401664	0.181828	0.509406	0.188938	0.0316325	0.0317091
l	0.00143842	0.000595678	0.0438642	0.132408	0.108253	0.60472	0.0933639	0.015357
á	0.00103926	0.000435847	0.0804064	0.216222	0.0671131	0.418401	0.0620118	0.154371
r	0.00190584	0.000122726	0.0397228	0.13786	0.200308	0.281104	0.129038	0.209939
á	0.000763308	1.17714e-05	0.0727858	0.346341	0.278455	0.204815	0.0552565	0.041572
i	0.005699	0.000162534	0.0298259	0.0799433	0.429009	0.338244	0.0587771	0.0583395
k	0.000922232	0.00012187	0.00615562	0.0193872	0.0307468	0.430483	0.421273	0.0909102
á	0.00010886	1.59598e-05	0.00228312	0.0465307	0.0288	0.601341	0.230874	0.0900465
n	0.00843733	6.75168e-05	0.0132642	0.107694	0.182207	0.474541	0.0499956	0.163793
d	0.000792947	1.03007e-05	0.00544078	0.101209	0.102613	0.421155	0.183816	0.184962
á	0.000628584	9.97486e-05	0.00614683	0.0450772	0.0320241	0.152424	0.618573	0.145027
m	0.00202616	6.78654e-05	0.0102147	0.0326024	0.0661539	0.134036	0.329982	0.424917
á	0.0170493	0.00591325	0.0509509	0.0122173	0.0825885	0.071436	0.0702979	0.689547
w	0.00242069	0.000564042	0.00491812	0.019871	0.0570213	0.0749222	0.232969	0.607314
ó	0.00451404	0.000224055	0.0128242	0.0349078	0.0530388	0.075072	0.580105	0.239314
n	0.000235396	2.85312e-05	0.00117734	0.00358535	0.00619364	0.0340906	0.75424	0.20045
g	0.00593327	0.00021869	0.014889	0.0419491	0.0289481	0.0782257	0.487969	0.341868
ó	0.000857923	4.37263e-05	0.00357746	0.037051	0.0207036	0.0329802	0.687568	0.217218
l	0.0017862	0.000183877	0.00668236	0.0203026	0.0325683	0.0500989	0.320732	0.567645
o	0.00379498	9.03255e-05	0.0157546	0.0332346	0.01633	0.0517627	0.366484	0.512549
</S>	0.00496031	0.000718997	0.00565949	0.00800086	0.0158425	0.0184188	0.231174	0.715225
