 	notre	père	a	cueilli	du	koko	aux	feuilles	larges	lorsqu'	il	abattait	les	arbres	dans	son	champ	</S>
t	0.441987	0.528606	0.0102327	0.0011543	0.00241839	0.00399112	0.00320491	0.00261008	0.00430592	0.000439422	0.000261365	0.000155642	0.000185742	4.91575e-05	6.65537e-05	0.000217939	0.000100593	1.35038e-05
á	0.0277656	0.934069	0.00966646	0.00204865	0.00501393	0.00678034	0.00328881	0.00419449	0.00520505	0.000397641	0.000426081	0.000178869	0.000141103	0.000135786	0.000119612	0.000477713	8.17152e-05	9.0027e-06
á	0.00301445	0.883303	0.00669037	0.00402105	0.00801696	0.0155475	0.00957026	0.018409	0.0139573	0.0108438	0.0100241	0.00217981	0.00275271	0.0033263	0.00285406	0.00315835	0.000130721	0.00220037
y	0.3549	0.371455	0.128679	0.00745081	0.0133014	0.00123814	0.00766326	0.00684679	0.00511744	0.017317	0.0121179	0.00245622	0.0178498	0.00610558	0.00934335	0.0127165	0.00054457	0.0248978
a	0.163091	0.217016	0.126502	0.0998326	0.0348453	0.0174436	0.0191653	0.0280571	0.0397283	0.0630002	0.0494656	0.0171493	0.0330737	0.00993461	0.017383	0.0177424	0.00399671	0.042574
b	0.909006	0.0550539	0.0149619	0.00238956	0.00173879	0.000607632	0.000645304	0.000534838	0.00214656	0.00139271	0.00117805	0.000304534	0.00143755	0.000263633	0.0005605	0.000826648	0.000201018	0.00675145
í	0.934024	0.00728059	0.020926	0.00936929	0.00392075	0.00167888	0.00303032	0.00131546	0.00259654	0.0022731	0.00313187	0.00150252	0.0028171	0.00384168	0.000499106	0.000870669	5.12394e-05	0.000870813
s	0.950772	0.0350247	0.00504168	0.00053783	0.00064191	0.000992475	0.000802129	0.000285041	0.000454557	0.000371931	0.000501973	0.000163529	0.000480975	0.00181122	0.000152268	0.000617504	3.22122e-05	0.00131605
í	0.4459	0.0420539	0.0201139	0.00779839	0.0185288	0.0202083	0.0152586	0.0106048	0.171729	0.0219768	0.0232327	0.00457066	0.0663057	0.0117341	0.027148	0.0227921	0.0178237	0.0522202
á	0.0325914	0.132893	0.46738	0.133631	0.0814778	0.00984543	0.0207263	0.013744	0.0105918	0.0218457	0.0191841	0.00570539	0.0137842	0.00621442	0.010502	0.00617282	0.000753225	0.0129575
