 	sa	soeur	lui	parle	impoliment	</S>
b	0.521848	0.407116	0.0628831	0.00522488	0.00234582	0.000582222
o	0.140253	0.713077	0.0756448	0.0067661	0.0638193	0.000439492
l	0.0234515	0.914581	0.0290657	0.0122691	0.00807414	0.0125589
a	0.178486	0.707318	0.0707942	0.0084802	0.00954333	0.0253792
b	0.542578	0.0295704	0.354366	0.0256636	0.00174655	0.0460751
ó	0.202409	0.0114716	0.529035	0.0923466	0.0322883	0.132449
b	0.276667	0.00562455	0.441313	0.203118	0.00545209	0.0678252
ó	0.356208	0.00481498	0.412087	0.125004	0.0771574	0.0247282
o	0.250497	0.00694129	0.434666	0.257278	0.0146072	0.0360099
k	0.00620811	0.00276954	0.0362831	0.818002	0.110926	0.0258112
y	0.001673	0.0104305	0.0579836	0.599409	0.279476	0.051028
a	0.0354615	0.00635204	0.0868263	0.482012	0.304738	0.0846097
w	0.0151122	0.00148444	0.229832	0.379668	0.201263	0.172641
á	0.0641204	0.00742447	0.315529	0.283399	0.217026	0.112502
o	0.0128455	0.00118762	0.0743997	0.0921986	0.398725	0.420644
n	0.00649959	0.00130478	0.00480809	0.0250243	0.790326	0.172038
ω	0.0264922	0.000381016	0.0220414	0.0322264	0.575905	0.342954
ω	0.00348754	0.000786726	0.0508936	0.0714469	0.101539	0.771846
</S>	0.0189	0.000219476	0.0124967	0.00532796	0.0532291	0.909827
