 	il	ne	me	cause	pas	</S>
w	0.667983	0.204948	0.0910886	0.0303118	0.00360079	0.00206722
a	0.694638	0.128759	0.0845671	0.0744103	0.0139648	0.00366103
a	0.231953	0.419934	0.139184	0.0970299	0.0135883	0.0983107
d	0.055055	0.406164	0.149849	0.214976	0.0905426	0.083414
i	0.0485422	0.341889	0.0528053	0.173688	0.0231923	0.359883
í	0.0300119	0.171802	0.130426	0.20699	0.0732181	0.387552
n	0.0233007	0.0549076	0.562913	0.231263	0.0672306	0.0603853
g	0.0360604	0.0189299	0.867727	0.0354594	0.00789427	0.033929
á	0.019241	0.0270605	0.876854	0.0421051	0.0138875	0.0208518
o	0.10648	0.131221	0.0661911	0.336321	0.188981	0.170806
m	0.0023415	0.0614479	0.0133306	0.109116	0.740587	0.0731775
ω	0.00742254	0.0701534	0.0125461	0.225876	0.247938	0.436064
ω	0.00652997	0.0369161	0.0134822	0.112524	0.497619	0.332929
s	0.00563679	0.0150721	0.0216309	0.130972	0.314911	0.511777
ω	0.0222193	0.0755416	0.102026	0.181808	0.381115	0.237291
k	0.0108911	0.0179559	0.149326	0.151533	0.378329	0.291966
a	0.00541131	0.036522	0.0298441	0.055205	0.628921	0.244097
á	0.000483965	0.00551341	0.00346367	0.0123292	0.142837	0.835373
</S>	0.01751	0.00965652	0.0513544	0.0648416	0.117418	0.73922
