 	nous	revenons	de	là-bas	</S>
b	0.957592	0.027973	0.00898408	0.00486166	0.000589188
í	0.85889	0.0861614	0.0517152	0.00251579	0.000717197
s	0.967377	0.0287353	0.00328827	0.000456122	0.000143537
í	0.60137	0.20771	0.134106	0.0207248	0.0360891
l	0.0407391	0.329426	0.09382	0.0664086	0.469606
é	0.0148159	0.232505	0.293178	0.0393385	0.420163
w	0.00561829	0.899942	0.0698898	0.00832552	0.0162245
ú	0.0253546	0.207769	0.264582	0.169624	0.33267
r	0.153749	0.0557794	0.339169	0.177945	0.273358
u	0.0298567	0.0973943	0.619362	0.10064	0.152747
w	0.00715773	0.0576549	0.533103	0.214281	0.187803
ó	0.0280786	0.0595694	0.460273	0.404283	0.0477958
o	0.00484442	0.00898054	0.0980261	0.577643	0.310506
</S>	0.000314838	0.0069304	0.116342	0.631929	0.244484
