 	les	vieux	récitent	des	contes	</S>
b	0.694872	0.219065	0.0803775	0.00454531	0.00106417	7.53497e-05
a	0.0969078	0.349801	0.500937	0.0486506	0.0026839	0.0010196
r	0.0603977	0.61653	0.314802	0.00590179	0.000269801	0.00209861
e	0.339213	0.610287	0.0382022	0.00411983	0.000117579	0.00806047
b	0.348919	0.298052	0.207416	0.0943521	0.00896184	0.0422996
á	0.116568	0.216796	0.222438	0.346335	0.0175063	0.0803567
k	0.0530076	0.119758	0.638554	0.145406	0.0139578	0.0293173
a	0.0274655	0.129609	0.62534	0.0626905	0.127192	0.0277037
l	0.00956705	0.0770568	0.516805	0.186556	0.111739	0.0982767
a	0.0561032	0.0465693	0.454261	0.214907	0.105242	0.122918
b	0.0274502	0.0224054	0.107344	0.552052	0.161173	0.129574
á	0.0904867	0.0832957	0.150377	0.411424	0.114973	0.149444
a	0.0410162	0.0252467	0.28814	0.46611	0.104778	0.0747102
k	0.00324548	0.00368161	0.00784543	0.138081	0.433443	0.413703
y	0.00140526	0.00310645	0.026962	0.0634865	0.518746	0.386294
á	0.0201236	0.0259728	0.0380581	0.081536	0.679069	0.15524
i	0.00397011	0.011505	0.0212767	0.147481	0.476211	0.339556
t	0.00217137	0.00416972	0.00173823	0.0273194	0.131048	0.833553
í	0.00336374	0.00745438	0.0056272	0.0822437	0.299186	0.602125
a	0.00201052	0.00522626	0.0363381	0.0520143	0.334888	0.569522
</S>	0.0186759	0.0212494	0.00473564	0.102082	0.0941131	0.759144
