 	l'	homme	qui	venait	dans	cette	route	a	bifurqué	à	gauche	</S>
m	0.586154	0.296173	0.0328412	0.00265389	0.00957054	0.0113126	0.0402176	0.0181241	0.000173431	0.00236345	0.00028659	0.000129562
o	0.353519	0.491558	0.0337932	0.00944485	0.00777173	0.00633937	0.00184733	0.0226751	0.000871936	0.0118889	0.0212231	0.0390678
r	0.437473	0.47723	0.0145845	0.0252274	0.00506769	0.00595548	0.00471555	0.0046972	0.00144085	0.00107299	0.000660185	0.0218745
o	0.514094	0.175975	0.0521458	0.0197147	0.0154116	0.0555364	0.0141593	0.0199274	0.00247062	0.0163105	0.0980164	0.016238
y	0.40474	0.11866	0.398672	0.0242804	0.0115961	0.00850386	0.00339653	0.00834104	0.0037671	0.00585886	0.00220336	0.00998057
e	0.390746	0.0673409	0.215908	0.0545333	0.0402975	0.093049	0.0152033	0.0545946	0.00903417	0.0177994	0.0136183	0.0278747
é	0.36236	0.0304398	0.351039	0.0436756	0.0207515	0.0411935	0.0197588	0.0216023	0.00323167	0.0153679	0.0181067	0.0724726
d	0.0330154	0.0221861	0.151743	0.527438	0.0781691	0.0180898	0.011272	0.0242283	0.0788945	0.0222811	0.00158438	0.0310978
z	0.00432114	0.00585221	0.0412229	0.69078	0.0903207	0.0199365	0.0011631	0.00703802	0.0496919	0.014897	0.000601097	0.0741758
e	0.0544225	0.0056386	0.0435811	0.844963	0.0164753	0.0166245	0.00140122	0.0040206	0.00610417	0.00127967	0.000102347	0.00538725
l	0.00898275	0.00517889	0.253461	0.198413	0.179163	0.0835012	0.0430813	0.0293529	0.0403234	0.0538727	0.00499849	0.0996708
á	0.00537728	0.00390546	0.110608	0.0854244	0.0788329	0.0589337	0.0225813	0.043704	0.00842144	0.0631554	0.0244903	0.494566
a	0.0712553	0.0183563	0.0792431	0.0943392	0.155331	0.116782	0.106412	0.081792	0.0100169	0.0423018	0.0409893	0.183182
y	0.00192732	0.0145548	0.00800905	0.437015	0.180823	0.0457282	0.0545868	0.00681244	0.198211	0.0155356	0.00929556	0.0275017
a	0.000620077	0.0010063	0.00601452	0.598201	0.0910308	0.073251	0.0219064	0.00144584	0.151254	0.0104138	0.00948144	0.0353742
á	0.00238731	0.000767173	0.0220693	0.2548	0.176994	0.215037	0.0225272	0.00480971	0.0957901	0.022341	0.00526547	0.177213
m	0.0014449	0.000541552	0.0387775	0.0614311	0.281857	0.240818	0.105635	0.148568	0.037855	0.0196209	0.00165842	0.0617929
ó	0.0158347	0.0120586	0.0524673	0.0479248	0.273109	0.325114	0.0313614	0.177064	0.0100589	0.0198031	0.00386392	0.0313398
k	0.00568293	0.00251342	0.0111727	0.0234256	0.122747	0.148653	0.376685	0.13154	0.0841135	0.0391844	0.0104124	0.0438707
ó	0.001492	0.00325184	0.00362419	0.00415856	0.0519416	0.0678921	0.751303	0.0359915	0.0453295	0.0193077	0.00433342	0.0113747
ó	0.000186012	0.00111281	0.00668799	0.00806809	0.0822904	0.0899794	0.54645	0.0782233	0.0941222	0.029131	0.0040398	0.0597092
w	0.00371397	0.000755276	0.0234356	0.00412298	0.0540846	0.108783	0.0889987	0.508029	0.109811	0.0654372	0.00245204	0.0303758
ó	0.00409313	0.00202422	0.0502516	0.00637201	0.072327	0.153789	0.212559	0.13323	0.0529433	0.120306	0.0518422	0.140263
á	0.00688423	0.000493418	0.0135102	0.00211614	0.0211157	0.0669522	0.131455	0.310312	0.119948	0.11678	0.022208	0.188225
p	0.00343717	0.000810678	0.0130688	0.0262787	0.0301807	0.0172708	0.011066	0.0811528	0.580123	0.158915	0.00714966	0.0705471
a	4.7185e-05	0.000150626	0.0012791	0.00516937	0.0197121	0.0156374	0.0471293	0.0237283	0.724309	0.096281	0.0063139	0.0602431
s	0.000160073	7.27032e-05	0.00226542	0.00175879	0.0165462	0.0247767	0.0960407	0.0479129	0.583262	0.144267	0.0060341	0.076904
i	0.000604356	0.000179823	0.00156172	0.00353741	0.0238279	0.0414847	0.0648736	0.0712544	0.496196	0.15351	0.0266641	0.116305
m	0.00190368	0.000203751	0.00974819	0.00342812	0.0245906	0.0563329	0.032102	0.203657	0.147378	0.226719	0.0354789	0.258458
é	0.0137088	0.0025994	0.00443489	0.0073993	0.0370978	0.109832	0.00539191	0.174242	0.0132664	0.154455	0.299556	0.178016
b	0.00190214	0.000733066	0.00193517	0.00245185	0.0115731	0.0231753	0.0160444	0.146454	0.0256663	0.244628	0.248146	0.27729
ώ	0.00416812	0.00801825	0.00238506	0.00120039	0.0140981	0.0103359	0.0230147	0.0744112	0.0660412	0.477565	0.217181	0.101582
ω	0.000183126	0.000309556	0.000538619	0.000208707	0.00674469	0.0153139	0.0425426	0.0500162	0.0273121	0.260331	0.469686	0.126813
y	0.00127685	0.000179274	0.00256777	0.000558015	0.00654926	0.0163855	0.00424705	0.0694805	0.0264049	0.45674	0.182967	0.232644
é	0.0134099	0.00172784	0.0323502	0.00780332	0.025124	0.0681948	0.0168626	0.0573365	0.0426556	0.232978	0.386517	0.11504
w	0.00687027	0.00087044	0.00943803	0.00398762	0.0121863	0.03234	0.022891	0.0586173	0.0161259	0.228007	0.305165	0.303502
ε	0.00458402	0.00231991	0.00780201	0.00239383	0.0195263	0.0378809	0.0298318	0.0808214	0.0119615	0.337238	0.290557	0.175084
s	0.000431274	0.000125757	0.000467975	0.000693824	0.00384494	0.00628621	0.01211	0.035947	0.0361395	0.188845	0.244682	0.470426
έ	9.12106e-05	9.33042e-05	0.000347567	0.00135071	0.00687403	0.0115522	0.00436423	0.00734672	0.145838	0.265847	0.379776	0.176519
