 	le	forgeron	fabrique	une	houe	</S>
o	0.97229	0.0187659	0.00647548	0.00201521	0.000388955	6.45582e-05
k	0.0951518	0.882316	0.0187392	0.00149861	0.00125023	0.00104419
u	0.00138968	0.995513	0.00124558	0.000328167	0.000580567	0.000943272
b	0.000209221	0.99592	0.000869176	0.000986911	0.000377643	0.00163662
h	0.305643	0.610273	0.0373571	0.0106118	0.0137732	0.0223413
a	0.386888	0.349255	0.221611	0.00664514	0.00143441	0.0341665
l	0.348792	0.123598	0.436813	0.0560999	0.0110709	0.0236263
á	0.242733	0.013633	0.313853	0.0640797	0.0327361	0.332965
a	0.68802	0.00380605	0.15822	0.0948369	0.0258752	0.0292419
t	0.0200364	0.134525	0.632755	0.17455	0.0148982	0.0232349
u	0.00816313	0.0536593	0.56659	0.313776	0.0163516	0.04146
á	0.014412	0.0281535	0.24162	0.31177	0.0265833	0.377461
e	0.00901148	0.00293719	0.0950605	0.387838	0.437771	0.0673815
s	0.00287485	0.00175854	0.0368277	0.258879	0.58782	0.111841
έ	0.000442882	8.57065e-05	0.00116795	0.0407477	0.910938	0.0466178
έ	0.000194425	0.000147276	0.00183529	0.0239384	0.816978	0.156907
</S>	0.00419235	0.00033458	0.0052036	0.153699	0.540905	0.295665
