 	elle	a	des	cheveux	bouclés	</S>
w	0.936855	0.0381359	0.014672	0.0088497	0.000748359	0.000738572
a	0.926451	0.0329843	0.0130024	0.0262362	0.000701021	0.000624795
d	0.353526	0.501302	0.0603544	0.0523235	0.00442113	0.0280724
í	0.521713	0.207902	0.134645	0.0315852	0.00219716	0.101957
l	0.439067	0.176525	0.0918874	0.026552	0.0291471	0.236821
a	0.254986	0.293807	0.181326	0.154995	0.0182754	0.0966115
s	0.0699959	0.248596	0.308164	0.301809	0.0274796	0.0439565
u	0.00713895	0.213902	0.310561	0.402041	0.0053526	0.0610052
é	0.00664216	0.0222167	0.137523	0.756971	0.0397928	0.036854
e	0.00376547	0.050405	0.267283	0.585888	0.0627371	0.0299213
d	0.00153333	0.0273285	0.253347	0.361949	0.266177	0.0896653
í	0.000199667	0.00469766	0.0767982	0.289681	0.486977	0.141647
n	0.000160015	0.00154525	0.0169273	0.0372449	0.80806	0.136063
g	0.000565179	0.00783478	0.0805866	0.54744	0.30453	0.0590438
í	0.000176969	0.00196138	0.040869	0.54142	0.341858	0.0737149
l	0.000132688	0.0036794	0.0658333	0.200455	0.508957	0.220943
á	0.000709411	0.00767396	0.0647907	0.150291	0.487262	0.289273
d	0.000406855	0.00301528	0.0136005	0.127965	0.583242	0.27177
i	0.000107814	0.00026371	0.00169759	0.00845207	0.906333	0.0831454
n	5.13084e-05	0.000358864	0.00345644	0.0105515	0.813861	0.171721
g	0.000183386	0.00225993	0.0234448	0.060783	0.480235	0.433094
i	4.19092e-05	0.000275589	0.00558531	0.071625	0.379622	0.54285
l	0.000128263	0.00128892	0.00656792	0.0317304	0.123714	0.836571
a	0.0013956	0.0101809	0.0435694	0.0507219	0.185087	0.709045
</S>	0.00034223	0.00170765	0.00638575	0.0233254	0.154951	0.813288
