 	as-tu	écouté	leurs	voix	</S>
n	0.797119	0.0578394	0.131547	0.00503744	0.00845664
ω	0.993505	0.00136472	0.00401384	0.000535569	0.000581324
ó	0.456481	0.419318	0.0480924	0.0461029	0.0300061
w	0.0137273	0.522385	0.238154	0.0335741	0.19216
ó	0.0194866	0.532339	0.160866	0.122807	0.164502
i	0.013359	0.285658	0.446321	0.141205	0.113457
d	0.0251428	0.0209037	0.6749	0.159781	0.119273
z	0.00127944	0.0162542	0.169736	0.669922	0.142809
ú	0.00165202	0.000361841	0.00218657	0.984541	0.0112587
e	0.0150216	0.000859144	0.00954974	0.933033	0.041536
l	0.00652856	0.0080938	0.353215	0.0703646	0.561798
á	0.00438331	0.00821859	0.38032	0.0846071	0.522471
b	0.0120167	0.00622479	0.70891	0.0451612	0.227687
á	0.129371	0.0056474	0.705032	0.0170124	0.142938
a	0.0718593	0.00967657	0.648925	0.0439339	0.225605
</S>	0.000759749	0.0133714	0.087399	0.0229579	0.875512
