 	j'	ai	laissé	la	maison	ouverte	</S>
n	0.973713	0.0213243	0.000610133	0.00132553	0.00227231	0.000631984	0.00012244
g	0.931376	0.0483663	0.00554757	0.00317903	0.0114306	4.58003e-05	5.51056e-05
á	0.662716	0.266343	0.0147126	0.0134363	0.0427017	2.31962e-05	6.7308e-05
í	0.0479437	0.280783	0.264634	0.218534	0.0100676	0.00319151	0.174846
y	0.00778529	0.106949	0.760018	0.0918149	0.0160496	0.00891856	0.00846504
í	0.00235166	0.0144407	0.854208	0.0925032	0.0226094	0.00460086	0.0092862
i	0.0683753	0.0365004	0.470915	0.37113	0.043068	0.0026208	0.00738989
n	0.0050774	0.051011	0.129397	0.488384	0.235806	0.0508315	0.0394938
d	0.0148498	0.0360028	0.0886004	0.311494	0.534801	0.00593226	0.00831962
é	0.00991829	0.0128443	0.0631995	0.146231	0.756741	0.00134456	0.00972154
e	0.00577566	0.0290746	0.0231338	0.410309	0.22329	0.048841	0.259576
b	0.000643624	0.00326385	0.0113777	0.145353	0.198008	0.429951	0.211403
h	0.000380235	0.000993104	0.00916759	0.0331116	0.00490114	0.81079	0.140656
ó	3.25077e-05	0.000139241	0.00551788	0.0405194	0.0165379	0.799351	0.137903
ó	0.000452893	0.00399962	0.0494827	0.142097	0.0221131	0.294501	0.487354
</S>	9.65439e-05	0.000760989	0.0113207	0.0648978	0.0395837	0.426966	0.456374
