 	il	se	met	à	l'	abri	du	soleil	</S>
w	0.416707	0.281653	0.137718	0.0518253	0.0530794	0.03595	0.0212254	0.00138025	0.000462212
a	0.392527	0.307581	0.0775053	0.0451557	0.0793715	0.0265075	0.0482331	0.0218931	0.00122585
l	0.0577457	0.385154	0.332945	0.133805	0.0570625	0.00972298	0.0177441	0.00182951	0.00399147
á	0.0483376	0.193813	0.142285	0.0852697	0.0656519	0.020012	0.0277884	0.139193	0.27765
a	0.0884876	0.137419	0.31391	0.20258	0.0987626	0.0208474	0.0269097	0.0398016	0.0712817
d	0.0125672	0.087309	0.258269	0.347841	0.0944786	0.104476	0.00853998	0.0111705	0.0753487
u	0.00372617	0.0274199	0.142866	0.589119	0.0802913	0.105501	0.00592968	0.00350758	0.0416385
m	0.0569957	0.0705192	0.296532	0.428374	0.096598	0.0137985	0.0172399	0.00651244	0.013431
á	0.0166434	0.0531307	0.171775	0.395149	0.238275	0.0139451	0.0818107	0.0150034	0.0142683
m	0.00621813	0.00948809	0.0565294	0.121572	0.190814	0.174232	0.306064	0.118654	0.0164271
w	0.000591894	0.000296448	0.00112087	0.00396845	0.00856414	0.00428604	0.0268934	0.91502	0.0392587
é	0.000627518	0.000251026	0.000753814	0.00176135	0.00334752	0.00254779	0.0045791	0.979557	0.00657527
s	0.0219526	0.0189473	0.02186	0.0405286	0.069471	0.0439129	0.127118	0.635286	0.0209231
é	0.0118231	0.00838023	0.00952505	0.0324972	0.0712575	0.0531479	0.0816954	0.578779	0.152895
</S>	0.00612621	0.00832269	0.0348681	0.0645368	0.10715	0.0836309	0.25409	0.179403	0.261871
