 	la	manière	dont	le	pain	a	suffi	pour	tout	le	monde	nous	a	surpris	</S>
e	0.18449	0.319392	0.338032	0.0631095	0.0218547	0.0209146	0.02225	0.00544861	0.00678563	0.0045272	0.00120302	0.000624699	0.000952372	0.00130278	0.00911267
k	0.0012528	0.00254805	0.023809	0.0662373	0.546255	0.0471074	0.24465	0.00257038	0.00391354	0.00206929	0.00609184	0.00815944	0.00243377	0.0418387	0.00106376
o	0.00165491	0.000613156	0.00411449	0.012174	0.102977	0.0164363	0.737183	0.00204076	0.0127184	0.00489817	0.0166972	0.00395164	0.00172905	0.0811048	0.00170773
o	0.000205669	0.0006696	0.00387134	0.00752633	0.0369428	0.0155971	0.882506	0.00212281	0.00190637	0.00168236	0.00274141	0.00261089	0.00195201	0.0364023	0.0032632
l	0.0286987	0.0384809	0.30759	0.0507831	0.0730552	0.180728	0.0414711	0.116269	0.0361241	0.0304112	0.0117372	0.00448251	0.0097046	0.00251479	0.0679504
í	0.00163235	0.00768854	0.0179881	0.0181807	0.122568	0.0492809	0.0252621	0.0376596	0.0159825	0.0215168	0.0120615	0.0196408	0.0657196	0.0404936	0.544325
y	0.0920551	0.133419	0.347156	0.17686	0.0215002	0.0767192	0.0218804	0.0351537	0.0111779	0.0158115	0.0107439	0.0143715	0.0178291	0.00440307	0.0209194
é	0.0502184	0.0335719	0.500681	0.0469721	0.0345826	0.0488028	0.0147842	0.0416974	0.0216744	0.0291224	0.0200656	0.00993622	0.0229084	0.00937474	0.115608
é	0.0222107	0.0534692	0.233112	0.0716087	0.227068	0.137224	0.0372097	0.0249768	0.0095892	0.0202521	0.0210943	0.0116272	0.0139615	0.00770553	0.108891
k	0.00455139	0.00201168	0.0363271	0.0462945	0.159213	0.212424	0.315229	0.0175138	0.0310045	0.0102937	0.014329	0.00592999	0.024028	0.0608161	0.0600341
o	0.00018461	3.28596e-05	0.00111124	0.0021328	0.0128463	0.0162587	0.905531	0.00696025	0.023014	0.00647555	0.00349467	0.000662843	0.00171166	0.010336	0.00924781
í	3.72296e-05	0.000122192	0.00145742	0.00304396	0.0131134	0.0384866	0.918548	0.00256327	0.00914142	0.00234002	0.00174456	0.000130811	0.000452778	0.00404443	0.00477439
a	0.000726802	0.00170175	0.0259496	0.254795	0.110472	0.269678	0.0553258	0.142479	0.0602355	0.0301318	0.0111426	0.00748664	0.0177667	0.00235567	0.00975409
m	0.00452148	0.00295401	0.0336206	0.194856	0.0475445	0.117864	0.0871574	0.236984	0.131706	0.0448102	0.0294316	0.0344529	0.0129436	0.00926156	0.0118937
á	0.0081977	0.00289957	0.00953322	0.0237103	0.0826875	0.155324	0.0388455	0.495343	0.031316	0.0551653	0.0170088	0.0417118	0.0220045	0.00194071	0.0143121
p	0.00572779	0.00253726	0.0115892	0.0852432	0.0857928	0.0455138	0.00416116	0.241542	0.237667	0.118954	0.0708142	0.0710419	0.0118149	0.00227196	0.00532851
a	0.000564875	0.000541382	0.0021972	0.0210868	0.132347	0.0461783	0.0124358	0.0619668	0.516226	0.0923145	0.0930716	0.00599702	0.00466809	0.00481321	0.00559217
b	0.000191548	0.000333485	0.0022041	0.0272329	0.0718409	0.0350964	0.00609427	0.132712	0.409685	0.144847	0.0968731	0.0263648	0.0197286	0.00850609	0.0182895
a	0.00184902	0.0026794	0.00621913	0.0103282	0.00621039	0.0218507	0.0257873	0.0910701	0.550267	0.176609	0.0473461	0.00713694	0.0119298	0.00739382	0.0333225
r	0.000191263	0.000607329	0.00574721	0.0400632	0.019444	0.022286	0.00487904	0.103838	0.226332	0.203127	0.121492	0.179447	0.0378025	0.00988509	0.0248577
e	0.0139001	0.00524623	0.0135101	0.0102497	0.0102526	0.0423009	0.0196522	0.135728	0.333572	0.212689	0.0945338	0.0241216	0.0136407	0.00602	0.0645823
e	0.000474573	0.000278877	0.0065979	0.0148421	0.00546456	0.0433659	0.00311274	0.156232	0.157779	0.32428	0.167488	0.0335938	0.0707939	0.00560552	0.0100905
k	0.00137315	0.000478684	0.00352193	0.00160481	0.00695724	0.0245462	0.0319493	0.0325861	0.128669	0.133235	0.24468	0.0276822	0.129853	0.194731	0.0381321
