 	j'	aime	manger	la	peau	du	silure	électrique	</S>
n	0.93412	0.0290341	0.0104747	0.00907408	0.00384697	0.0108016	0.00246508	9.2521e-05	9.0897e-05
g	0.98432	0.00640262	0.00362013	0.000867515	3.05223e-05	0.000473706	0.00410407	0.00016475	1.67239e-05
á	0.911156	0.0341278	0.012056	0.00390566	0.000411428	0.00169165	0.0225704	0.0140479	3.30254e-05
i	0.120597	0.542537	0.0814429	0.0820056	0.00371817	0.0390888	0.0273578	0.00507613	0.098177
d	0.0126172	0.683542	0.104435	0.0958789	0.0374832	0.00933925	0.0017517	0.00113238	0.0538203
í	0.0285641	0.705143	0.202714	0.0225956	0.000954362	0.0049153	0.000450232	0.0018149	0.0328483
l	0.048767	0.327524	0.479742	0.0820374	0.00452998	0.0242057	0.00157172	0.00185457	0.029767
a	0.153894	0.355512	0.310248	0.0563162	0.00358751	0.0240538	0.00255801	0.0069931	0.0868368
p	0.0613477	0.612161	0.234825	0.0292626	0.00829136	0.0146228	0.00541053	0.00996392	0.0241155
ó	0.00245197	0.431822	0.154478	0.0921776	0.287952	0.0121297	0.00165449	0.00195675	0.0153781
s	0.000961246	0.801065	0.101504	0.038253	0.0468365	0.00672577	0.000490441	0.000177568	0.00398601
á	0.00123668	0.302364	0.224889	0.179999	0.164706	0.0415186	0.00192215	0.00324558	0.0801189
o	0.113435	0.0453281	0.278296	0.26726	0.105906	0.0986186	0.0525654	0.0154472	0.0231435
d	0.00141797	0.019791	0.230074	0.202297	0.527219	0.00382975	0.000332143	0.00776863	0.00727087
z	0.000865369	0.0219225	0.563862	0.282829	0.103056	0.00425636	0.000125275	0.00207326	0.0210105
á	0.00232052	0.137631	0.61973	0.194958	0.031132	0.00522714	0.000202116	0.00126656	0.00753218
e	0.00274617	0.00785174	0.126611	0.234713	0.410655	0.0980361	0.00235257	0.00263462	0.114399
k	0.000164105	0.0073492	0.027645	0.186661	0.644271	0.0655652	0.00161549	0.00610898	0.0606202
á	9.19838e-06	0.00034812	0.00169828	0.0129639	0.969161	0.00695151	0.000710589	0.000626774	0.00753111
r	0.000199099	0.00183871	0.00687698	0.0234161	0.912417	0.0282452	0.00386391	0.00184009	0.021303
á	0.000752893	0.00341734	0.0181214	0.0749969	0.516731	0.154254	0.0423465	0.0202819	0.169097
y	0.00331847	0.00929266	0.0410774	0.0890831	0.0692632	0.395111	0.0869251	0.075182	0.230747
á	0.0163049	0.0546633	0.0732621	0.0793781	0.00835931	0.107314	0.169261	0.424345	0.0671112
n	0.00140783	0.0083329	0.015337	0.0240183	0.0199806	0.157243	0.176663	0.518932	0.0780848
i	0.00316312	7.08094e-05	0.000376841	0.000389862	7.68967e-05	0.0045812	0.0893329	0.89967	0.00233852
n	0.000808299	0.000404012	0.00495581	0.00515414	0.000458466	0.037547	0.207067	0.528318	0.215287
á	0.000289217	0.00113082	0.0041155	0.0104522	0.000523227	0.0381682	0.0572096	0.831286	0.056825
</S>	0.000410169	0.00034287	0.00200396	0.00469257	0.000651335	0.0532642	0.0960836	0.34804	0.494511
