 	la	pluie	a	abîmé	mes	chaussures	</S>
m	0.893655	0.0981242	0.00217483	0.00112398	0.00270149	0.00205651	0.000163767
v	0.0279237	0.961401	0.00521171	0.000782307	0.00311357	0.000245154	0.00132233
ú	0.0077857	0.984305	0.000193548	0.00549453	0.00206573	0.000125032	3.08735e-05
á	0.160404	0.758924	0.00986902	0.00155549	0.0203365	6.00827e-05	0.0488509
á	0.0396019	0.0294599	0.871753	0.0197457	0.00479475	0.000788875	0.0338556
m	0.0261338	0.0528034	0.565918	0.311975	0.00877065	0.00125872	0.0331404
i	0.030758	0.0351744	0.305927	0.547571	0.0204141	0.00438092	0.0557747
b	0.00690005	0.016031	0.216248	0.698379	0.0176855	0.0123913	0.0323652
é	0.00554507	0.00537727	0.0379472	0.926995	0.00747286	0.00373534	0.0129269
b	0.00403661	0.00492915	0.0781458	0.874274	0.0169058	0.00420247	0.017506
h	0.0140735	0.00102901	0.0563487	0.710445	0.156967	0.0296162	0.031521
í	0.0596526	0.0121621	0.044125	0.55812	0.132589	0.0772071	0.116145
s	0.0104336	0.000303809	0.0758612	0.182526	0.424386	0.199647	0.106842
á	0.00359274	0.000149578	0.00713879	0.678429	0.133893	0.0507519	0.126045
n	0.0188595	0.00184421	0.00807374	0.0393288	0.400769	0.51084	0.0202849
g	0.00321852	0.000305105	0.000490234	0.00609551	0.935407	0.0320659	0.0224174
á	0.010926	0.0053742	0.00975243	0.0180277	0.818158	0.0718135	0.0659478
m	0.00249936	0.00061072	0.00834696	0.00822815	0.328098	0.446939	0.205278
y	0.0112984	0.00591131	0.00459334	0.0196001	0.519469	0.0242904	0.414837
e	0.0316304	0.00477041	0.00274768	0.0250532	0.0998936	0.279066	0.556839
r	0.0202611	0.00545314	0.00614278	0.0556948	0.0845696	0.307273	0.520606
é	0.00311764	0.00597319	0.00744747	0.0188533	0.0762865	0.0886383	0.799684
m	0.000922423	0.000564592	0.0289265	0.0151968	0.125829	0.0343847	0.794176
á	0.0233654	0.00350087	0.0302748	0.0268969	0.221304	0.0289007	0.665758
a	0.012785	0.00136611	0.0214544	0.0181812	0.210238	0.343048	0.392927
k	0.00196874	0.00211745	0.0352569	0.0587758	0.116321	0.114726	0.670834
o	0.000848289	0.00356877	0.00684455	0.0728183	0.00422473	0.712396	0.199299
o	0.00926942	0.00500854	0.00323745	0.128686	0.0115317	0.531057	0.311211
</S>	0.0210341	0.00307489	0.0260568	0.0249058	0.099497	0.0305965	0.794835
