 	la	maman	est	dépassée	par	le	mauvais	caractère	de	cet	enfant-là	</S>
n	0.965867	0.0109219	0.00822962	0.000375559	0.001854	0.00178175	0.00213349	0.00137722	0.00278866	0.00448997	4.52868e-05	0.000135052
g	0.247021	0.750624	0.000824915	0.000617619	7.51559e-05	3.58089e-05	3.83567e-06	3.20348e-05	2.41502e-05	0.000602474	0.000137301	1.41525e-06
ó	0.0157306	0.97855	0.00021228	0.00149202	0.000137526	3.10516e-05	4.1341e-06	1.27959e-05	8.34826e-06	8.74205e-05	0.00373121	2.83713e-06
o	0.0290291	0.851593	0.00450474	0.0907321	0.00114739	0.000493927	2.82694e-05	0.000110222	0.000107945	0.00128096	0.0178458	0.00312675
á	0.150901	0.112595	0.428577	0.124336	0.0270081	0.0135937	0.0339481	0.0120819	0.0148674	0.00896614	0.01485	0.0582751
m	0.0301432	0.0520782	0.125191	0.729055	0.00959067	0.00264444	0.00154725	0.00144637	0.00694932	0.00284567	0.00311778	0.035391
i	0.0146458	0.00427439	0.271692	0.558011	0.0825178	0.0178317	0.0133103	0.00159618	0.00661742	0.00372238	0.00197473	0.0238063
s	0.00820139	0.00548851	0.0586333	0.851275	0.0358389	0.00736508	0.00248786	0.00219157	0.00557787	0.00152161	0.0026433	0.0187759
á	0.00177578	0.00117186	0.0132186	0.939013	0.00946411	0.003068	0.000477118	0.00326392	0.00345824	0.000922652	0.00106241	0.0231046
á	0.0238726	0.000165661	0.139139	0.38557	0.0971769	0.0449994	0.0169191	0.038484	0.0384603	0.0208137	0.00803771	0.186362
o	0.0149869	0.00139176	0.130182	0.16337	0.225087	0.192982	0.0671833	0.045104	0.024273	0.121103	0.0106335	0.00370376
y	0.00266383	0.00157279	0.0108254	0.372386	0.210543	0.141602	0.0390258	0.129279	0.0632325	0.0109211	0.00740228	0.0105476
ú	0.00207894	0.00111341	0.0188029	0.754769	0.0313206	0.0308796	0.00213044	0.0613089	0.0172789	0.0123746	0.00238642	0.0655564
r	0.102223	0.00974045	0.0634501	0.306998	0.118787	0.11858	0.0020623	0.0698371	0.0280187	0.0418742	0.00509345	0.133335
á	0.0037152	0.000102462	0.0866436	0.056066	0.187414	0.483598	0.0178337	0.0750908	0.0293576	0.0336517	0.00144587	0.0250812
m	0.0074049	0.000552298	0.103293	0.042421	0.0879962	0.159888	0.17027	0.148619	0.123311	0.112276	0.00533749	0.038632
w	0.00587845	3.11332e-05	0.00569311	0.000663053	0.0493341	0.0915731	0.420431	0.0735861	0.124556	0.132173	0.0260217	0.0700599
á	0.0173415	0.000270187	0.00468798	0.000362076	0.0472526	0.0728521	0.262594	0.215298	0.114091	0.0793677	0.164784	0.0210992
n	0.0222057	0.000581514	0.00994674	0.000204537	0.0135661	0.0565581	0.732285	0.022119	0.0253765	0.0952969	0.0103726	0.0114873
a	0.00986502	0.000526098	0.0364848	0.00934088	0.0981763	0.134934	0.0987069	0.301498	0.0519144	0.119313	0.0555004	0.083741
w	0.00508449	0.00151398	0.0209183	0.00741187	0.0505891	0.183542	0.0878359	0.133886	0.193709	0.248537	0.0225036	0.0444687
ú	0.00370492	0.000271619	0.0123529	0.00250447	0.10213	0.301067	0.0477325	0.0885694	0.167612	0.110981	0.0325034	0.130571
u	0.000881533	9.66164e-05	0.00214298	0.000872521	0.0171373	0.0536928	0.0497964	0.237685	0.432179	0.151012	0.0195773	0.0349267
m	0.00105039	0.000252561	0.0038621	0.000517173	0.0248475	0.0577547	0.0329235	0.072914	0.597226	0.092285	0.0163302	0.100037
ó	0.000331084	2.39476e-05	0.00117907	0.000289827	0.00870318	0.0415532	0.151167	0.118483	0.475497	0.061432	0.0109695	0.130372
m	0.000730929	0.000325351	0.00553399	0.000929179	0.00700322	0.0178503	0.01253	0.0437157	0.746425	0.115605	0.0195924	0.0297587
b	0.000135635	8.52458e-05	0.0120237	0.00111761	0.0136318	0.0406826	0.0614224	0.116258	0.59977	0.0672311	0.0135743	0.0740672
é	0.00160677	0.000252719	0.00701399	0.000482938	0.0150765	0.0972977	0.16613	0.056995	0.433095	0.0576998	0.0199441	0.144406
n	8.30923e-05	0.000111556	0.00654238	0.000698513	0.0163431	0.0642704	0.0748694	0.0346273	0.289091	0.0808087	0.0108517	0.421703
y	0.00163818	0.000154179	0.020418	0.00414451	0.0270993	0.07099	0.0542718	0.22862	0.195163	0.148784	0.0232125	0.225505
á	0.000118332	1.05154e-05	0.000829141	0.000522874	0.00629658	0.0372195	0.0157663	0.223806	0.148914	0.0234803	0.01536	0.527676
á	0.00193705	5.45705e-05	0.00316333	0.00044591	0.0031072	0.00523309	0.016487	0.0235661	0.156611	0.0688055	0.0280276	0.692561
</S>	0.00230043	0.000916292	0.00776876	0.0132252	0.00907946	0.00881032	0.0213749	0.0155286	0.216005	0.129518	0.0387424	0.536731
