 	tout	le	village	ne	veut	plus	de	nyasoni	parce	qu'	elle	prononce	tout	temps	des	malédictions	sur	les	enfants	</S>
p	0.388918	0.515004	0.0263769	0.0248514	0.00324015	0.01136	0.00466332	0.00298422	0.00207859	0.00554372	0.00311906	0.00142116	0.00200228	0.00176053	0.00134748	0.000445574	0.000491921	0.00409725	0.000275272	1.90731e-05
o	0.0640496	0.0387126	0.879077	0.00327106	0.00561355	0.000913326	0.000105108	0.000321777	0.000778019	0.000258463	0.00102256	0.00234539	0.000424339	0.000699017	0.000548719	0.000526764	0.000425939	0.00064265	0.000198982	6.51089e-05
o	0.0158908	0.0395963	0.871376	0.0132439	0.00943551	0.00804627	0.00107478	0.000241922	0.00824622	0.00132885	0.00299747	0.0100543	0.00424523	0.00364086	0.00446523	0.00232691	0.00190161	0.000637653	0.000808494	0.000442174
á	0.208692	0.623874	0.0109954	0.0919381	0.0058005	0.0114635	0.00368381	0.00181354	0.00200696	0.00219146	0.00322432	0.00422683	0.00328022	0.00718149	0.00391458	0.00185124	0.00498162	0.00224056	0.000271491	0.00636789
b	0.0602376	0.304156	0.102414	0.240978	0.0429931	0.0282871	0.0113568	0.014272	0.0101241	0.00981051	0.0181421	0.0287159	0.0105189	0.0166213	0.0164365	0.0204508	0.028267	0.00812266	0.00136634	0.0267291
h	0.0442429	0.0789881	0.00312108	0.422689	0.194483	0.0492767	0.0300589	0.00511945	0.00897183	0.00985203	0.0224625	0.0340362	0.00688091	0.0173085	0.0184975	0.00994689	0.0121723	0.00504339	0.00579475	0.021054
i	0.065676	0.121362	0.00292785	0.391151	0.14655	0.0508322	0.0115656	0.0103025	0.00658056	0.00490312	0.0151841	0.0504467	0.00927028	0.0240812	0.0217119	0.0249762	0.0125573	0.00721856	0.00419271	0.0185095
i	0.0364857	0.0744333	0.0338365	0.209221	0.183981	0.081501	0.042604	0.00621432	0.0181879	0.0100377	0.0190921	0.027142	0.0249759	0.0278938	0.0291523	0.028195	0.0359893	0.0141417	0.0076684	0.0892466
k	0.0274034	0.0253005	0.046979	0.154801	0.30842	0.0758817	0.0288321	0.0183394	0.0217072	0.010238	0.0176043	0.0276808	0.0134094	0.0187464	0.0256116	0.0325449	0.0347041	0.0155518	0.0216698	0.074574
á	0.00428497	0.00229516	0.00304404	0.0468733	0.676209	0.02852	0.00466741	0.0066827	0.00869012	0.0015832	0.00590817	0.0610429	0.0126095	0.0129425	0.0187631	0.0594245	0.0151343	0.00483558	0.00848742	0.0180022
m	0.00649273	0.00928123	0.0140097	0.0689092	0.586756	0.0240048	0.0082974	0.00425745	0.0155788	0.00323708	0.0137986	0.0338335	0.00825964	0.0148104	0.0252092	0.0645897	0.0162718	0.0075032	0.0133668	0.0615323
b	0.00454739	0.00363543	0.000109539	0.182557	0.339234	0.205295	0.0729247	0.00268939	0.0146673	0.00497646	0.032577	0.0183193	0.00768162	0.0185619	0.0254783	0.00954853	0.0108947	0.00749786	0.0189684	0.0198368
í	0.0281062	0.0129944	0.000818146	0.0460403	0.117882	0.154139	0.101528	0.0169635	0.0386211	0.0213003	0.0335661	0.0333436	0.0121859	0.0218872	0.035362	0.0413948	0.0231231	0.035036	0.0403292	0.18538
l	0.0098849	0.0105635	0.00303361	0.174235	0.249786	0.224304	0.0766335	0.00944175	0.0600287	0.0161541	0.0199057	0.0131061	0.0138616	0.0115322	0.016343	0.0081195	0.0137623	0.0061328	0.00289266	0.0602794
á	0.00482038	0.00743023	0.000507264	0.0632792	0.0777519	0.130466	0.122872	0.0640212	0.168407	0.0509504	0.0302019	0.0340923	0.0218593	0.029683	0.0224304	0.013949	0.0397526	0.0198561	0.0040574	0.0936125
n	0.00481542	0.00780997	0.0022582	0.0251878	0.0277091	0.101946	0.095489	0.395812	0.131546	0.0330063	0.0174932	0.0153354	0.00987199	0.023879	0.0127438	0.00954065	0.0145101	0.0211521	0.0419659	0.00792724
y	0.000685585	0.00170048	2.70053e-05	0.00518904	0.00445434	0.0166118	0.0368017	0.801592	0.0367046	0.032747	0.00409305	0.00462943	0.00314091	0.00796537	0.00454378	0.00384913	0.00837928	0.0124593	0.00767863	0.00674806
a	0.000220068	0.00146593	0.000107782	0.00876841	0.00443943	0.00898749	0.0204512	0.818223	0.0271468	0.0309696	0.00535292	0.0148103	0.00394029	0.00761345	0.0044023	0.0094599	0.00684527	0.0103013	0.0136219	0.00287216
s	6.21546e-05	0.000406353	0.000148919	0.0350001	0.0331629	0.0525266	0.126735	0.540572	0.0330226	0.0561096	0.00828139	0.0265676	0.00633766	0.0221363	0.00426401	0.00580303	0.0152375	0.015597	0.00586436	0.0121652
ω	0.00290077	0.00929086	0.00282293	0.0707205	0.0349725	0.284927	0.17664	0.127275	0.136727	0.0160317	0.00998346	0.00970839	0.00618032	0.0264173	0.00525784	0.00527527	0.0218556	0.00791886	0.00296377	0.0421309
n	0.00131374	0.00367498	0.000264874	0.0598283	0.0190472	0.161644	0.15216	0.0349079	0.262083	0.131974	0.0662416	0.0238025	0.0168976	0.0135882	0.0137415	0.00648093	0.0105626	0.00630034	0.00114844	0.0143385
i	0.00429877	0.00787903	0.000188262	0.00945576	0.00161048	0.0367722	0.14693	0.19412	0.333553	0.164464	0.0138551	0.0101782	0.00442917	0.0105534	0.00372255	0.00339365	0.00990331	0.00791271	0.00188242	0.0348981
k	0.000568669	0.00249674	0.000234869	0.0536334	0.00919467	0.0799385	0.068127	0.140048	0.311727	0.134222	0.0652262	0.0460412	0.0158985	0.0177253	0.0113549	0.00707692	0.0140291	0.00810834	0.00293853	0.0114107
a	0.0139504	0.0118179	0.0017542	0.0576902	0.120215	0.0834997	0.0267821	0.0532853	0.153699	0.011174	0.0652042	0.220716	0.0620135	0.0189977	0.0317375	0.0335876	0.0089568	0.00396505	0.00466141	0.0162927
á	0.00100842	0.00399452	0.000504453	0.0172876	0.0424917	0.0366361	0.0199372	0.0332048	0.104506	0.0234494	0.0993418	0.241027	0.0616123	0.0282884	0.0628257	0.0880784	0.02532	0.00935454	0.0121603	0.0889714
