 	la	maman	voit	comment	mange	son	enfant	</S>
n	0.94685	0.0198444	0.0217361	0.00628086	0.00115912	0.00394092	0.000156696	3.1653e-05
g	0.615153	0.374872	0.00686947	0.00227715	4.40911e-05	0.0007786	1.38306e-06	3.73898e-06
ó	0.109945	0.883036	0.0042474	0.00207141	9.63435e-05	0.000437398	0.000155693	9.87785e-06
o	0.0482682	0.942358	0.00733557	0.000856098	8.46163e-05	0.000900135	0.000147606	5.01637e-05
l	0.121632	0.266495	0.417262	0.0920481	0.00794394	0.038085	0.0105138	0.0460208
á	0.111405	0.0507905	0.0743096	0.0606776	0.0440296	0.0409372	0.0054671	0.612384
a	0.363503	0.0142204	0.40528	0.0963583	0.0172054	0.0479723	0.035567	0.0198944
t	0.0262853	0.0385484	0.635695	0.0684751	0.161642	0.0051875	0.00379534	0.0603723
á	0.0142137	0.00867017	0.417535	0.054489	0.411932	0.0119893	0.00317812	0.077993
á	0.0621954	0.0106487	0.489841	0.0924894	0.145694	0.072438	0.0189128	0.107781
n	0.0332515	0.00358104	0.681621	0.191764	0.0122637	0.0520436	0.0148539	0.0106214
d	0.0482259	0.00398629	0.755485	0.124684	0.00131109	0.0389369	0.0146487	0.0127228
é	0.0692538	0.0298051	0.672181	0.154228	0.00950734	0.0241007	0.0143874	0.0265369
n	0.0260319	0.0185308	0.330632	0.374918	0.0729573	0.136034	0.00508524	0.0358112
g	0.00579456	0.00434551	0.488189	0.278175	0.079175	0.0247619	0.00978527	0.109774
é	0.0459982	0.0638532	0.494314	0.246755	0.01754	0.0472295	0.0212376	0.0630722
y	0.0118374	0.00180846	0.200534	0.550608	0.0823859	0.126956	0.00552697	0.0203437
é	0.0361663	0.00752283	0.237173	0.456993	0.155311	0.0700921	0.0093748	0.0273668
é	0.00646772	0.000947226	0.0891551	0.477245	0.152633	0.21829	0.018857	0.0364049
d	0.000538715	0.000156218	0.0182085	0.275076	0.619611	0.0410852	0.00839503	0.0369293
z	0.000145763	4.55569e-06	0.00355398	0.073424	0.722272	0.0207358	0.00236531	0.177498
á	0.000559616	4.07343e-05	0.00524147	0.0669383	0.816409	0.0155655	0.0202041	0.0750415
m	0.00496447	0.000130802	0.0113416	0.10922	0.224267	0.369425	0.0176066	0.263044
w	0.000294281	4.44536e-06	0.00144106	0.0253139	0.0190753	0.161078	0.610489	0.182305
á	1.93391e-05	1.59429e-07	0.000122493	0.000891999	0.00147943	0.000512821	0.995574	0.00139944
n	0.0017665	4.51156e-05	0.00300616	0.0174709	0.00339324	0.055748	0.89226	0.0263098
a	0.00331294	0.00111182	0.0360285	0.112748	0.0375729	0.0780273	0.617328	0.11387
</S>	0.00345286	0.000603063	0.0122768	0.139587	0.0598501	0.638949	0.0152796	0.130002
