 	c'	est	un	gros	battant	de	cloche	</S>
e	0.607184	0.178985	0.102604	0.0722634	0.020168	0.0156462	0.00287222	0.000277015
b	0.127646	0.451191	0.156788	0.0411391	0.15881	0.0285515	0.0319509	0.00392391
e	0.0421314	0.488805	0.277474	0.0231938	0.139805	0.0140009	0.00650282	0.00808753
n	0.139793	0.400884	0.287352	0.0270354	0.0218057	0.0117508	0.0186876	0.0926912
d	0.412078	0.184961	0.227146	0.0924795	0.0370492	0.00836947	0.0159553	0.0219621
é	0.413275	0.235301	0.212636	0.0678807	0.0115058	0.00976266	0.00639625	0.0432417
y	0.359872	0.236084	0.162198	0.0852539	0.0590679	0.0501282	0.00415462	0.0432426
é	0.456739	0.134313	0.126544	0.1576	0.0150742	0.0596436	0.00629352	0.0437932
é	0.427492	0.108963	0.139966	0.17199	0.0481762	0.0653372	0.0110251	0.0270506
t	0.056281	0.160772	0.255685	0.0938663	0.267074	0.0732076	0.0211001	0.0720141
í	0.0134551	0.141665	0.346544	0.0465038	0.291457	0.0372682	0.0125792	0.110527
n	0.0113546	0.111738	0.340733	0.108041	0.254031	0.0336748	0.0118781	0.12855
á	0.0368433	0.0547196	0.24759	0.134711	0.395992	0.0365423	0.0156451	0.0779563
á	0.0451498	0.0762361	0.269298	0.324324	0.120781	0.099807	0.00513537	0.0592696
m	0.00964107	0.0154557	0.0748909	0.252653	0.298167	0.315163	0.0193923	0.0146367
i	0.0440837	0.0920746	0.134219	0.180441	0.0874	0.236235	0.0593089	0.166237
b	0.0232729	0.110141	0.193856	0.108143	0.226941	0.152623	0.0543455	0.130678
h	0.0013962	0.0085941	0.0219548	0.00953144	0.836541	0.0359528	0.0367213	0.0493079
ώ	0.00108127	0.0122621	0.053956	0.00607915	0.796465	0.0271635	0.030296	0.072697
ώ	0.00130481	0.0122172	0.157226	0.176898	0.303677	0.221997	0.0440368	0.0826427
s	0.00385898	0.00545111	0.0300167	0.212342	0.103789	0.473633	0.0535111	0.117398
ω	0.00631893	0.00855866	0.0275803	0.110591	0.120835	0.308452	0.152293	0.265372
l	0.00141653	0.00334695	0.0179242	0.185964	0.0308255	0.38417	0.27213	0.104224
á	0.00325764	0.00654922	0.0269247	0.181918	0.0335524	0.37824	0.189313	0.180245
n	0.00273696	0.00424569	0.0276679	0.332954	0.00961609	0.321715	0.259057	0.0420073
g	0.000818608	0.000771527	0.00599516	0.240484	0.0076418	0.0681459	0.661458	0.0146844
u	0.000316403	0.000395739	0.00255487	0.123952	0.00381905	0.0475841	0.720404	0.100975
n	0.000437556	0.00057809	0.00830129	0.246388	0.00456441	0.0484413	0.566096	0.125194
a	0.0173008	0.00958266	0.0581937	0.45885	0.00543935	0.0474243	0.267217	0.135992
a	0.000985776	0.00122932	0.0129311	0.174236	0.0102671	0.0958226	0.089408	0.61512
y	0.009727	0.0116332	0.0228693	0.0254626	0.0188069	0.33	0.168646	0.412855
é	0.00637041	0.0112912	0.0229912	0.050645	0.0110335	0.363567	0.136889	0.397212
é	0.000765461	0.00120897	0.00730165	0.0289867	0.00204904	0.0914612	0.0287092	0.839518
d	0.00201081	0.00628374	0.0154144	0.0313821	0.00845215	0.186214	0.197613	0.552629
i	0.00114047	0.0060335	0.0161385	0.0123003	0.00286163	0.0428902	0.133074	0.785562
ε	0.00189148	0.00347109	0.013742	0.0371665	0.00174012	0.164092	0.081616	0.696281
n	0.00221867	0.00835087	0.0181651	0.0199731	0.00667024	0.0790532	0.242191	0.623378
έ	0.00274001	0.00652181	0.0288539	0.0184886	0.0267168	0.0858323	0.445325	0.385522
</S>	0.000669869	0.00137907	0.0103209	0.0250028	0.00389888	0.0839805	0.183744	0.691004
