 	il	y	a	un	pont	traditionnel	sur	la	rivière	ngoko	</S>
e	0.314252	0.575235	0.05585	0.0185984	0.0306703	0.00056102	0.00132142	0.00117882	0.00212518	0.000196669	1.17974e-05
b	0.051832	0.603454	0.259399	0.0549719	0.0153177	0.00565368	0.00161136	0.0029567	0.00110393	0.00291518	0.000784561
a	0.0500244	0.344004	0.110139	0.262628	0.0653619	0.0746935	0.00361639	0.00573659	0.0134362	0.0666465	0.00371404
a	0.0264905	0.194826	0.310335	0.271225	0.105836	0.0150822	0.0105454	0.0121814	0.0106629	0.00723907	0.035576
y	0.199579	0.12701	0.465837	0.119811	0.028964	0.00187852	0.0148412	0.00582971	0.00455978	0.000192746	0.0314971
á	0.0835475	0.0773224	0.199737	0.191308	0.336898	0.0167028	0.0264677	0.0125688	0.0109237	0.00203833	0.042486
n	0.16883	0.0289627	0.049703	0.0874354	0.581718	0.0694976	0.00284788	0.00219391	0.00441937	0.00131562	0.00307589
g	0.0148462	0.00468175	0.0129797	0.0222316	0.906906	0.0283862	0.00292913	0.00158007	0.00272041	0.000347669	0.00239095
o	0.00386243	0.00332961	0.006471	0.0101216	0.94159	0.0286702	0.00106093	0.000886496	0.000827057	0.00185631	0.00132409
ó	0.00351671	0.0083242	0.0124205	0.0218741	0.862733	0.0377093	0.0131187	0.00498212	0.00436864	0.027879	0.00307379
é	0.0705974	0.082611	0.143912	0.120295	0.232526	0.0316075	0.253611	0.0250989	0.0259261	0.00668771	0.00712726
d	0.00536191	0.0125457	0.138709	0.114232	0.0279384	0.0230407	0.503203	0.129898	0.034584	0.00240651	0.00808078
í	0.000173319	0.000286887	0.0427883	0.150094	0.0153132	0.0284352	0.294048	0.31424	0.0357822	0.000563194	0.118275
l	0.00175864	0.000801323	0.0404831	0.0710868	0.00778216	0.0173041	0.320242	0.289995	0.106959	0.00266764	0.14092
i	0.00225386	0.00203167	0.0113147	0.042059	0.00844193	0.00538032	0.36111	0.248994	0.0568845	0.00945492	0.252075
b	0.00450152	0.00221732	0.00787566	0.0550142	0.0955034	0.0509418	0.230692	0.193903	0.0580922	0.19135	0.109909
ó	0.00959397	0.00840373	0.017665	0.100533	0.0209416	0.0908915	0.0525073	0.106667	0.148348	0.432086	0.0123629
n	4.67272e-05	0.000675138	0.00255825	0.0180136	0.0201315	0.00716792	0.0704789	0.0556266	0.0328414	0.772446	0.0200142
g	0.00499036	0.00784594	0.00975741	0.0797305	0.119268	0.0484412	0.152343	0.160556	0.0631178	0.187798	0.166151
o	0.00581159	0.00269547	0.00136413	0.0130355	0.114587	0.0341257	0.012168	0.0109127	0.011997	0.774405	0.0188976
</S>	0.000697009	0.0012393	0.00432889	0.00763428	0.00627146	0.000372327	0.0998215	0.208645	0.342556	0.10169	0.226744
