 	la	route	est	bloquée	</S>
k	0.924954	0.050281	0.0229783	0.00155436	0.000232302
ó	0.0919396	0.886047	0.00514662	0.0159411	0.000925323
ó	0.00634874	0.986552	0.00454458	0.000683027	0.00187184
a	0.514168	0.175007	0.282722	0.000323898	0.0277799
d	0.218472	0.218172	0.449226	0.00202714	0.112103
í	0.0135942	0.0109593	0.50587	0.00470838	0.464868
ω	0.0393227	0.0130024	0.447165	0.0358361	0.464673
k	0.0084828	0.00920368	0.137906	0.719374	0.125033
a	0.00223296	0.0198901	0.0205349	0.866392	0.0909495
n	0.00313866	0.0202274	0.0438396	0.752771	0.180024
g	0.0259339	0.0234919	0.113153	0.479942	0.357479
á	0.047066	0.00647225	0.0639081	0.44341	0.439143
k	0.0171821	0.00237828	0.13113	0.529723	0.319586
a	0.00921674	0.0108202	0.0597195	0.717612	0.202632
n	0.00185714	0.00306197	0.0293184	0.610175	0.355587
g	0.00826682	0.0101354	0.118114	0.558625	0.304859
a	0.00625509	0.00229661	0.0220314	0.489746	0.479671
</S>	0.0108744	0.0012707	0.088921	0.0850499	0.813884
