 	quand	je	suis	arrivé	il	y	avait	déjà	une	grande	assemblée	à	la	place	mortuaire	</S>
é	0.706536	0.117465	0.0516337	0.0304084	0.0100022	0.0217712	0.0210286	0.0011462	0.00662721	0.0117768	0.0125019	0.00392054	0.00427774	0.000148331	0.000615547	0.000141162
y	0.425173	0.148589	0.151973	0.102226	0.0363203	0.0112935	0.0145784	0.0134164	0.0205953	0.0137744	0.00438172	0.00399768	0.0185136	0.0243294	0.00825595	0.00258273
ε	0.10918	0.153287	0.248392	0.201434	0.0343452	0.0350149	0.0210169	0.0742542	0.018965	0.00721076	0.00329953	0.00940174	0.0133461	0.0493135	0.00309154	0.0184465
έ	0.0735844	0.0325162	0.161388	0.141817	0.0423663	0.0515404	0.022029	0.0595532	0.0758406	0.0397984	0.00691367	0.0196297	0.0284593	0.0138214	0.00387394	0.226868
n	0.0733758	0.247081	0.266419	0.175483	0.0426803	0.0363307	0.0222726	0.0121148	0.00873379	0.00699959	0.0128729	0.0191431	0.0167167	0.0102612	0.00166506	0.0478513
g	0.0257183	0.785113	0.0555019	0.0386425	0.009894	0.0183384	0.00724168	0.00158829	0.00370095	0.00601417	0.00380656	0.00351722	0.00604258	0.00393747	0.00166156	0.0292814
á	0.00906139	0.791551	0.0666784	0.0413387	0.00873426	0.0257072	0.00349125	0.00224422	0.00632522	0.0151019	0.0015888	0.00346305	0.00793122	0.00466408	0.00111057	0.0110086
b	0.0261094	0.0131261	0.118865	0.134906	0.162828	0.244187	0.11272	0.0312767	0.0248948	0.0123486	0.0200106	0.0259226	0.0171546	0.00827407	0.00796141	0.0394159
a	0.0394079	0.0147827	0.17303	0.241593	0.24781	0.0739682	0.0651138	0.0225615	0.0180475	0.0200033	0.0298037	0.0258706	0.0115421	0.00349846	0.0014253	0.0115415
r	0.00686694	0.0255045	0.0852899	0.14843	0.223308	0.176913	0.110728	0.0325642	0.0169665	0.0373937	0.0589824	0.0311727	0.0141943	0.00433828	0.00128675	0.0260606
e	0.0243014	0.126993	0.19534	0.181609	0.136906	0.104308	0.0626285	0.0114515	0.0126045	0.0203615	0.0158471	0.0130741	0.0199751	0.00523724	0.00118645	0.0681766
á	0.00178464	0.0162104	0.0884332	0.109486	0.126693	0.293695	0.113861	0.0738716	0.035221	0.03562	0.0240601	0.0338326	0.0289887	0.0111726	0.000506127	0.00656391
d	0.0100773	0.00658966	0.0714651	0.086598	0.0609693	0.0505917	0.0992895	0.326421	0.0410739	0.010882	0.0141963	0.0276021	0.0676566	0.0961677	0.00748548	0.0229342
z	0.00409433	0.00174176	0.0204106	0.0111889	0.0258806	0.0318794	0.0499166	0.426365	0.10698	0.0235332	0.014808	0.0427383	0.0390215	0.0946227	0.0058473	0.100972
e	0.0085102	0.00267681	0.0824131	0.0224475	0.0721707	0.0293166	0.0965494	0.492697	0.120416	0.01213	0.0105858	0.0220978	0.00685756	0.0148566	0.000813364	0.00546194
a	0.00135751	0.00435994	0.018956	0.0161371	0.0252843	0.0908934	0.0572728	0.143136	0.181667	0.180633	0.109978	0.0884396	0.0348637	0.021119	0.00648986	0.0194137
y	0.00406089	0.00471124	0.0119705	0.0121097	0.014899	0.0178924	0.0395562	0.143949	0.127605	0.105276	0.098981	0.160695	0.134018	0.0679527	0.0136287	0.0426934
í	0.00315309	0.00487027	0.0176394	0.00801642	0.00549803	0.0103964	0.0105693	0.186803	0.0665034	0.031447	0.0126266	0.0487134	0.0718985	0.468207	0.016617	0.0370413
í	0.000677343	0.000875001	0.0077747	0.00276249	0.0132269	0.018221	0.0201623	0.186021	0.165668	0.12356	0.0414283	0.103561	0.0554014	0.125657	0.0283133	0.10669
e	0.000535394	0.000636269	0.00364829	0.00438838	0.00591053	0.0102632	0.0300388	0.0467095	0.073677	0.0797689	0.171956	0.303029	0.176841	0.0689644	0.00459737	0.019037
b	0.00296476	0.00109763	0.00405989	0.00365981	0.00403153	0.00314453	0.00329003	0.0229417	0.0537863	0.0602628	0.0314954	0.156039	0.300301	0.219854	0.0754859	0.0575847
é	0.00484493	0.00283588	0.0148915	0.0134987	0.0129088	0.0147059	0.0060554	0.0136056	0.0594425	0.146579	0.0602675	0.155379	0.291649	0.05614	0.0459045	0.101292
e	0.000190622	9.74831e-05	0.000535065	0.00100996	0.00325775	0.00311643	0.00837269	0.0252873	0.026122	0.0391832	0.069936	0.150952	0.243027	0.084272	0.0645612	0.280079
y	0.000531267	0.000106783	0.00203982	0.00184189	0.00328258	0.0042629	0.0108521	0.0154202	0.0414945	0.0282071	0.0686811	0.255315	0.320592	0.128855	0.0215387	0.0969793
á	0.000989491	0.00032567	0.00436445	0.00419231	0.00425461	0.00898419	0.00489266	0.025861	0.0530494	0.031393	0.0099029	0.0643584	0.12359	0.450344	0.0757408	0.137757
a	0.000581284	0.00150787	0.00454452	0.0052015	0.00510607	0.0144212	0.0119723	0.00948024	0.0318524	0.0356352	0.0282129	0.0915032	0.121433	0.260961	0.275271	0.102317
t	0.0010283	0.000923723	0.00239509	0.00272769	0.00189865	0.00190118	0.00148305	0.00652605	0.00608427	0.00690385	0.00443991	0.0326802	0.137521	0.569532	0.127267	0.0966876
á	0.000154968	6.81444e-05	0.00119719	0.00186055	0.00120253	0.00176456	0.00170857	0.00756011	0.0131259	0.00375748	0.00250177	0.0218709	0.0927857	0.279549	0.493306	0.0775862
n	9.89539e-05	5.5776e-05	0.000543582	0.00120097	0.00138699	0.00221495	0.00315231	0.0112081	0.00920274	0.00539043	0.00606943	0.0466181	0.111699	0.405912	0.284627	0.11062
