 	elle	a	une	mauvaise	manière	de	partager	la	nourriture	</S>
e	0.0406104	0.0154804	0.00937437	0.107635	0.0431519	0.07394	0.597396	0.0193055	0.00592883	0.0871772
k	0.0103214	0.0252369	0.0187879	0.0186634	0.0052905	0.0156214	0.565508	0.123551	0.0625147	0.154504
a	0.0110209	0.0205782	0.0357757	0.0591155	0.00928052	0.009909	0.770048	0.0199174	0.0425314	0.0218237
b	0.000534804	0.00303758	0.00161497	0.00611852	0.00567572	0.0328975	0.809453	0.0509948	0.0312737	0.058399
h	0.0148321	0.0071307	0.00255968	0.0446876	0.0746276	0.138328	0.505146	0.0492353	0.0388817	0.124571
í	0.102651	0.071748	0.04181	0.023792	0.00929701	0.0941516	0.174206	0.0733254	0.0720374	0.336982
l	0.0274251	0.0576642	0.0525264	0.0503575	0.0606197	0.120757	0.017442	0.231704	0.136992	0.244512
í	0.106368	0.259688	0.114473	0.0238667	0.03212	0.0408072	0.0145831	0.0539689	0.0467897	0.307335
y	0.168491	0.144454	0.181039	0.10516	0.113833	0.132904	0.0221648	0.0713024	0.0203719	0.04028
á	0.0168557	0.116626	0.256522	0.0482466	0.112348	0.22902	0.0122588	0.0798828	0.00676068	0.121479
w	0.117398	0.177635	0.209489	0.0136379	0.0135534	0.16553	0.0669196	0.139284	0.0703591	0.0261938
a	0.0362162	0.0283123	0.0119798	0.00525852	0.00661982	0.137346	0.213737	0.287725	0.186666	0.0861386
y	0.00254073	0.00631015	0.0155205	0.029404	0.0553939	0.260634	0.0467262	0.372851	0.102173	0.108446
á	0.00944291	0.0722882	0.139532	0.0143195	0.056855	0.244033	0.0208344	0.294478	0.0854536	0.0627629
b	0.0119995	0.0114361	0.0524713	0.0211166	0.0282177	0.218428	0.0212915	0.426089	0.165564	0.0433869
e	0.0129438	0.012678	0.0103998	0.00495757	0.00325354	0.0992538	0.150251	0.223974	0.462395	0.0198936
a	0.00143783	0.00201086	0.0017062	0.00308453	0.00703545	0.0820931	0.0915928	0.293083	0.381877	0.136079
é	0.00250578	0.00726927	0.0163833	0.0212728	0.0513848	0.265095	0.0196941	0.376564	0.0672707	0.17256
d	0.00595512	0.0521407	0.0522601	0.0218765	0.0147429	0.0413588	0.0349953	0.404686	0.0701862	0.301799
i	0.0013736	0.0466892	0.184186	0.0732372	0.0149574	0.0155973	0.00664699	0.086676	0.0316433	0.538993
e	0.0022782	0.0224043	0.236265	0.354401	0.0468419	0.0511344	0.00605417	0.110148	0.0226815	0.147792
b	0.00336065	0.0164556	0.0439396	0.0554491	0.0331312	0.0180164	0.0321076	0.0972167	0.0692484	0.631075
é	0.00419512	0.0109709	0.0139408	0.0266106	0.00758613	0.0145304	0.254646	0.12759	0.377541	0.162388
</S>	0.00104101	0.00402363	0.0070995	0.0274888	0.00964153	0.0161037	0.030121	0.053885	0.115436	0.73516
