 	ces	femmes	se	sont	disputées	au	sujet	d'	un	mari	</S>
a	0.882944	0.0946793	0.00981092	0.00126376	0.00408158	0.00346094	0.00119347	0.00160886	0.000668108	0.00018356	0.000105714
y	0.0446378	0.944169	0.00808534	0.000911559	0.000411907	8.68664e-05	3.22478e-05	0.000150629	0.000304174	0.00107399	0.000136806
ú	0.697056	0.281273	0.00374008	0.00220439	0.0116303	0.000996803	0.000413112	0.000541598	0.000417126	0.00127767	0.000449483
r	0.893593	0.0910095	0.00095387	0.000663398	0.00857408	0.00100618	0.000112741	0.000403584	0.000473962	0.00134359	0.00186588
u	0.901207	0.0588351	0.0107321	0.0027435	0.0133904	0.00440247	0.000677223	0.00139806	0.00160371	0.00160849	0.00340194
b	0.10299	0.00665736	0.625952	0.145524	0.037511	0.0140765	0.00775676	0.0134548	0.00812238	0.00247206	0.0354831
á	0.165576	0.00417024	0.417869	0.144626	0.0293161	0.0490873	0.0635558	0.0594525	0.0336638	0.00946452	0.0232193
á	0.050519	0.00644253	0.672663	0.177305	0.0314989	0.0152158	0.0156245	0.00953249	0.00778853	0.00140299	0.0120072
d	0.00166788	0.00075926	0.0661198	0.644204	0.164046	0.0554259	0.0105342	0.013637	0.0158582	0.0130199	0.0147277
u	0.0119224	0.00105267	0.0487873	0.642753	0.169854	0.0385197	0.0172586	0.0127119	0.00560962	0.00549307	0.046037
m	0.0388445	0.00142488	0.0285817	0.182057	0.618213	0.0885102	0.0108121	0.00921159	0.0153381	0.00145933	0.00554802
u	0.00266369	0.000463147	0.0118186	0.0917852	0.686634	0.162093	0.00568686	0.0178252	0.0154192	0.000908625	0.00470262
n	0.00347263	0.000418384	0.0177058	0.102108	0.270633	0.343919	0.067208	0.0558273	0.0930203	0.0355711	0.0101161
u	0.00575464	0.000239409	0.00430888	0.0196171	0.588238	0.284024	0.0332055	0.0185324	0.0124925	0.0117074	0.0218805
m	0.00840906	0.000145185	0.00742384	0.0161229	0.209591	0.336637	0.212467	0.0976699	0.0635135	0.03615	0.0118702
ó	0.0140077	0.000339807	0.00324363	0.00953528	0.14653	0.444879	0.0386191	0.0637439	0.0902772	0.0126107	0.176214
l	0.0177308	0.000851133	0.000896589	0.00356911	0.0135614	0.0514721	0.043003	0.0486138	0.160099	0.636248	0.0239552
ó	0.00121445	1.13617e-05	0.00101076	0.00294621	0.00530478	0.0101974	0.0206757	0.0523756	0.0582402	0.818879	0.0291449
m	0.000201274	1.32643e-05	0.000641633	0.00105549	0.00207289	0.00272926	0.0120417	0.01651	0.01169	0.94595	0.00709391
i	0.000792196	2.02228e-05	0.00115649	0.00532549	0.00660085	0.0235569	0.00670781	0.032715	0.0546206	0.670692	0.197813
</S>	0.0100145	9.87781e-05	0.00524214	0.00704189	0.00873229	0.0282064	0.0407686	0.131108	0.119105	0.137153	0.512529
