 	cette	femme	élève	ses	enfants	par	ses	propres	moyens	</S>
o	0.944642	0.009825	0.00685498	0.00816108	0.0226498	0.00349956	0.0037971	0.000466904	9.25509e-05	1.10456e-05
y	0.0808698	0.895866	0.0136495	0.0012641	0.00149839	0.00186312	0.000889484	0.00119439	0.00168978	0.00121517
ú	0.826608	0.167517	0.00364789	0.000504264	0.000174447	0.000211269	0.000214967	0.000780468	0.000112913	0.000229571
r	0.929656	0.0181358	0.0169423	0.00820401	0.0011235	0.00327445	0.0068277	0.00493735	0.00194325	0.00895576
u	0.835799	0.0942472	0.0174932	0.0211751	0.00518869	0.00839049	0.00653161	0.00372446	0.00488526	0.00256492
w	0.183062	0.149857	0.421057	0.0852713	0.0200493	0.0236607	0.0339244	0.0277464	0.0128252	0.0425468
á	0.165958	0.00547793	0.251656	0.0605875	0.0317779	0.095754	0.147654	0.062274	0.0641989	0.114661
l	0.0805634	0.00878682	0.436861	0.0718967	0.064742	0.0481052	0.0674793	0.0549081	0.0568767	0.10978
á	0.03732	0.0136267	0.275156	0.115662	0.04764	0.0270794	0.0303974	0.0620327	0.10912	0.281966
a	0.149114	0.0136967	0.248165	0.223433	0.198829	0.044812	0.0312273	0.0260995	0.0461775	0.018446
y	0.0120983	0.017037	0.514316	0.150222	0.0316298	0.0806152	0.0248281	0.0162273	0.0129484	0.140078
ώ	0.044881	0.0180117	0.683348	0.10169	0.00765194	0.0149735	0.0102623	0.0117871	0.0044666	0.102927
ώ	0.00330479	0.000348693	0.633724	0.114943	0.0078178	0.020849	0.032721	0.0155913	0.0212443	0.149457
b	0.00415094	6.46978e-05	0.132582	0.628974	0.121684	0.0503112	0.0429675	0.0066189	0.00492993	0.00771612
á	0.00126072	8.72845e-05	0.0329377	0.209249	0.632131	0.0532914	0.0306889	0.00132384	0.0372843	0.00174665
n	0.000765325	2.28801e-05	0.0162452	0.155905	0.680848	0.0578116	0.0401959	0.00760681	0.0355323	0.00506641
a	0.00180814	5.38525e-05	0.0273988	0.267192	0.659395	0.00818769	0.00996084	0.0032969	0.0180789	0.00462802
m	0.000335749	3.28304e-05	0.185874	0.284357	0.229566	0.160978	0.104649	0.0216207	0.00465735	0.0079294
ó	0.0102152	0.000292534	0.0213869	0.0802845	0.0342123	0.333499	0.310472	0.0428247	0.0373512	0.129462
p	0.00369056	0.000404523	0.0109834	0.0496403	0.0737276	0.381601	0.279901	0.150001	0.0333087	0.0167414
á	0.00246308	3.67517e-05	0.0132899	0.0390074	0.0971156	0.433396	0.318417	0.0492788	0.0207171	0.0262781
m	0.00154267	7.41705e-05	0.0199758	0.0850513	0.141899	0.252197	0.239971	0.11934	0.0570395	0.0829087
i	0.00276086	4.45296e-05	0.00338482	0.0289275	0.0392081	0.359391	0.401279	0.0917328	0.0467196	0.026552
y	0.00194341	4.84008e-05	0.00605618	0.0205582	0.0131752	0.117709	0.237777	0.334448	0.0677016	0.200583
á	0.00321399	5.14784e-05	0.0348323	0.0261742	0.00443332	0.0815665	0.20512	0.508424	0.0682774	0.0679065
w	0.00357218	0.000164432	0.00788757	0.0325366	0.0228515	0.0326741	0.134611	0.44774	0.25657	0.0613922
a	0.00195035	1.64641e-05	0.0156873	0.0279713	0.0190851	0.0679206	0.329918	0.306102	0.165583	0.0657658
m	0.00115966	3.92116e-05	0.00326141	0.00911486	0.0122607	0.0356911	0.150468	0.457993	0.125886	0.204125
έ	0.0110867	0.00266076	0.004397	0.0109822	0.00495796	0.169758	0.234656	0.226094	0.107435	0.227972
n	0.000198021	9.78671e-05	0.00317635	0.0138069	0.0115697	0.0686221	0.112302	0.119066	0.555063	0.116098
ε	0.00770513	0.000117033	0.0165586	0.0272762	0.0151956	0.00696993	0.034397	0.108347	0.558716	0.224717
</S>	3.90925e-05	3.99103e-06	0.0017336	0.00240787	0.00112519	0.0113006	0.0515031	0.150259	0.0987869	0.682841
