 	sa	blessure	n'	est	pas	guérie	</S>
p	0.43181	0.452509	0.0842217	0.0141484	0.00845679	0.00112802	0.00772666
ó	0.0428728	0.921554	0.0197917	0.00509455	0.00218675	0.00332636	0.00517368
r	0.0552123	0.55853	0.26516	0.0517379	0.010216	0.00921292	0.0499311
á	0.156132	0.737432	0.0559242	0.019587	0.0111216	0.0038194	0.0159844
y	0.470969	0.181155	0.288779	0.0252971	0.0179843	0.00206969	0.0137459
á	0.85731	0.0701069	0.0180351	0.00927222	0.0222649	0.00505164	0.0179591
w	0.76847	0.0202961	0.148108	0.0246663	0.0253979	0.00509543	0.00796567
a	0.665401	0.14218	0.120181	0.0195365	0.0154958	0.00204125	0.0351652
έ	0.160743	0.0303949	0.498582	0.153306	0.0917461	0.00769772	0.0575305
s	0.0143792	0.0206039	0.158192	0.331115	0.261045	0.156369	0.0582965
á	0.00927974	0.00320255	0.0370286	0.253053	0.276008	0.263265	0.158163
a	0.04055	0.00324759	0.0688255	0.313002	0.24599	0.139829	0.188556
o	0.0303607	0.00625822	0.117282	0.192105	0.177965	0.283499	0.19253
s	0.0020409	0.00438262	0.00871944	0.027308	0.0365098	0.835042	0.0859967
í	0.000832259	0.00219625	0.000939199	0.00822019	0.0896304	0.789978	0.108203
a	0.00224979	0.000308146	0.00770773	0.0374322	0.176802	0.229606	0.545894
k	0.0145731	0.00152097	0.0154583	0.049355	0.193998	0.201477	0.523618
a	0.0147104	0.0459616	0.0170101	0.0789688	0.274662	0.26329	0.305397
á	0.00299836	0.00491288	0.00358924	0.0257954	0.0313122	0.0389919	0.8924
</S>	0.0106268	0.00259531	0.0277988	0.0331831	0.0561081	0.173578	0.69611
