 	on	ne	venge	plus	les	morts	par	des	fétiches	dans	notre	famille	</S>
n	0.632175	0.300274	0.0285555	0.0180266	0.00821569	0.0027266	0.00380425	0.00226826	0.000954229	0.00171348	0.00107284	0.000180484	3.27044e-05
d	0.417254	0.0537218	0.482258	0.0296102	0.00463223	0.00106494	0.00351423	0.00164331	0.000611451	0.000914404	0.00418695	0.000535081	5.36732e-05
é	0.068461	0.116917	0.626768	0.0996281	0.0251147	0.0193527	0.0184584	0.00890641	0.00702937	0.00246532	0.00182411	0.00456429	0.000510286
e	0.0641878	0.128032	0.631324	0.0887581	0.0186833	0.0181859	0.0155103	0.00719549	0.00967278	0.00347013	0.00667803	0.00393961	0.00436234
y	0.231873	0.420349	0.134826	0.10799	0.0385688	0.00874849	0.00957541	0.00854157	0.00486117	0.00879132	0.00599543	0.00272031	0.0171594
á	0.217689	0.30118	0.148444	0.0984876	0.0341879	0.00935394	0.0251018	0.0237407	0.0340155	0.0265021	0.0300818	0.00762105	0.0435946
b	0.157662	0.0526376	0.670658	0.0559017	0.0153012	0.00476512	0.00490336	0.00455308	0.00976509	0.00495041	0.00696828	0.00180069	0.0101337
í	0.175119	0.0867468	0.637951	0.0587045	0.0111962	0.006149	0.00573718	0.00537387	0.00258335	0.00174765	0.00455326	0.0031051	0.0010334
s	0.228454	0.0801574	0.552893	0.0463239	0.0152135	0.0149796	0.0054093	0.0112108	0.00297747	0.00443364	0.0188543	0.00214653	0.0169467
í	0.143406	0.0647438	0.372402	0.140386	0.0264952	0.0339155	0.0348931	0.0406077	0.0126228	0.023684	0.0897912	0.00329204	0.0137603
á	0.0344406	0.105213	0.0715354	0.408365	0.229051	0.0593794	0.0181175	0.0108695	0.00763083	0.0133422	0.00653742	0.00804092	0.027477
b	0.00767411	0.0343024	0.0539713	0.264299	0.430119	0.14796	0.0178301	0.00630521	0.00395291	0.00513795	0.00307075	0.00777376	0.0176031
h	0.00687443	0.042708	0.0501757	0.14387	0.34832	0.329402	0.0327708	0.0180813	0.00580722	0.0052167	0.00396948	0.0025569	0.010248
i	0.0121068	0.0722077	0.056879	0.12209	0.301345	0.346017	0.0478203	0.0200919	0.00587729	0.00396432	0.0012939	0.00135412	0.00895252
á	0.00753427	0.0291816	0.0323515	0.0523085	0.17941	0.461802	0.0873865	0.0539498	0.0184569	0.014501	0.0027599	0.00591615	0.0544422
m	0.0125207	0.00856145	0.0837831	0.0842979	0.197498	0.277244	0.185039	0.0624087	0.0305289	0.0182777	0.0239677	0.00615948	0.00971358
b	0.00855134	0.0128586	0.0140091	0.11191	0.162896	0.0562865	0.248623	0.211127	0.0701366	0.0346612	0.0217354	0.00687034	0.0403354
i	0.00385837	0.0086741	0.0119376	0.0466774	0.154656	0.277511	0.287737	0.1411	0.0386637	0.0125395	0.0067262	0.00331621	0.00660277
n	0.00455396	0.013996	0.00684322	0.0946795	0.198736	0.451389	0.143805	0.0533986	0.00802955	0.00426211	0.00538363	0.00113029	0.0137918
d	0.00416134	0.0110566	0.006746	0.0526104	0.10816	0.627324	0.110093	0.0366649	0.0134156	0.00597391	0.00215602	0.00167404	0.0199642
i	0.00238951	0.00401368	0.0107163	0.0320968	0.0439776	0.520664	0.192782	0.0686768	0.0485305	0.00873926	0.00175636	0.00364446	0.0620129
y	0.00414673	0.00976787	0.00576558	0.0517083	0.0848696	0.453025	0.209944	0.0888546	0.0422751	0.0259896	0.00548669	0.0038732	0.0142937
á	0.00802754	0.0360671	0.00548494	0.0435894	0.100866	0.0661735	0.126731	0.158654	0.211312	0.151561	0.0241572	0.0393518	0.0280241
w	0.00859987	0.0143304	0.0430538	0.0329163	0.0585086	0.024295	0.107874	0.17641	0.331611	0.130697	0.0348451	0.0276696	0.00918989
é	0.00527278	0.0065783	0.00844682	0.0123226	0.0331476	0.0424128	0.0721628	0.125312	0.284034	0.213038	0.0322723	0.0988753	0.0661248
e	0.0019296	0.00368258	0.000669589	0.0121915	0.0201348	0.0506554	0.121471	0.172076	0.292723	0.147016	0.010161	0.0739931	0.0932967
o	0.00365588	0.0147469	0.000857245	0.0079768	0.0167182	0.0457447	0.0704927	0.127583	0.131172	0.174107	0.0191441	0.232308	0.155494
k	0.000361072	0.00692648	0.0011052	0.0103939	0.0251094	0.0150581	0.087486	0.112446	0.167487	0.145304	0.0170274	0.36112	0.0501749
o	0.000375361	0.00647	0.000787459	0.00636943	0.0109684	0.0228633	0.024292	0.032389	0.117718	0.0689285	0.00223122	0.675635	0.0309728
b	0.000375721	0.00314089	0.000619883	0.00327318	0.0108867	0.0386251	0.0266844	0.041413	0.16643	0.106117	0.00400381	0.439664	0.158767
h	0.00425333	0.017112	0.00213757	0.0055534	0.0173416	0.0711576	0.0619713	0.113079	0.0717859	0.121513	0.0295534	0.0852558	0.399285
a	0.00193345	0.00475546	0.000363745	0.00244151	0.00717443	0.0618965	0.0359126	0.0675152	0.122111	0.149877	0.0220416	0.221203	0.302775
k	0.000575504	0.00228518	0.000390356	0.00132918	0.004306	0.00782184	0.0107498	0.0220818	0.0278021	0.24575	0.105185	0.226969	0.344755
a	0.00198524	0.00494485	0.0022179	0.00209052	0.00291475	0.016831	0.00927549	0.0314387	0.0527747	0.174697	0.0252621	0.458265	0.217303
á	0.000135241	0.000220005	0.000273838	0.000332114	0.000912183	0.0119272	0.00708063	0.0242048	0.0754589	0.109061	0.00913182	0.456753	0.304508
</S>	0.00110086	0.00105182	0.000581319	0.00325019	0.00445977	0.00730764	0.0125472	0.0201368	0.0111069	0.0923067	0.200851	0.195934	0.449366
