 	nous	avons	comblé	les	trous	qui	étaient	au	milieu	de	la	route	</S>
b	0.808225	0.169573	0.0121422	0.00583998	0.00250284	0.000501599	4.55674e-05	0.000158125	9.29856e-05	8.47498e-05	0.000346771	0.00044148	4.50212e-05
í	0.531176	0.434307	0.0104421	0.0127797	0.00470284	0.00199047	8.73213e-05	0.000915441	0.000518338	0.000662034	0.00236805	2.68652e-06	4.76924e-05
s	0.98416	0.0148436	0.000663448	0.000152595	9.05528e-05	3.18495e-05	5.94663e-06	1.22459e-05	1.56769e-05	4.61767e-06	8.12762e-06	8.28539e-08	1.0841e-05
í	0.551846	0.174397	0.0731815	0.0771879	0.0269923	0.0259512	0.0118658	0.0202344	0.0154971	0.00527612	0.00309974	2.76064e-05	0.0144433
l	0.0222838	0.236719	0.265097	0.0372334	0.0173472	0.0144405	0.0188467	0.020776	0.0120514	0.0155195	0.0262677	0.000365287	0.313052
é	0.00167859	0.0626857	0.0784748	0.0667365	0.0692199	0.0824348	0.10067	0.0658317	0.0305395	0.0532546	0.0509757	0.00162002	0.335878
k	0.000646614	0.0821808	0.885523	0.00903978	0.000850906	0.00407282	0.005775	0.00265003	0.00103274	0.00154358	0.0018875	1.81758e-05	0.00477959
í	0.000238085	0.0204497	0.951469	0.0111415	0.00154769	0.00338886	0.00544784	0.00171275	0.0012773	0.000841588	0.000510227	0.000123156	0.00185257
í	0.00115288	0.0400014	0.930766	0.0120348	0.00159031	0.00101623	0.00548865	0.00152549	0.00116748	0.00193412	0.000681838	0.000392154	0.00224887
s	0.00180787	0.0396302	0.0424368	0.591577	0.19276	0.034619	0.0177319	0.0159702	0.00986289	0.0149112	0.0121521	0.00462588	0.0219148
i	0.000197429	0.0111518	0.195878	0.526111	0.0602573	0.0418631	0.0316599	0.0335375	0.0397051	0.0195358	0.0149377	0.000708033	0.0244568
a	0.00122101	0.0124495	0.00837087	0.516444	0.329655	0.0732006	0.0147472	0.011554	0.00546572	0.00568021	0.00563337	0.00106079	0.0145179
b	0.000330275	0.00384441	0.0190615	0.220461	0.530824	0.117701	0.0627295	0.0148176	0.00820077	0.00868822	0.00272513	0.00448658	0.00613012
é	0.000183916	0.00107977	0.00860323	0.0454202	0.818667	0.051798	0.0394597	0.00951263	0.0107698	0.00613505	0.000812168	0.00375077	0.00380769
á	0.000113002	0.00272471	0.0358158	0.0443912	0.322418	0.0758712	0.143596	0.0518718	0.0705318	0.0652032	0.0230337	0.0169217	0.147507
m	0.000142332	0.00894753	0.0167829	0.0596745	0.129185	0.427137	0.196486	0.0812952	0.0179582	0.0158615	0.0142271	0.000797099	0.0315063
á	0.000490892	0.00102589	0.000379736	0.0179739	0.109017	0.344495	0.276173	0.138872	0.0254652	0.0218655	0.015962	0.000198107	0.0480822
á	0.000344786	0.00232716	0.00116765	0.0610177	0.142915	0.155078	0.338413	0.148472	0.0716714	0.0371558	0.0104547	0.00727805	0.0237044
d	0.000109963	0.00180367	0.0108576	0.0107722	0.0101724	0.0639731	0.453253	0.230012	0.101333	0.0670947	0.0236148	0.0115968	0.0154061
z	2.42863e-05	0.00144655	0.0096886	0.00917048	0.00448791	0.099554	0.50434	0.192137	0.0760225	0.0628098	0.0224429	0.0021357	0.0157404
e	0.000427898	0.00195742	0.00098526	0.0114312	0.0120041	0.187648	0.453133	0.199337	0.06473	0.0386063	0.0160202	0.000429412	0.0132904
ó	1.49114e-05	0.000144265	0.000891483	0.00676832	0.00461231	0.0838973	0.210412	0.308526	0.16852	0.135357	0.0495763	0.00601242	0.0252688
s	9.39082e-05	0.00208318	0.0351403	0.0131505	0.00224986	0.014857	0.0751088	0.199507	0.221306	0.302767	0.094876	0.0184087	0.0204522
w	0.000138455	0.00204453	0.0225338	0.0202514	0.000624115	0.0179354	0.0704817	0.18889	0.208596	0.219257	0.126771	0.0080343	0.114443
έ	0.00216242	0.000804657	0.0003765	0.012526	0.00131478	0.0377584	0.0596097	0.336224	0.350664	0.117962	0.0562403	0.00112048	0.0232364
b	1.62404e-06	4.10801e-06	0.000146149	0.000685864	0.00062093	0.0125381	0.0550902	0.199718	0.229226	0.298124	0.108543	0.00851954	0.0867835
h	2.50097e-05	9.88399e-06	6.91221e-05	0.000712965	0.000977294	0.00616531	0.028775	0.0742219	0.427294	0.243722	0.0851293	0.0197317	0.113166
έ	6.67479e-06	2.17257e-06	7.30099e-05	0.000683569	0.000198169	0.00475383	0.0103634	0.106562	0.487175	0.260197	0.0753583	0.0059983	0.0486284
y	1.94256e-05	1.11915e-05	0.000115863	0.00142151	0.000310534	0.00611251	0.0076148	0.0900944	0.169806	0.344515	0.191972	0.018292	0.169714
á	0.000192821	0.000678391	0.000525055	0.0109481	0.00201911	0.0270083	0.0490794	0.165851	0.168102	0.229512	0.181093	0.0155068	0.149484
k	0.000206046	0.000736423	0.000282947	0.0286097	0.00398138	0.00823359	0.0060312	0.0437133	0.105614	0.165271	0.299832	0.24603	0.091458
ó	1.39922e-05	9.98799e-06	8.40501e-05	0.00038155	0.000154013	0.000325285	0.000958108	0.00432975	0.0308213	0.0369277	0.0163323	0.900283	0.00937881
ó	4.82688e-05	1.68514e-05	6.31512e-05	0.000171863	0.000217114	0.000339628	0.00242202	0.00450645	0.0163433	0.0186383	0.00944944	0.936661	0.0111224
</S>	1.27509e-05	0.00098712	0.00161553	0.00372313	0.00130941	0.00473472	0.00578057	0.0303623	0.0277799	0.128603	0.218117	0.0579416	0.519033
