 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
l	0.163831	0.172164	0.0962655	0.0722121	0.0922426	0.0795324	0.0996511	0.107613	0.0839473	0.0299777	0.00194745	0.000615254
e	0.287209	0.21361	0.020606	0.0249612	0.050743	0.0448186	0.0865344	0.108005	0.0565278	0.0734002	0.0304217	0.00316316
k	0.141094	0.211776	0.0701012	0.0881513	0.0413192	0.0342193	0.0638582	0.0913634	0.044325	0.043539	0.0695804	0.100674
ú	0.0253655	0.252458	0.106099	0.0736294	0.0771193	0.0417139	0.0672611	0.0852389	0.0609753	0.0377387	0.0751114	0.0972892
m	0.0155294	0.139862	0.171328	0.154884	0.108469	0.0649526	0.0925806	0.0720221	0.01268	0.00681469	0.0618976	0.0989805
a	0.187486	0.134016	0.188882	0.141301	0.110371	0.10519	0.0413688	0.0444694	0.023407	0.00434742	0.00186851	0.0172923
a	0.0276543	0.0132803	0.329773	0.208101	0.14817	0.0688519	0.051911	0.0362287	0.0252914	0.0117867	0.00626673	0.0726847
a	0.0185435	0.110253	0.362463	0.132024	0.0852762	0.0389904	0.0479764	0.0317476	0.0281288	0.0305469	0.0245866	0.0894647
t	0.00577765	0.050096	0.170685	0.107677	0.116031	0.0772911	0.0896064	0.0801233	0.0625574	0.0323777	0.078175	0.129603
ú	0.00311675	0.0775835	0.180639	0.193716	0.0948428	0.0813297	0.0808077	0.0566642	0.0502162	0.00693936	0.0658852	0.10826
e	0.00344017	0.010849	0.133739	0.174706	0.166759	0.1173	0.107687	0.0772985	0.0439765	0.00812566	0.0246381	0.131481
m	0.00075721	0.000643915	0.0559547	0.0555322	0.195269	0.206101	0.208941	0.149772	0.0726476	0.0127093	0.00723079	0.0344411
ó	0.00114108	0.000428603	0.0173321	0.188826	0.169918	0.208484	0.0996975	0.114415	0.0473314	0.00498151	0.0339433	0.113502
y	0.00173628	0.00047623	0.0145596	0.0479254	0.082854	0.104028	0.162836	0.224037	0.0797257	0.00964685	0.25712	0.0150538
έ	0.000336664	0.000347018	0.00637749	0.0154641	0.0651742	0.11177	0.204878	0.200323	0.0441278	0.017071	0.282948	0.0511828
έ	0.00011068	7.71755e-05	0.0065606	0.00676578	0.0703418	0.124631	0.264608	0.252733	0.0682028	0.0293431	0.0777119	0.0989138
s	0.000587792	0.00067486	0.0127405	0.0180769	0.0575439	0.115875	0.209253	0.219499	0.200392	0.0333999	0.0933139	0.0386433
ε	0.000222048	0.000285944	0.00362983	0.00462807	0.0512631	0.108346	0.219972	0.244031	0.0891883	0.0316207	0.148184	0.0986302
r	3.71469e-05	3.2283e-05	0.00224008	0.00311523	0.0385051	0.0913049	0.211114	0.292846	0.0988419	0.0300603	0.164432	0.0674706
έ	0.000244449	0.000203987	0.00290602	0.0059666	0.0567434	0.108513	0.241607	0.283232	0.0547833	0.0928736	0.112729	0.0401974
b	0.000268967	0.000230646	0.0070227	0.0054022	0.0280922	0.0708798	0.139397	0.216469	0.212487	0.154912	0.0581419	0.106697
á	0.00433037	0.00228812	0.00411355	0.00426927	0.0179352	0.0282925	0.0669917	0.114311	0.466667	0.219926	0.0489891	0.0218854
a	0.00188493	0.00158854	0.00650219	0.00246442	0.0120163	0.0228845	0.0589699	0.0860868	0.311809	0.397388	0.0475932	0.0508124
l	0.000327128	0.000833486	0.00541413	0.00345428	0.00744835	0.0118401	0.0273344	0.0496005	0.148991	0.169176	0.137276	0.438305
a	0.0016883	0.00356267	0.00999178	0.00356557	0.0105538	0.0097619	0.0321978	0.0368686	0.0546221	0.259288	0.289326	0.288574
b	0.000210172	0.00035046	0.00605887	0.00233926	0.0129451	0.0309197	0.0932733	0.119602	0.102325	0.301688	0.181288	0.149
í	0.00219221	0.00175609	0.00417392	0.0017494	0.00850132	0.00993267	0.0409916	0.062528	0.190457	0.603207	0.0574525	0.017059
n	0.00175675	0.00109983	0.00331264	0.000755662	0.00555986	0.0096369	0.0306085	0.0484366	0.155199	0.709627	0.0122706	0.0217367
í	0.00752874	0.0036346	0.00367471	0.00259557	0.00949112	0.0135446	0.0394286	0.0718451	0.127332	0.601039	0.0449252	0.0749611
</S>	0.000161394	0.000599858	0.00335544	0.00319519	0.00729142	0.0118256	0.0247255	0.0472346	0.0940301	0.100646	0.106423	0.600512
