 	cette	porte	est	bloquée	</S>
o	0.678301	0.298698	0.0149274	0.00743279	0.000641725
n	0.0644593	0.920724	0.00718093	0.00696265	0.000673046
ω	0.0321544	0.91402	0.016482	0.0231777	0.0141662
ω	0.119789	0.838507	0.00532819	0.0192875	0.0170884
m	0.279023	0.265674	0.341687	0.00368913	0.109927
á	0.301566	0.0767404	0.442196	0.00931161	0.170185
n	0.621706	0.139681	0.160214	0.025712	0.0526872
d	0.383662	0.289072	0.197521	0.0547729	0.0749723
é	0.0706603	0.221111	0.254474	0.1244	0.329355
e	0.105925	0.223864	0.129503	0.338249	0.202459
m	0.068407	0.0924058	0.664842	0.0708247	0.10352
ú	0.112966	0.00803588	0.490347	0.0283887	0.360262
o	0.0334609	0.0154541	0.362089	0.231816	0.35718
m	0.018348	0.0155885	0.283264	0.536686	0.146114
i	0.0246214	0.0104825	0.330617	0.137658	0.496622
k	0.0111769	0.00307758	0.226271	0.130945	0.62853
a	0.0169785	0.0175191	0.111272	0.551192	0.303038
n	0.00308614	0.0080366	0.153837	0.302794	0.532246
g	0.00831796	0.0276286	0.0364567	0.623576	0.304021
a	0.0396827	0.0911648	0.0209107	0.570623	0.277619
m	0.0213633	0.0198661	0.114736	0.266253	0.577781
a	0.046932	0.00241492	0.1657	0.0600526	0.724901
</S>	0.0106688	0.00518983	0.0742727	0.280591	0.629278
