 	son	chef	de	service	lui	a	acheté	une	bicyclette	</S>
o	0.648677	0.301735	0.0200938	0.0117484	0.0114012	0.00404451	0.000388465	0.00125761	0.000543399	0.000110545
k	0.0205526	0.952079	0.00122419	0.000521114	0.000618012	0.00150032	0.00470741	0.00271072	0.0136286	0.00245847
o	0.00154829	0.975531	0.00230177	0.000135638	0.000321457	0.000293927	0.00100701	0.00195903	0.0145888	0.00231298
n	0.00518973	0.95101	0.00490885	0.000765246	0.000747537	0.00125986	0.00834559	0.0108586	0.0130538	0.00386056
d	0.0325227	0.94333	0.00232457	0.000329497	0.000458694	0.000593401	0.000414456	0.00295071	0.0114951	0.00558095
z	0.059998	0.903743	0.01047	0.00214799	0.00309855	0.00120424	0.00172616	0.00116842	0.00278751	0.0136559
i	0.0955971	0.745121	0.0134983	0.00271762	0.00464655	0.00219962	0.00609511	0.00474605	0.0275111	0.097868
y	0.269283	0.106647	0.509436	0.0180039	0.035762	0.0209772	0.00563028	0.0116128	0.00275954	0.0198883
a	0.597103	0.0136713	0.187144	0.10726	0.0395572	0.0393018	0.00370243	0.00506335	0.000795389	0.00640242
w	0.480308	0.00518666	0.0830619	0.302083	0.0415276	0.0839741	0.00100019	0.00136461	0.00034507	0.00114969
a	0.770925	0.0226175	0.0683816	0.0136646	0.0423427	0.0393046	0.00160557	0.00586804	0.006944	0.0283461
y	0.1202	0.00969044	0.540465	0.0698023	0.0618185	0.0712235	0.00676747	0.0593824	0.00948664	0.0511633
i	0.159512	0.00469255	0.331241	0.135936	0.153667	0.130928	0.00350382	0.0197291	0.00216933	0.0586214
s	0.0466188	0.00116754	0.159857	0.563824	0.126845	0.0851906	0.00480482	0.00575443	0.00159859	0.00433885
á	0.00622551	4.27811e-05	0.025357	0.819322	0.0511745	0.0536409	0.0337676	0.000765201	0.00023655	0.0094677
l	0.0265303	0.000337375	0.0954293	0.335729	0.184989	0.325125	0.0133684	0.00745514	0.0010732	0.00996416
a	0.0101044	0.00158219	0.145088	0.277205	0.220404	0.13838	0.059584	0.0170857	0.0117145	0.118852
á	0.00747895	0.000451181	0.238472	0.0929609	0.25143	0.261427	0.022623	0.0804653	0.00875524	0.0359356
s	0.00182177	0.00115456	0.0105567	0.00528904	0.0487214	0.117369	0.744914	0.0349931	0.00584127	0.0293396
ó	0.00100882	6.47504e-05	0.00364009	0.00438451	0.0199166	0.0853015	0.843304	0.0130125	0.00176497	0.0276021
m	0.000408409	3.98445e-05	0.0074336	0.00140814	0.0118506	0.0340819	0.844407	0.0605252	0.00327846	0.0365669
b	0.0015403	0.000239845	0.0612697	0.0435055	0.141208	0.203491	0.309761	0.153359	0.00562316	0.0800032
i	0.00797351	0.00425194	0.0956165	0.0201816	0.138192	0.0514933	0.0368247	0.19451	0.108092	0.342864
w	0.00327614	8.32379e-05	0.0202962	0.081339	0.218185	0.216072	0.00333333	0.390869	0.0265357	0.0400102
á	0.00995847	0.00275086	0.053929	0.074407	0.22008	0.136341	0.00413359	0.170646	0.10909	0.218664
b	0.0164704	0.000381451	0.0206408	0.175752	0.203205	0.166856	0.00129775	0.185869	0.11627	0.113258
i	0.00895505	0.00449951	0.011915	0.0204433	0.262286	0.216049	0.0308005	0.048294	0.343763	0.0529947
k	0.00823019	0.0013379	0.00802067	0.0332329	0.0739139	0.0246623	0.0201155	0.11686	0.55977	0.153856
á	0.00136071	0.00198516	0.0071837	0.00221081	0.0249078	0.0393961	0.00401435	0.174078	0.523837	0.221027
á	0.00371551	0.000283624	0.007024	0.00944758	0.0385062	0.0529838	0.0031565	0.22643	0.457822	0.200631
n	0.00122549	0.0003436	0.012706	0.0058624	0.0367445	0.0532974	0.0155853	0.140155	0.285832	0.448249
i	0.016995	0.000261109	0.0143675	0.079381	0.0794084	0.161084	0.0118541	0.102385	0.149036	0.385227
</S>	3.6359e-05	1.03469e-05	0.000857599	0.000903316	0.0041639	0.00729073	0.0144881	0.113804	0.158594	0.699851
