 	cet	homme-là	conduit	la	piroque	</S>
m	0.60372	0.382154	0.00868225	0.0036861	0.00151195	0.000246232
o	0.808512	0.116837	0.0689865	0.0016851	0.000552448	0.00342759
r	0.619434	0.302082	0.07177	0.00304871	0.000261565	0.00340423
o	0.714488	0.213551	0.0262968	0.00246194	0.000853576	0.0423479
w	0.563248	0.338254	0.076324	0.00503523	0.000707597	0.0164305
ú	0.39713	0.109524	0.30263	0.0872456	0.00803507	0.0954351
u	0.0913662	0.103889	0.680589	0.0518839	0.0039243	0.0683482
l	0.0656724	0.0260569	0.71429	0.170355	0.00255788	0.0210682
á	0.0283928	0.0219539	0.582547	0.243543	0.0134725	0.110091
a	0.102349	0.013228	0.300113	0.460209	0.0361161	0.0879848
d	0.00190264	0.0102769	0.190198	0.656355	0.0943231	0.0469445
u	0.00105853	0.00281473	0.0805348	0.822603	0.0642349	0.0287541
á	0.0451615	0.00294396	0.277823	0.642262	0.0146438	0.0171662
b	0.00333484	0.00125249	0.0695908	0.343515	0.513132	0.0691744
v	0.000261856	0.000956622	0.0016853	0.0196493	0.962867	0.0145798
á	7.13191e-05	0.000122707	0.000104995	0.00542312	0.990218	0.00405949
r	0.000661071	0.000627986	0.000954905	0.00954853	0.874761	0.113447
e	0.0130866	0.00455162	0.0414241	0.080299	0.568282	0.292356
</S>	0.00972186	0.00341037	0.0648084	0.21535	0.0805296	0.62618
