 	cette	femme	agit	avec	ostentation	parce	que	son	mari	est	riche	</S>
o	0.964861	0.0234692	0.00114229	0.00506001	0.00303742	0.000945432	0.000773935	0.000463119	2.77067e-05	0.000194942	1.18099e-05	1.32465e-05
y	0.0411758	0.948094	0.00698011	0.00107964	8.8502e-05	0.00032196	0.000244596	0.00018963	0.00016114	0.000110519	0.000649318	0.00090486
ú	0.950603	0.0434041	0.00175007	0.000601205	8.79531e-05	0.00119029	0.000597902	0.000907855	0.000143465	0.000316029	0.000199584	0.000198059
r	0.95402	0.0166365	0.00174517	0.00466735	0.000164339	0.00096945	0.00256349	0.00270911	0.0025426	0.00187628	0.00741964	0.00468658
u	0.843973	0.112124	0.00967074	0.014118	0.0011527	0.00356144	0.00365832	0.00253244	0.00208508	0.00114852	0.000681833	0.00529454
w	0.210276	0.117822	0.20724	0.0388052	0.0692199	0.0578185	0.0626124	0.0564427	0.0223328	0.0738989	0.00275727	0.0807737
ó	0.200147	0.0308717	0.169898	0.110961	0.03336	0.0890734	0.0605276	0.06808	0.0551826	0.0467452	0.0230995	0.112054
l	0.0194828	0.0164098	0.44363	0.0959013	0.0505357	0.0900574	0.0557054	0.0586899	0.0353712	0.0316052	0.00832037	0.0942907
á	0.0076102	0.00199616	0.161967	0.0481314	0.0445728	0.0534031	0.0797608	0.0537046	0.0487195	0.0565147	0.0662693	0.377351
a	0.0508142	0.0188594	0.535374	0.106455	0.0666154	0.0560751	0.0249863	0.0170089	0.0172149	0.0105125	0.0096424	0.0864418
k	0.00623793	0.0177749	0.909024	0.0382901	0.00274701	0.00349482	0.00240445	0.00170901	0.0100528	0.00134265	0.00194177	0.00498059
y	0.000878062	0.00034713	0.799386	0.126475	0.00670186	0.00435731	0.00769318	0.00526761	0.0282468	0.00715514	0.000397638	0.0130935
á	0.00922821	0.00169597	0.723544	0.179174	0.00449159	0.0068837	0.00990626	0.0050492	0.0369912	0.003875	0.00174961	0.0174112
l	0.00107482	6.04365e-05	0.277381	0.186419	0.38115	0.0555553	0.0361165	0.0115656	0.00210876	0.0138567	0.000607337	0.0341047
e	0.000709317	3.98239e-05	0.325614	0.245406	0.141656	0.067612	0.059856	0.0274182	0.0106765	0.0137285	0.00478305	0.102501
t	0.00190578	0.000217859	0.0579209	0.317186	0.447125	0.111709	0.0205265	0.00922792	0.0120863	0.00247657	0.0049774	0.0146417
á	0.00226947	6.02104e-05	0.117151	0.394025	0.223029	0.183362	0.0344714	0.0183582	0.0140159	0.00432829	0.000361819	0.00856795
á	0.000524727	3.7659e-05	0.0593878	0.120792	0.414787	0.274146	0.0558077	0.0161564	0.00596873	0.00775804	0.000276303	0.0443581
m	0.000469794	0.000127815	0.00598639	0.026062	0.191285	0.384272	0.25841	0.0972646	0.0114154	0.0133237	0.00227466	0.0091088
á	0.00477705	0.000299592	0.00113168	0.058507	0.296451	0.188485	0.0910204	0.062173	0.131582	0.0475753	0.00266488	0.115333
t	0.000904832	0.000230744	0.00154258	0.0156764	0.117281	0.420874	0.12554	0.219956	0.0573399	0.0186499	0.0087735	0.0132307
s	0.00055795	1.65395e-05	0.0073954	0.0220739	0.0153376	0.201874	0.12858	0.271664	0.304185	0.0270492	0.00262625	0.0186407
í	0.000245864	1.38778e-06	0.00798828	0.0284867	0.0205873	0.130709	0.210216	0.28555	0.226737	0.0563892	0.00516623	0.0279224
n	0.00194869	3.8944e-05	0.0129151	0.0221987	0.0575205	0.270589	0.24144	0.232504	0.0521578	0.0176692	0.00271009	0.0883078
a	0.00228757	4.99232e-05	0.0103977	0.0152947	0.0164809	0.300106	0.225301	0.149358	0.018327	0.0166561	0.0145688	0.231173
o	0.000980429	6.89178e-05	0.00922075	0.013474	0.0129015	0.110532	0.222565	0.384533	0.0566803	0.136987	0.00675768	0.0453003
l	0.000607192	0.000467046	0.0196825	0.0116462	0.00376126	0.0172895	0.0435175	0.239051	0.496295	0.128482	0.0197148	0.0194859
ó	0.000100964	0.000210578	0.0547227	0.0114658	0.00165835	0.0111479	0.029993	0.0757885	0.639189	0.0268621	0.0403423	0.108519
m	4.75357e-05	1.21635e-05	0.00286889	0.00433942	0.000420454	0.00284123	0.00558278	0.0262978	0.939121	0.00649701	0.00312829	0.00884379
i	3.54914e-05	2.26589e-06	0.00222798	0.00481606	0.000576084	0.00229911	0.0145156	0.0396501	0.765209	0.0857209	0.00619929	0.0787483
y	0.000785166	5.289e-06	0.00305183	0.00755511	0.0176154	0.0386744	0.0753503	0.149013	0.0523337	0.568081	0.013393	0.0741424
a	0.00196648	1.18666e-05	0.00618637	0.0118046	0.00504692	0.0285877	0.0600504	0.199806	0.166536	0.286199	0.139479	0.0943268
w	0.00380156	9.78013e-05	0.000466814	0.00331599	0.0047515	0.0376447	0.0260746	0.132345	0.0112207	0.352097	0.312869	0.115314
a	0.00721776	0.000146322	0.00221702	0.0089295	0.0104713	0.0631856	0.0853787	0.199402	0.0510315	0.402145	0.0447312	0.125145
a	0.000389131	7.77471e-06	0.000773023	0.00288508	0.00596722	0.0169833	0.0218986	0.136354	0.0686109	0.496651	0.0428573	0.206622
d	8.45794e-05	2.49841e-05	0.00466025	0.00306764	0.00196413	0.00331041	0.0161554	0.0216224	0.0320766	0.224356	0.397485	0.295193
í	4.0428e-05	2.84301e-05	0.00166601	0.00246276	0.000429795	0.00213061	0.00944123	0.0209505	0.0368253	0.145159	0.166112	0.614754
o	0.000219057	1.40754e-05	0.000318163	0.00051329	0.000605602	0.00153968	0.0106991	0.0238158	0.00403366	0.267769	0.131598	0.558874
n	5.2275e-05	5.54786e-05	0.00190453	0.00263766	0.00101022	0.000920486	0.00305499	0.00511557	0.0267995	0.0267501	0.757101	0.174598
a	0.000106235	1.0808e-05	0.000222248	0.000191481	1.85892e-05	0.000177804	0.000570066	0.000698891	0.00100054	0.00181257	0.97891	0.0162809
n	0.000107883	9.20684e-07	0.000452566	0.00135622	0.000302158	0.00141312	0.00773442	0.0251351	0.0379281	0.0557406	0.44314	0.426688
g	0.000458962	1.01916e-05	0.00147851	0.00228169	0.000209141	0.00156122	0.00600801	0.0147322	0.0140583	0.0392353	0.383878	0.536088
a	0.000303123	2.51329e-05	0.000982521	0.0042471	0.000533582	0.00617717	0.00937337	0.0250758	0.0327391	0.0271656	0.361974	0.531403
</S>	0.000335086	2.02496e-06	0.00167901	0.0126809	0.00988334	0.00643871	0.0168891	0.0302587	0.00888515	0.159104	0.192151	0.561693
