 	le	pêcheur	s'	est	assis	sur	le	bout	de	la	pirogue	</S>
o	0.820056	0.131916	0.033594	0.00301635	0.00181485	0.00431688	0.00217801	0.00114626	0.000747499	0.000803179	0.000373547	3.78372e-05
l	0.0235522	0.956079	0.0151779	0.00242069	0.00098399	0.000303328	0.000336328	0.00012879	0.000162612	0.000234118	0.000153372	0.000467825
ώ	0.00533483	0.98959	0.000837363	0.0013758	0.000950734	0.000315837	0.000405595	0.000260749	0.000233227	8.57629e-05	4.52782e-06	0.000605166
b	0.0126663	0.955545	0.0168498	0.00166192	0.000253149	0.000837982	0.00212355	0.000902223	0.0017194	0.00152015	0.00325575	0.00266511
h	0.0445189	0.691493	0.0579918	0.0180955	0.0216724	0.0191064	0.0161351	0.0118372	0.0189298	0.0115232	0.00797665	0.0807198
i	0.469029	0.397466	0.0753745	0.00750474	0.00645524	0.00548715	0.00321826	0.00239064	0.00316615	0.00378232	0.00268231	0.0234443
a	0.140323	0.0196964	0.658439	0.0929028	0.0237547	0.0273709	0.00993851	0.00597521	0.00577743	0.00587142	0.00052211	0.00942844
d	0.0924132	0.0030981	0.252503	0.430787	0.111866	0.0461634	0.00903215	0.00597745	0.00588343	0.00732167	0.00130134	0.0336531
í	0.0234919	0.00137876	0.0805718	0.474809	0.160045	0.0488912	0.0228532	0.0247549	0.0144285	0.0122973	0.000202662	0.136276
d	0.0198683	0.000508892	0.0382861	0.17276	0.278794	0.217738	0.0812094	0.0646902	0.034268	0.0332926	0.00471707	0.0538675
z	0.00688257	0.000141522	0.0157099	0.146978	0.382745	0.169535	0.0955963	0.100414	0.0311715	0.0239264	0.000708987	0.02619
a	0.00275987	0.000123119	0.00256277	0.0627598	0.718603	0.126869	0.0466732	0.0305254	0.00394455	0.00196369	2.99402e-05	0.00318636
a	0.000792589	3.76165e-05	0.00341598	0.0462169	0.407065	0.216791	0.138788	0.12279	0.0255858	0.0145916	0.00212261	0.0218031
m	0.00338721	0.000367505	0.0248006	0.0409278	0.0912236	0.234047	0.211093	0.155908	0.0972638	0.080611	0.0223003	0.0380708
í	0.00355949	0.000951626	0.00505426	0.0324457	0.270096	0.189243	0.119181	0.119183	0.0402901	0.0369111	0.00223783	0.180846
b	0.00601105	0.00319412	0.00743732	0.0125811	0.0326988	0.0762777	0.224691	0.263075	0.187455	0.0570433	0.111542	0.0179923
y	0.00340976	0.00934344	0.00225519	0.00604664	0.0250254	0.0628035	0.197683	0.206258	0.210523	0.0448655	0.214972	0.0168142
e	0.000717476	0.00257437	0.000561415	0.00596698	0.0916397	0.0850391	0.1902	0.290822	0.235742	0.0380084	0.029804	0.0289252
n	0.000357681	0.00071339	0.000581459	0.00575018	0.0894793	0.0634304	0.11255	0.369382	0.168056	0.0826244	0.0287033	0.0783716
g	0.000943142	0.00117292	0.0012055	0.00530401	0.065453	0.0481058	0.144015	0.354999	0.222799	0.0816163	0.0208119	0.0535749
í	0.00166185	0.00131935	0.0031115	0.00330861	0.0257245	0.0316964	0.19913	0.25936	0.343244	0.0782696	0.0124865	0.0406881
l	0.00161835	0.000208042	0.00524141	0.00317561	0.006959	0.015612	0.0351708	0.0960156	0.169745	0.386607	0.104259	0.175389
á	0.0052788	0.000548004	0.00703937	0.0120029	0.0160445	0.0250285	0.0482047	0.0876074	0.15663	0.371011	0.0607396	0.209865
b	0.00332275	0.000307331	0.00367294	0.00150458	0.00173068	0.00431604	0.00943256	0.0244783	0.0403114	0.187234	0.658359	0.0653298
v	0.000873847	0.00018952	0.0015447	0.000874032	0.000718839	0.00477765	0.00481064	0.0129419	0.0191637	0.0515472	0.900475	0.00208306
á	0.000222626	2.40462e-05	0.000102586	6.7765e-05	0.00013493	0.000464822	0.000677731	0.00211135	0.00506072	0.00986099	0.979268	0.00200471
r	0.00086148	5.50944e-05	0.000217736	0.000157358	0.000689907	0.00178775	0.00302536	0.0126912	0.0200819	0.0494654	0.839588	0.071379
e	0.00364648	0.0003637	0.00117501	0.00120877	0.0124584	0.0103821	0.0324627	0.11681	0.172104	0.269585	0.169951	0.209853
</S>	0.00135728	0.000121182	0.00199691	0.00199416	0.004945	0.00541527	0.0128987	0.0272478	0.0578513	0.116222	0.0654804	0.70447
