 	notre	maman	a	ramassé	les	champignons	sur	ce	palmier-là	</S>
n	0.450412	0.166419	0.232883	0.0561667	0.0479864	0.0163177	0.0101524	0.0085155	0.00531053	0.00583618
g	0.0893019	0.85783	0.016441	0.00470235	0.0140925	0.00211961	0.00267941	0.00639656	0.00591902	0.000518022
ó	0.0344559	0.96333	0.00115734	0.000294976	0.000449797	6.34644e-05	3.96493e-05	8.004e-05	0.00010964	1.86717e-05
o	0.160058	0.81338	0.00623096	0.00995916	0.00290218	0.000841964	0.000221204	0.000751458	0.00486716	0.000787743
y	0.419022	0.383016	0.103139	0.0528905	0.0128337	0.00188642	0.00647297	0.00784231	0.00211982	0.0107768
a	0.980319	0.0118886	0.00385179	0.00149398	0.000958215	0.000132926	0.000435492	0.000393091	6.44816e-05	0.000462707
b	0.969152	0.00923355	0.0154256	0.00270689	0.00137674	5.40427e-05	0.000289355	0.000419607	6.01766e-05	0.00128171
í	0.854438	0.00738949	0.0419813	0.0329796	0.0144197	0.00465154	0.00491458	0.0118813	0.017696	0.0096481
s	0.970576	0.0108428	0.00970016	0.00280652	0.00139004	0.000552222	0.000451093	0.00123831	0.00120496	0.0012384
í	0.392438	0.0609783	0.130251	0.0580162	0.045908	0.00365216	0.00996842	0.00775983	0.00195713	0.289071
á	0.0304336	0.0247897	0.641836	0.221345	0.0379851	0.00768627	0.011387	0.00809678	0.00155991	0.014881
t	0.00178473	0.00881914	0.173831	0.659747	0.0717206	0.0273817	0.013897	0.00694613	0.00127869	0.0345946
ώ	0.00293935	0.00510101	0.106876	0.47963	0.140847	0.173152	0.0395867	0.0209196	0.00240247	0.0285458
i	0.0121234	0.00669672	0.0443501	0.357754	0.171534	0.216811	0.0633379	0.0537543	0.0179127	0.0557257
a	0.0437462	0.00350086	0.133494	0.18594	0.464034	0.0746013	0.0481737	0.0230922	0.00555589	0.0178625
s	0.00210443	0.000828726	0.0339583	0.10374	0.426048	0.203389	0.0985327	0.0365932	0.0139374	0.0808686
ω	0.0386196	0.00313886	0.0355979	0.264046	0.284549	0.111696	0.0856143	0.0352975	0.00502698	0.136414
s	0.000233458	0.000154218	0.00721916	0.124615	0.191756	0.248276	0.153451	0.0586326	0.0445239	0.171139
ω	0.00189659	3.77212e-05	0.0135321	0.10723	0.21646	0.35601	0.15803	0.0839572	0.0113949	0.051451
n	0.00282119	0.000169669	0.020846	0.0479897	0.213989	0.175703	0.289605	0.128862	0.0335885	0.0864262
g	0.0645965	0.00103044	0.0173156	0.0747698	0.317425	0.07629	0.07451	0.0676916	0.0548178	0.251553
ω	0.0500778	0.0129131	0.0257664	0.0887936	0.305953	0.13142	0.0833421	0.0643536	0.0645968	0.172784
m	0.00297236	0.000350937	0.00765729	0.0552615	0.0934841	0.139865	0.0951715	0.0949946	0.215939	0.294304
i	0.00528857	3.01285e-05	0.000869564	0.00262986	0.0197352	0.0619968	0.141646	0.147085	0.186324	0.434395
b	3.54705e-05	8.23764e-05	0.00261942	0.00330177	0.0190191	0.0449005	0.248197	0.251536	0.167737	0.262571
í	0.00254635	2.96742e-05	0.00881577	0.00504575	0.0209488	0.0532216	0.0727416	0.111825	0.677777	0.0470488
a	0.0347569	0.000266853	0.00348971	0.00368266	0.025029	0.0270722	0.0510938	0.088789	0.667562	0.0982582
d	0.000102726	6.70099e-05	0.00163923	0.00497274	0.00658903	0.00568036	0.145796	0.303654	0.100304	0.431196
í	2.07251e-05	2.19019e-05	0.0013738	0.00667911	0.0127723	0.00450837	0.103652	0.252522	0.0913263	0.527123
i	0.000107818	6.74443e-05	0.00218262	0.00399397	0.0136655	0.00576489	0.149801	0.394792	0.0671142	0.362511
</S>	0.00020045	3.19229e-05	0.00153785	0.0105549	0.00901747	0.0157175	0.0700111	0.176709	0.159529	0.556691
