 	la	lampe	est	sur	la	table	</S>
m	0.681381	0.301895	0.00957899	0.00205269	0.00451114	0.000443744	0.000137036
ú	0.00141767	0.994274	0.00175865	0.000595801	0.000462362	0.000109529	0.00138186
n	0.0825658	0.895947	0.00202071	0.00221943	0.00439188	0.00936547	0.00348945
d	0.0697082	0.0801235	0.324887	0.116079	0.0936469	0.123173	0.192382
a	0.872908	0.0756924	0.0188897	0.00980659	0.0142595	0.00419707	0.00424736
ó	0.0836659	0.00249526	0.728759	0.100375	0.0332287	0.00518015	0.0462965
d	0.0505159	0.00126818	0.524836	0.330165	0.0754753	0.00380639	0.0139337
i	0.0110656	0.0011909	0.195739	0.445294	0.0697859	0.0289061	0.248018
s	0.0303594	0.00191682	0.114057	0.460244	0.27674	0.0372691	0.0794143
a	0.0312283	0.0017523	0.112303	0.484401	0.222276	0.071128	0.0769111
a	0.0228446	0.00037366	0.106025	0.268949	0.351321	0.142876	0.10761
m	0.00505824	0.000217881	0.0808401	0.364852	0.428562	0.0728672	0.0476026
ó	0.0034791	0.00121057	0.0206626	0.114661	0.167148	0.530846	0.161992
m	0.0104833	0.000267412	0.0147175	0.0374965	0.123142	0.784957	0.0289369
é	0.00115036	0.000173686	0.00435157	0.0221829	0.0487244	0.839116	0.0843017
s	0.00190464	0.000110031	0.0158666	0.0546271	0.191683	0.62821	0.107598
á	0.00107563	7.76358e-05	0.0100726	0.0741178	0.147461	0.572229	0.194966
</S>	0.00278098	6.93458e-05	0.00566369	0.0142478	0.0425173	0.184093	0.750628
