 	mon	épouse	a	une	voix	claire	</S>
m	0.829065	0.090407	0.029912	0.0118554	0.0324025	0.00610445	0.000253703
w	0.0163093	0.979834	0.00127124	0.000781462	0.00174007	1.95562e-06	6.17462e-05
á	0.0194254	0.978619	0.000720655	0.000405654	0.000792618	1.6375e-05	1.99934e-05
s	0.958381	0.0159265	0.0104824	0.00473356	0.00462834	0.000107093	0.00574121
í	0.435509	0.106511	0.0717241	0.0962011	0.0566089	0.00506498	0.228382
y	0.490225	0.0252834	0.331064	0.0616517	0.0258805	0.00129269	0.0646021
a	0.658593	0.0186041	0.122069	0.0734034	0.0992058	0.00205843	0.0260663
n	0.902083	0.00665793	0.0383602	0.0118458	0.0310169	0.000573453	0.00946234
g	0.878426	0.00540841	0.0319941	0.0211688	0.0592838	7.45515e-05	0.00364439
á	0.802252	0.037015	0.0569237	0.0564546	0.0280918	0.000326573	0.0189359
a	0.0200799	0.00326766	0.662724	0.211429	0.0777569	0.00953204	0.0152101
d	0.00368459	0.00068542	0.221264	0.575514	0.10439	0.0556215	0.03884
i	0.0337758	0.0167325	0.22274	0.344498	0.124421	0.00161525	0.256217
d	0.0288188	0.00462835	0.048635	0.456071	0.379968	0.0437513	0.0381285
z	0.0119731	0.00667844	0.0187131	0.327292	0.617398	0.00163203	0.0163128
ú	0.00867526	0.00858797	0.00647862	0.180245	0.790798	0.000645561	0.0045695
e	0.00895224	0.00114091	0.020995	0.164528	0.671625	0.0890579	0.0437011
o	0.00236548	2.95648e-05	0.0320677	0.243912	0.321809	0.220701	0.179115
k	0.000536741	0.000125443	0.0045122	0.137482	0.0769468	0.674479	0.105918
ó	0.000105244	1.71778e-05	0.00347691	0.0255363	0.00285658	0.87339	0.0946172
á	0.000363861	2.18158e-05	0.020116	0.0915563	0.0099616	0.490408	0.387573
</S>	0.0413874	0.00316889	0.0586964	0.0730299	0.118081	0.0758845	0.629752
