 	la	cour	de	l'	école	est	plane	</S>
d	0.677161	0.197312	0.082946	0.0214229	0.0142633	0.00635637	0.000403024	0.000135334
z	0.0967064	0.839893	0.0235695	0.0110768	0.00301023	0.00383043	0.00224568	0.0196677
a	0.0284116	0.961434	0.00262434	0.00157767	0.000786206	0.000149185	0.00386473	0.00115179
n	0.117833	0.830694	0.0204609	0.00474808	0.00273469	0.000972902	0.00371348	0.0188431
g	0.0809565	0.659909	0.0960383	0.0269596	0.00967259	0.00363712	0.00251858	0.120308
é	0.0629218	0.903111	0.0239623	0.00381593	0.00110926	7.23781e-05	3.97024e-05	0.00496726
l	0.218426	0.0920104	0.560156	0.0757554	0.0224367	0.018647	0.000612191	0.0119559
á	0.328557	0.0883497	0.349188	0.0922588	0.01702	0.0173337	0.00192163	0.105371
l	0.470104	0.103535	0.179907	0.127044	0.0818836	0.0160031	0.00347065	0.0180537
ε	0.191872	0.066878	0.27491	0.191407	0.0772011	0.0222058	0.00733388	0.168193
k	0.112311	0.0565795	0.244032	0.271397	0.18656	0.0221741	0.0141513	0.0927956
ώ	0.0255085	0.0266453	0.0947662	0.136282	0.664301	0.0154692	0.0216333	0.0153949
ώ	0.00674184	0.0137919	0.102885	0.141072	0.691752	0.021221	0.00796908	0.014567
l	0.0318278	0.00160351	0.110353	0.241379	0.156721	0.418747	0.0128177	0.026551
i	0.0391083	0.0109423	0.1576	0.24464	0.155778	0.121743	0.0450514	0.225137
í	0.0250126	0.00288276	0.144836	0.223837	0.0660277	0.388092	0.0252859	0.124026
d	0.0403265	0.00672579	0.0431179	0.0624106	0.137154	0.525587	0.125823	0.0588541
í	0.00997616	0.000995229	0.0162825	0.0247098	0.0125591	0.252743	0.140012	0.542723
p	0.0121355	0.000298443	0.0217837	0.0523096	0.0467879	0.288311	0.260637	0.317737
ε	0.00250874	0.00503067	0.00525823	0.0149753	0.0126671	0.0179621	0.888917	0.0526811
l	0.000615094	0.000447199	0.00341739	0.0103331	0.0433695	0.0379199	0.786198	0.117699
i	0.00259989	0.000785316	0.00871522	0.0426788	0.0636306	0.10713	0.618934	0.155526
</S>	0.0061938	0.000974136	0.0173316	0.0395399	0.0270782	0.195094	0.246475	0.467313
