 	j'	ai	raté	les	cours	aujourd'	hui	par	ta	faute	</S>
n	0.781161	0.0657309	0.0281505	0.0434204	0.0167657	0.0420279	0.0136331	0.00555778	0.00327699	0.000242154	3.3871e-05
g	0.99133	0.00348695	0.00156749	0.00072172	0.000637908	0.00120433	8.33491e-05	0.00032174	0.000587427	5.46512e-05	4.84713e-06
á	0.940832	0.0435797	0.00928472	0.00175071	0.00153892	0.00135043	9.42922e-05	0.000540949	0.000847201	0.000167058	1.42259e-05
í	0.0983556	0.188012	0.14018	0.0615356	0.0471498	0.0798297	0.00769848	0.0564858	0.0898518	0.0480159	0.182885
n	0.0199128	0.464212	0.448556	0.028119	0.0132295	0.00155479	0.000407122	0.00301025	0.00489729	0.00645085	0.00964953
y	0.00331888	0.423492	0.420191	0.0379444	0.0278257	0.000955898	0.00046564	0.0111001	0.00707306	0.00964471	0.0579892
í	0.0360023	0.483919	0.434307	0.0177297	0.0185503	0.00192758	0.000138601	0.00181508	0.00125431	0.00115349	0.00320171
m	0.0763171	0.124994	0.275557	0.198994	0.0984989	0.045072	0.0172282	0.018464	0.0250028	0.00978119	0.110091
i	0.000192468	0.0675256	0.323395	0.406719	0.117414	0.0219337	0.004592	0.0131431	0.00105232	0.021023	0.0230097
n	0.000176216	0.0335479	0.087096	0.520034	0.154017	0.0372201	0.0206195	0.0309305	0.00798933	0.0179745	0.0903946
i	0.00686763	0.0781005	0.368821	0.318769	0.122016	0.0310335	0.00242847	0.0286079	0.0134904	0.00243761	0.0274282
l	0.00314332	0.071378	0.150646	0.329212	0.28284	0.0765356	0.00787008	0.0347518	0.0116162	0.00330526	0.028701
e	0.00731012	0.0393762	0.052555	0.157326	0.270957	0.147978	0.0198959	0.0490735	0.0238169	0.0260621	0.205649
k	0.000631093	0.0127797	0.0382679	0.0924282	0.334724	0.260539	0.0421457	0.0384662	0.00936732	0.0402349	0.130416
ώ	1.81598e-05	0.00145501	0.0122959	0.0570608	0.196584	0.579352	0.105864	0.0146975	0.0024183	0.0109288	0.0193255
ώ	7.56232e-05	0.00125473	0.0155776	0.0555509	0.095365	0.556177	0.137399	0.0219966	0.0162478	0.015005	0.0853505
l	5.73717e-05	0.002486	0.00372601	0.0495584	0.171141	0.331028	0.33921	0.0829886	0.00916099	0.00172618	0.00891798
i	0.00117691	0.00685086	0.0128419	0.0483349	0.179782	0.27812	0.110774	0.128596	0.0414276	0.0294781	0.162618
p	0.00210829	0.0055112	0.00544444	0.0187449	0.0884679	0.252486	0.223823	0.271864	0.0687776	0.0202703	0.0425028
á	0.000171942	0.000516148	0.000937838	0.00267034	0.00867081	0.305606	0.600307	0.0458419	0.00391756	0.0171646	0.0141952
b	0.00148915	0.00496707	0.00159454	0.00580737	0.0171978	0.101559	0.627892	0.0595712	0.0113737	0.0853063	0.0832427
h	0.000126642	0.000760891	0.000837142	0.00496282	0.0208909	0.161907	0.565728	0.121527	0.0492128	0.0264653	0.047581
a	5.50604e-05	0.000332886	0.00311444	0.00561991	0.0157543	0.161377	0.736813	0.0312475	0.00826188	0.0127373	0.0246862
m	0.00111065	0.00324471	0.00391052	0.00853061	0.0180099	0.0854746	0.0845896	0.37212	0.293366	0.0429942	0.0866492
b	0.000502352	0.003268	0.00169109	0.0197224	0.0247262	0.0707879	0.115938	0.206375	0.0245633	0.397074	0.135351
ε	0.000168965	0.0033018	0.00965103	0.0658525	0.0595602	0.0703961	0.0288425	0.259376	0.0891461	0.322341	0.0913643
s	2.30045e-05	0.000847231	0.00178881	0.00741864	0.016328	0.128089	0.105539	0.20453	0.0350656	0.214414	0.285956
í	0.000567357	0.00200503	0.00654852	0.0103561	0.0624581	0.2114	0.0200173	0.242087	0.0493381	0.200676	0.194548
l	0.000330174	0.00173025	0.00130316	0.00484265	0.0316904	0.07925	0.0429166	0.347546	0.147811	0.113085	0.229494
a	0.0110828	0.0318246	0.0272167	0.0305511	0.0994064	0.0345679	0.00483949	0.241354	0.149891	0.101291	0.267975
n	0.00094651	0.00249228	0.00248798	0.00306944	0.00982378	0.0315315	0.0204528	0.301043	0.346799	0.104271	0.177082
ω	0.0534131	0.0134945	0.0125074	0.00601451	0.0228699	0.0138045	0.00495762	0.190134	0.497243	0.0418182	0.143744
</S>	0.000343222	0.00081216	0.000812936	0.00143263	0.00880684	0.0114882	0.00280285	0.090079	0.133414	0.106453	0.643555
