 	cette	chose	m'	appartient	</S>
e	0.869962	0.121865	0.00484095	0.00277139	0.000561278
y	0.200368	0.787369	0.00264006	0.00854248	0.0010801
e	0.111973	0.803189	0.00415654	0.0410867	0.0395948
a	0.172699	0.327304	0.0123433	0.0475832	0.440071
y	0.522411	0.241261	0.140692	0.00909968	0.0865367
é	0.358047	0.122364	0.204396	0.0465237	0.26867
é	0.308575	0.181167	0.201298	0.0906427	0.218317
d	0.120443	0.211842	0.177114	0.339496	0.151106
i	0.0100568	0.0337233	0.0741343	0.341256	0.54083
y	0.0295107	0.0724008	0.17974	0.401637	0.316711
á	0.0077745	0.0285548	0.0914372	0.540413	0.33182
n	0.00843118	0.00712985	0.202798	0.622627	0.159014
g	0.0355067	0.0196768	0.327506	0.477228	0.140083
á	0.0220756	0.00773667	0.278688	0.395974	0.295525
</S>	0.0198419	0.0113773	0.267611	0.291632	0.409538
