 	mes	chaussures	sont	perdues	</S>
n	0.869517	0.0972741	0.0311178	0.00130521	0.000785666
g	0.997536	0.00137112	0.000866034	0.000167838	5.88012e-05
á	0.924502	0.0609714	0.00537215	0.00864572	0.000508327
a	0.562917	0.32827	0.0485248	0.00937533	0.0509131
p	0.0470761	0.779741	0.134746	0.0133824	0.0250553
á	0.00131289	0.923514	0.0492076	0.00824901	0.0177165
p	0.0931376	0.785385	0.104277	0.00222323	0.0149775
a	0.0532806	0.718125	0.162688	0.0193891	0.0465166
á	0.0567097	0.0728941	0.695668	0.0368585	0.137869
m	0.00839962	0.00356556	0.511001	0.241129	0.235905
i	0.00693968	0.00129163	0.273997	0.327021	0.39075
l	0.0011695	0.00970034	0.101969	0.784963	0.102198
é	0.000405125	0.0159198	0.0255053	0.892165	0.0660051
m	0.000362368	0.0238489	0.147361	0.655262	0.173166
b	0.00173112	0.00360685	0.0583456	0.560594	0.375722
a	0.00825593	0.00246456	0.0261239	0.546108	0.417048
</S>	0.00660209	0.00314546	0.154454	0.282951	0.552847
