 	l'	orange	est	différente	de	la	mandarine	</S>
o	0.937767	0.0461472	0.00345693	0.000190037	0.00430484	0.00752151	0.000419219	0.000193474
t	0.0491893	0.941824	0.00246138	0.00186411	0.000320333	0.000440777	0.00264725	0.00125332
s	0.00337679	0.968269	0.00272299	0.0209385	0.00116695	0.00149154	0.00145425	0.000579715
w	0.016344	0.966484	0.0028544	0.00944659	0.000945517	0.00149679	0.00168687	0.000742206
é	0.0443806	0.941282	0.0033115	0.00431956	0.000995325	0.00137452	0.0016962	0.00264028
t	0.168887	0.77996	0.0184904	0.00472015	0.00631851	0.00487511	0.00118309	0.0155662
s	0.0637245	0.894506	0.0116763	0.0161856	0.00378427	0.00164841	0.000430842	0.00804389
w	0.00662073	0.974286	0.00802222	0.00731991	0.00120304	0.00036422	9.89467e-05	0.00208472
e	0.0809538	0.853912	0.0267295	0.0195532	0.00675477	0.00440646	0.00176128	0.00592865
l	0.0309007	0.543406	0.084373	0.0524291	0.0115007	0.0229641	0.0374279	0.216999
é	0.1067	0.465862	0.0500117	0.0457011	0.0118396	0.0308997	0.0716803	0.217306
á	0.0773831	0.0162243	0.77238	0.0798116	0.0236642	0.00816658	0.00204011	0.0203299
d	0.0255486	0.0136714	0.398722	0.445938	0.0335075	0.0115928	0.00315771	0.067862
i	0.0162635	0.0101645	0.425711	0.311883	0.0399278	0.0131061	0.0112326	0.171712
p	0.0241778	0.00359873	0.329452	0.292484	0.232921	0.0428593	0.00542742	0.0690796
é	0.000881905	0.00164258	0.0327548	0.913763	0.038326	0.00555631	0.00125366	0.00582189
r	0.0012123	0.00261748	0.108561	0.771086	0.0738993	0.0133552	0.00199227	0.027277
é	0.00154727	0.0155445	0.0563082	0.808439	0.066284	0.0192838	0.00745777	0.0251353
n	0.00919511	0.0010415	0.117017	0.192707	0.505881	0.132801	0.0123281	0.0290298
á	0.00710163	0.00888675	0.0593352	0.480049	0.100397	0.125589	0.145919	0.0727226
l	0.00199449	0.000820377	0.02237	0.125416	0.455879	0.269507	0.0877218	0.0362916
a	0.00486464	0.00205867	0.037118	0.221442	0.182912	0.139642	0.216326	0.195637
n	0.00451486	0.00117872	0.0289408	0.127988	0.351794	0.18967	0.203396	0.0925183
d	0.000998851	0.00140276	0.00604697	0.0496526	0.0834975	0.180888	0.593672	0.0838417
ε	0.000224364	0.00134172	0.00514821	0.0261573	0.0389347	0.149368	0.604114	0.174712
έ	3.74835e-05	0.00118245	0.00626287	0.0224185	0.0504851	0.0637788	0.732926	0.122909
n	0.000376922	0.000192329	0.00647756	0.00424449	0.205069	0.208554	0.323655	0.251431
ε	0.00403422	0.00165462	0.00416113	0.00741695	0.0283998	0.129773	0.517635	0.306926
</S>	0.00067333	7.27911e-05	0.00539143	0.00218054	0.0482928	0.104058	0.38262	0.456711
