 	l'	argent	que	j'	avais	gardé	chez	lui	est	encore	juste	</S>
m	0.803731	0.141503	0.0361293	0.00408312	0.00402586	0.00355907	0.0046674	0.00105032	0.000502857	0.000649546	7.04555e-05	2.85114e-05
b	0.245131	0.722397	0.0056718	0.00153579	0.00285212	0.00499238	0.00590458	0.00179547	0.00214461	0.00582478	6.51272e-05	0.00168461
ώ	0.0268558	0.951486	0.00541961	0.00269194	0.00135557	0.00336609	0.0080094	0.000338129	0.000203885	0.000175463	3.28645e-05	6.49596e-05
n	0.0313681	0.937518	0.00690219	0.00058674	0.000968433	0.00426538	0.0162893	0.00101871	0.000205226	0.000160195	1.86784e-05	0.000698825
g	0.444323	0.420651	0.0895166	0.00347862	0.00942704	0.00621293	0.0118581	0.00411792	0.00257741	0.00103878	0.000513146	0.00628488
ω	0.295952	0.630567	0.0683243	0.00110655	0.000633177	0.000417567	0.00113714	0.000717022	0.000327537	0.000172468	2.36736e-05	0.000621717
y	0.105599	0.023348	0.794029	0.012043	0.0294021	0.00321971	0.00207301	0.0102785	0.00599573	0.00541017	0.000579415	0.00802225
á	0.217089	0.0496243	0.576073	0.0521123	0.0292496	0.00451566	0.00563227	0.0236366	0.0154835	0.0116302	0.000993595	0.0139599
á	0.0828985	0.00282672	0.273241	0.556514	0.0347356	0.0116382	0.00603757	0.0142858	0.00660885	0.00452153	0.00195643	0.00473537
b	0.0291753	0.0107104	0.0954658	0.228474	0.394232	0.133789	0.020996	0.005828	0.0158659	0.0281246	0.0106836	0.0266557
ó	0.00383725	0.0267609	0.0170468	0.107954	0.155593	0.508603	0.119149	0.0222975	0.0109988	0.0152158	0.00121551	0.0113292
m	0.0403454	0.0318132	0.0681449	0.0898537	0.195504	0.366753	0.0997553	0.00929848	0.0157292	0.015347	0.00268764	0.0647676
b	0.178184	0.102823	0.0798795	0.202772	0.05411	0.127124	0.139949	0.0738029	0.0285533	0.0050935	0.000822765	0.00688579
á	0.121363	0.0445191	0.149742	0.119827	0.186053	0.10057	0.137253	0.0622048	0.0268147	0.00596751	0.00278065	0.0429057
n	0.00581964	0.00724846	0.0823963	0.450372	0.123866	0.102918	0.09302	0.0884086	0.017985	0.0135006	0.00106447	0.0134011
g	0.00788253	0.0132305	0.0220636	0.803635	0.103578	0.00648418	0.0161894	0.00882395	0.00791907	0.00431171	0.000329144	0.00555312
á	0.00348967	0.0226392	0.0317856	0.780476	0.0662025	0.0109866	0.053188	0.00902876	0.0105337	0.00418824	0.000641861	0.0068395
m	0.00510547	0.00069293	0.0316622	0.0253745	0.307325	0.167862	0.130374	0.219161	0.0605651	0.0321925	0.00613009	0.0135558
b	0.0171595	0.0200669	0.0022278	0.00125342	0.00836006	0.208115	0.500197	0.154082	0.0408759	0.0257589	0.000369039	0.0215345
v	0.000634673	0.00426841	0.000355856	0.000326654	0.00283959	0.100718	0.87356	0.0114708	0.00416994	0.000634029	0.000109756	0.000912303
á	0.00708658	0.0583192	0.0031893	0.0142814	0.00818619	0.125272	0.677724	0.0216618	0.0112132	0.00570391	0.000540178	0.0668215
a	0.028906	0.00510198	0.015639	0.0190933	0.057081	0.129189	0.502076	0.0894752	0.0441458	0.00756644	0.00212414	0.0996018
w	0.00158558	0.000443278	0.0179206	0.00905847	0.0835973	0.0265924	0.137048	0.406456	0.189372	0.0845116	0.00783632	0.0355792
a	0.00148888	0.000650915	0.0364595	0.0228409	0.104159	0.0902063	0.0904358	0.333931	0.19252	0.0417922	0.0271373	0.0583775
é	0.000748243	0.000105157	0.00967312	0.00733208	0.0270783	0.00969549	0.0927813	0.455456	0.21523	0.0935163	0.0331125	0.0552715
s	0.000737599	0.000171682	0.00629524	0.00163351	0.0305429	0.00988586	0.0103611	0.100606	0.313368	0.418731	0.0563129	0.0513546
á	0.00127033	0.000489153	0.00226491	0.00163371	0.0131936	0.0174506	0.0249345	0.0551478	0.278107	0.412167	0.0409491	0.152392
a	0.000651831	0.000214121	0.00202032	0.00184881	0.00568648	0.00245796	0.0254871	0.0700962	0.16634	0.291326	0.180588	0.253283
m	0.000212347	5.05818e-05	0.00202309	0.00100899	0.00236495	0.00178928	0.014213	0.189067	0.299357	0.262884	0.109716	0.117314
b	0.0059073	0.0105843	0.00207085	0.000197492	0.00102123	0.0115116	0.124323	0.207291	0.247641	0.0669674	0.030888	0.291597
v	0.000721961	0.002308	0.000185985	6.98419e-05	0.000541404	0.00955978	0.719865	0.0598926	0.091728	0.0156744	0.0069903	0.0924628
a	0.000824498	0.00416528	0.00103457	0.000503126	0.00196924	0.00646678	0.307477	0.0864421	0.151293	0.0167792	0.0156817	0.407364
</S>	0.00126086	0.000129683	0.000389898	0.000141156	0.000945424	0.00277233	0.0259991	0.017	0.0562228	0.0210272	0.0905052	0.783606
