 	c'	est	un	animal	domestique	</S>
é	0.686715	0.285453	0.0211028	0.00632415	0.000347788	5.75418e-05
d	0.149881	0.754149	0.0721121	0.0211541	0.00225609	0.000447205
í	0.0950635	0.593521	0.222584	0.0391903	0.00406385	0.0455775
n	0.0274	0.28415	0.105991	0.299101	0.150367	0.132991
y	0.00303619	0.00720446	0.0194815	0.958954	9.10061e-05	0.0112326
a	0.00114227	0.00772965	0.032349	0.941498	0.00357896	0.0137022
m	0.000943324	0.0108017	0.0114353	0.867559	0.0201902	0.0890709
a	0.0372095	0.043945	0.2397	0.125103	0.0307846	0.523258
y	0.10236	0.130992	0.176279	0.132881	0.265538	0.19195
a	0.0167124	0.0288174	0.364059	0.2267	0.116782	0.246929
p	0.0131011	0.00729751	0.0738535	0.220499	0.634701	0.0505483
o	0.000765247	0.00171948	0.0119897	0.00162116	0.90368	0.0802248
o	0.000405964	0.00133291	0.00708353	0.00260606	0.917761	0.0708102
</S>	0.00475507	0.0105452	0.0264763	0.0155952	0.0314053	0.911223
