 	lembobhi	est	la	meilleure	des	lianes	</S>
l	0.75167	0.171678	0.0242147	0.00156843	0.0465364	0.00415662	0.000176171
e	0.459935	0.35317	0.0693879	0.00222268	0.0478599	0.0129153	0.054509
m	0.238158	0.276555	0.0916846	0.217246	0.00450801	0.0314032	0.140445
b	0.776379	0.163011	0.0230484	0.00184535	0.00309435	0.000823358	0.0317987
ó	0.876695	0.0739875	0.0299063	0.000537833	0.00567554	0.00119491	0.0120032
b	0.352335	0.434424	0.144009	0.0111833	0.00800084	0.00344232	0.0466056
h	0.274183	0.340859	0.222325	0.00280606	0.0261951	0.000852675	0.132779
i	0.84313	0.0910023	0.0347024	0.00254076	0.00602425	0.00077284	0.021828
í	0.0576078	0.392472	0.377746	0.0915572	0.0506196	0.00227611	0.0277209
d	0.00894732	0.203959	0.583049	0.0663619	0.0260878	0.00461689	0.106977
í	0.00161368	0.0551304	0.395946	0.00262335	0.0660977	0.00284883	0.47574
e	0.000634917	0.0255548	0.172901	0.0679532	0.180771	0.0240276	0.528157
p	0.00194252	0.0227271	0.159511	0.573534	0.0195432	0.0328105	0.189932
o	0.000411645	0.0031288	0.0151922	0.930499	0.00179352	0.00104043	0.0479349
p	0.000286984	0.00085063	0.00656004	0.983615	0.000674712	0.00256429	0.0054479
ó	0.000491166	0.0062657	0.0366704	0.822541	0.0248	0.00493232	0.104299
y	0.00176968	0.0177609	0.16828	0.247993	0.279762	0.0670637	0.217371
á	0.0173299	0.0423958	0.0906569	0.297905	0.228936	0.14332	0.179457
n	0.00416198	0.00705181	0.0202008	0.0233651	0.203826	0.51359	0.227804
g	0.000489127	0.00265465	0.0079208	0.00017988	0.0552036	0.867068	0.0664843
o	0.000116609	0.000198013	0.00127653	0.000396018	0.0242246	0.930663	0.0431255
s	8.85032e-05	0.000588148	0.00357479	0.00266608	0.0339729	0.681086	0.278023
í	0.00299447	0.00787496	0.0149155	0.0122138	0.116169	0.124022	0.72181
</S>	0.000612648	0.00174325	0.00897019	0.0102513	0.230123	0.14869	0.59961
