 	le	petit	batracien	joue	dans	l'	eau	</S>
k	0.7609	0.218252	0.0089002	0.0059155	0.00201113	0.00383525	0.000153066	3.37445e-05
w	0.252784	0.576413	0.149533	0.0130523	0.00241369	0.00403137	0.000720873	0.00105134
ω	0.0679556	0.0506342	0.866278	0.00870214	0.00343649	0.0015258	0.000338695	0.00112873
r	0.301779	0.276875	0.341278	0.0551063	0.00487424	0.00493952	0.00172275	0.0134263
ω	0.108593	0.165335	0.673937	0.0239354	0.00799501	0.00165304	0.000828817	0.017723
k	0.323445	0.131289	0.23205	0.181455	0.0637622	0.0299253	0.00799592	0.0300789
w	0.11388	0.0257848	0.721034	0.120917	0.00769399	0.0017761	0.000339327	0.00857505
ώ	0.0202693	0.0154574	0.496123	0.447596	0.0130813	0.00235423	0.00248781	0.00263113
r	0.0394344	0.0435348	0.214843	0.638447	0.0166084	0.00651438	0.00885444	0.0317632
ώ	0.0121442	0.0336798	0.927457	0.0147977	0.00389373	0.00264924	0.000258322	0.0051197
l	0.139815	0.0340229	0.0487133	0.293857	0.292608	0.108828	0.0189657	0.0631901
á	0.0433393	0.0606962	0.0128317	0.307136	0.144703	0.0713268	0.019466	0.3405
a	0.0514485	0.0261756	0.00342166	0.170764	0.259846	0.35362	0.113475	0.0212494
y	0.0532189	0.0491596	0.0521019	0.0806115	0.29774	0.225526	0.104729	0.136913
έ	0.0115544	0.0264579	0.00702686	0.0124733	0.320792	0.297527	0.0113828	0.312786
l	0.00227247	0.00128006	0.00543467	0.0136796	0.137872	0.117597	0.0277935	0.69407
έ	0.00910495	0.0121089	0.0274092	0.133113	0.352639	0.237338	0.0683701	0.159917
m	0.0024401	0.0018641	0.00329405	0.0251015	0.138264	0.270129	0.216144	0.342763
á	0.00845833	0.00617779	0.00123158	0.00334094	0.0846979	0.0545256	0.762538	0.0790303
a	0.00418741	0.00348832	0.00225712	0.00367458	0.0303828	0.0820086	0.760075	0.113926
</S>	0.00816196	0.00791908	0.0290474	0.0352748	0.107307	0.156245	0.291324	0.36472
