 	quitte	là	tu	es	suvage	</S>
t	0.619587	0.314435	0.0202176	0.0416357	0.00336969	0.000754671
έ	0.92826	0.0306632	0.01334	0.015963	0.00962681	0.00214707
m	0.613138	0.182318	0.0582916	0.0708402	0.0181183	0.0572943
έ	0.0722985	0.625007	0.04046	0.185549	0.0144435	0.0622421
b	0.134727	0.566242	0.138348	0.074389	0.0267486	0.0595446
h	0.0746897	0.421194	0.299181	0.0877105	0.00519311	0.112031
έ	0.183335	0.437659	0.255471	0.0615076	0.0108356	0.0511913
ε	0.016855	0.656729	0.146772	0.0927826	0.00826117	0.0786003
n	0.00964723	0.368841	0.297062	0.254474	0.00876852	0.0612081
ω	0.00272208	0.100838	0.703168	0.146952	0.00879431	0.0375261
o	0.000810508	0.139871	0.509357	0.250607	0.0218289	0.0775253
d	0.00361828	0.13723	0.0650006	0.517797	0.234924	0.0414302
í	8.49802e-05	0.0293781	0.0276993	0.254187	0.425883	0.262767
l	0.000182888	0.0669123	0.027048	0.250044	0.238543	0.41727
o	0.000519221	0.0472457	0.231662	0.226029	0.231819	0.262725
m	0.000683381	0.00980402	0.0266493	0.139759	0.700575	0.122529
b	3.20547e-05	0.00187352	0.000519286	0.0409877	0.840174	0.116414
v	3.3768e-05	0.000677074	0.000674204	0.0202011	0.889636	0.0887779
á	0.000163317	0.00199288	0.00200705	0.0226629	0.769912	0.203262
n	9.71595e-05	0.00288772	0.00293629	0.02023	0.574135	0.399714
d	0.00119618	0.00954754	0.0221532	0.182749	0.621007	0.163347
é	0.000814398	0.00296342	0.0103495	0.0760281	0.631386	0.278459
</S>	0.00294403	0.0285229	0.10299	0.182543	0.265809	0.417191
