 	il	a	adopté	l'	enfant	orphelin	</S>
w	0.98079	0.015889	0.000175676	0.00263315	0.000173006	0.000322442	1.64593e-05
a	0.977479	0.0137911	0.000559484	0.00557001	0.00126744	0.00128713	4.6283e-05
á	0.375087	0.600512	0.00677666	0.00952261	0.00466868	0.00039849	0.00303471
b	0.0341437	0.581886	0.350507	0.00770248	0.00298131	0.00383193	0.0189472
é	0.0157502	0.170595	0.786861	0.00423464	0.00264466	0.00152734	0.0183871
n	0.0189504	0.224678	0.7049	0.0133374	0.00124598	0.00811647	0.0287712
y	0.0549618	0.179324	0.627351	0.0657452	0.00428002	0.0196921	0.0486467
i	0.0227525	0.184193	0.624858	0.11721	0.0105393	0.0163745	0.024073
o	0.0648561	0.0380425	0.110976	0.324642	0.388565	0.0339288	0.0389888
b	0.00755769	0.049884	0.595961	0.235394	0.0711945	0.0261077	0.013901
v	0.00388266	0.0152718	0.847661	0.105366	0.014616	0.00356341	0.00963871
u	0.000227713	0.00923243	0.86281	0.0979577	0.0230715	0.00242532	0.00427542
á	0.0140529	0.00635471	0.0765148	0.565898	0.0585922	0.0835686	0.195019
l	0.00365273	0.0101981	0.0160105	0.319196	0.0686597	0.271735	0.310549
a	0.017247	0.0151873	0.0144246	0.286731	0.078229	0.187694	0.400487
m	0.0162092	0.00199114	0.00200649	0.300994	0.120938	0.500032	0.05783
w	0.00890546	0.014172	0.0129793	0.0445552	0.489761	0.0296962	0.399931
a	0.000419841	7.86509e-05	0.000284404	0.000930613	0.983428	0.0105512	0.00430765
n	0.00390593	0.00242525	0.00651365	0.0918523	0.797823	0.0176988	0.0797807
a	0.0197813	0.012237	0.00947533	0.0314525	0.414037	0.0921699	0.420847
t	0.00574855	0.00322399	0.00200371	0.152385	0.0267961	0.0447977	0.765045
s	0.0516713	0.0062099	0.00808847	0.249674	0.0260122	0.213268	0.445076
á	0.0020952	0.000485144	0.0113112	0.0795622	0.0602314	0.567929	0.278386
á	0.0148447	0.0012537	0.00857347	0.0270118	0.0912009	0.24479	0.612325
n	0.001919	0.00344073	0.00464619	0.0111494	0.077232	0.452867	0.448746
y	0.00183434	0.00093373	0.000408267	0.0157562	0.0348535	0.702635	0.243579
i	0.00288856	0.000970269	0.000772018	0.0225431	0.0227541	0.821624	0.128448
</S>	0.000329267	0.000678255	0.0038608	0.0352925	0.0121878	0.453592	0.494059
