 	nous	portons	le	cabri	dans	un	panier	tissé	en	palmes	</S>
b	0.907343	0.0253946	0.00554407	0.021744	0.00973745	0.00758677	0.00523862	0.0016383	0.0115559	0.00325585	0.000961762
í	0.86845	0.0903039	0.00398062	0.0237961	0.0052388	0.00236705	0.00055662	2.44531e-05	0.00517238	8.06869e-05	2.88737e-05
s	0.949284	0.0485923	0.000552517	0.00117253	0.000176571	5.29386e-05	1.08514e-05	2.35083e-06	2.88744e-05	4.79738e-06	0.000122264
í	0.756995	0.150093	0.0109181	0.0660136	0.00925927	0.00247976	0.000686425	0.000122169	0.00145803	0.00031032	0.0016649
l	0.200662	0.596402	0.0210801	0.00820768	0.00397524	0.00502894	0.00419386	0.00304418	0.00311371	0.00101411	0.153278
é	0.0307596	0.493172	0.0809396	0.038762	0.0477736	0.0632244	0.0260279	0.00408478	0.0341576	0.00638636	0.174712
e	0.0140763	0.722342	0.176957	0.0116731	0.0120322	0.0118539	0.010827	0.00172337	0.0195215	0.00263586	0.0163575
b	0.00367409	0.627424	0.231589	0.0240412	0.0124614	0.00914964	0.0114834	0.00819536	0.005255	0.00249191	0.0642347
é	0.00539764	0.389013	0.557861	0.032904	0.00786348	0.00283179	0.00109493	0.000427138	0.000735287	4.74359e-05	0.00182427
r	0.00046532	0.303043	0.623528	0.0420355	0.0108119	0.00516145	0.00447579	0.00434947	0.00107489	0.000229026	0.0048251
á	0.000341623	0.0135274	0.70713	0.063417	0.127572	0.038853	0.0281046	0.00650645	0.00306477	0.00159699	0.00988633
m	0.00170091	0.00134786	0.140125	0.359632	0.367307	0.0505721	0.0324018	0.0287133	0.00823893	0.00225299	0.00770837
b	0.000281041	0.00011248	0.0343506	0.896998	0.0425573	0.0163535	0.00428769	0.000241854	0.00130372	0.001449	0.00206478
á	0.000581353	0.00010665	0.0075887	0.944342	0.0344358	0.00735359	0.00198407	0.000244385	0.000201559	0.00233764	0.000824436
s	0.000636989	0.000694389	0.0599078	0.332046	0.509935	0.0649929	0.0134254	0.00322011	0.00483634	0.000818169	0.00948679
i	0.000884148	0.00329888	0.158356	0.239892	0.283857	0.120191	0.052572	0.0221313	0.0197307	0.0169701	0.0821172
s	9.1348e-06	0.000177729	0.00667025	0.00790551	0.263753	0.231673	0.189174	0.11369	0.0954553	0.0193562	0.0721372
ó	0.000609552	0.000324775	0.0166691	0.00396384	0.0592156	0.110533	0.173834	0.0922862	0.0623159	0.275318	0.20493
t	0.000496277	5.88654e-05	0.00115002	0.0039997	0.0249763	0.0866096	0.129948	0.160082	0.0508078	0.497708	0.0441635
ε	0.000163532	3.4801e-05	0.000659262	0.000404846	0.00610199	0.0304808	0.120854	0.724147	0.00963866	0.0875719	0.0199431
r	9.05108e-05	0.000118421	0.000601382	0.000335964	0.00941056	0.0329343	0.0935915	0.757957	0.0140436	0.0605081	0.030409
ε	5.02987e-05	0.000182994	0.00152177	0.000654299	0.0233363	0.127579	0.351676	0.34482	0.0517722	0.0540493	0.0443576
</S>	1.15712e-05	2.06761e-05	0.00101649	0.000376323	0.0387103	0.0738785	0.0857319	0.0293237	0.440684	0.0729277	0.257319
