 	il	s'	approche	de	lui	par	derrière	</S>
w	0.714965	0.22735	0.0436151	0.00846472	0.00204039	0.00252899	0.000828665	0.00020638
a	0.655845	0.264461	0.01725	0.0290602	0.0141384	0.0182343	0.000712247	0.000298937
a	0.383031	0.544646	0.0156796	0.0268366	0.0137643	0.0123133	0.000774932	0.00295375
b	0.12302	0.441809	0.135678	0.102528	0.0782343	0.0581822	0.000913706	0.0596354
h	0.0412242	0.280387	0.490148	0.113563	0.0417222	0.015295	3.00394e-05	0.0176302
ε	0.0216582	0.180648	0.581148	0.115816	0.0559618	0.0190504	0.000199693	0.0255183
n	0.0610444	0.328625	0.381711	0.0881291	0.0340326	0.0160375	0.0137294	0.0766912
í	0.160177	0.263648	0.432374	0.0864474	0.0314087	0.0149902	0.00554128	0.00541343
í	0.0653239	0.163581	0.222941	0.434295	0.0897662	0.0187419	0.00086509	0.00448526
l	0.0180172	0.0658922	0.026463	0.479815	0.313732	0.0846484	0.00503427	0.00639742
a	0.028194	0.0277061	0.00792317	0.275007	0.303894	0.0959048	0.0609055	0.200465
w	0.0238142	0.0183403	0.00945797	0.303129	0.373892	0.144485	0.0584657	0.0684164
a	0.0577835	0.0614785	0.0978031	0.266214	0.397724	0.0863954	0.00243479	0.0301662
m	0.0068251	0.00817766	0.0189204	0.3482	0.324084	0.195888	0.0169503	0.0809539
ó	0.0138703	0.00678615	0.00271405	0.0768169	0.269626	0.368629	0.00653403	0.255023
n	0.0265132	0.0224292	0.0107687	0.136157	0.227973	0.30267	0.222168	0.05132
g	0.0134606	0.0492021	0.0129147	0.0627549	0.0956834	0.135001	0.40307	0.227913
ω	2.99682e-05	0.000138332	0.000163042	0.000555989	0.00111372	0.00245038	0.993389	0.00215979
n	3.98289e-05	0.000279302	0.00020797	0.00176697	0.00290122	0.00283322	0.950924	0.0410477
g	0.000634989	0.000930664	0.000147997	0.00241743	0.0106563	0.0370385	0.577653	0.370521
ω	0.00179958	0.00292414	0.0025294	0.0149051	0.0392299	0.0489801	0.622138	0.267494
</S>	0.0153967	0.0197166	0.00480667	0.0776655	0.121963	0.270052	0.0464568	0.443943
