 	attention	à	ce	que	tu	fais	</S>
ω	0.639295	0.282064	0.0356498	0.0295404	0.0107653	0.00235346	0.000332326
b	0.0499958	0.84373	0.0467657	0.0234978	0.00410321	0.0270572	0.00485051
á	0.0200914	0.917331	0.0203046	0.0327125	0.0012328	0.00466944	0.00365783
r	0.119963	0.70869	0.0425955	0.0477927	0.00383507	0.0022135	0.074911
a	0.724243	0.170364	0.0283066	0.0279185	0.00210811	0.0015973	0.045463
a	0.322987	0.26039	0.270761	0.0965642	0.00929414	0.0038101	0.0361926
n	0.0486321	0.088604	0.140046	0.147462	0.262303	0.168841	0.144112
d	0.145169	0.134488	0.286646	0.200364	0.0726845	0.0108246	0.149825
z	0.209111	0.0898474	0.229435	0.245756	0.0762063	0.0184145	0.13123
ó	0.367939	0.121211	0.193217	0.152551	0.0696758	0.0144427	0.0809636
r	0.0901431	0.222658	0.288076	0.1074	0.0106575	0.0275167	0.253549
o	0.300367	0.215404	0.308716	0.11464	0.00461655	0.00790452	0.048352
m	0.0954311	0.142303	0.449868	0.246841	0.0340449	0.00757686	0.0239351
ó	0.269019	0.176535	0.352401	0.128064	0.0097359	0.00356167	0.0606834
y	0.0941187	0.096157	0.451465	0.264946	0.0335455	0.0308984	0.0288689
έ	0.0527345	0.0466944	0.234042	0.299072	0.0486374	0.171452	0.147367
έ	0.0113701	0.028849	0.298169	0.273731	0.0656495	0.234415	0.0878158
k	0.00497147	0.00807834	0.0506207	0.0905506	0.0642357	0.463205	0.318338
y	0.0056386	0.0279304	0.0417563	0.149895	0.0211423	0.491741	0.261897
á	0.00219994	0.00436719	0.016517	0.0704157	0.0329493	0.564344	0.309207
n	0.00218891	0.00732672	0.0361112	0.113192	0.120078	0.17007	0.551033
ω	0.00141528	0.00519736	0.0162736	0.0615837	0.49303	0.186543	0.235957
</S>	0.000712389	0.00486474	0.0851364	0.0651511	0.0722043	0.0750012	0.69693
