 	ce	travail	nécessite	une	bonne	nutrition	</S>
i	0.65688	0.2736	0.0149883	0.0250832	0.0278465	0.000182298	0.0014199
s	0.0318535	0.937617	0.0140253	0.00739053	0.00440387	0.00262011	0.00209014
á	0.191768	0.720219	0.0554287	0.0174551	0.00179276	0.00707739	0.00625991
l	0.139328	0.495923	0.0258024	0.0138659	0.0232268	0.0295252	0.272329
a	0.306005	0.205339	0.122089	0.0467317	0.00704228	0.00791404	0.30488
d	0.490837	0.147743	0.131664	0.040493	0.0698799	0.012351	0.107032
í	0.242545	0.0556067	0.136589	0.0433999	0.0106209	0.025551	0.485688
l	0.10921	0.0857427	0.512675	0.122068	0.0886157	0.0248021	0.0568878
í	0.0740861	0.0397103	0.203758	0.0557208	0.0194898	0.0340554	0.57318
i	0.191407	0.128085	0.345013	0.133948	0.0779521	0.0317923	0.0918034
l	0.00799374	0.0130336	0.777423	0.13856	0.00623581	0.0321081	0.0246449
y	0.00512342	0.018163	0.671494	0.202322	0.012814	0.0512366	0.0388469
e	0.0135516	0.0367961	0.673042	0.197988	0.0110489	0.032164	0.0354096
e	0.0100643	0.00118537	0.294386	0.533572	0.0970481	0.0135646	0.0501791
m	0.0133607	0.00141709	0.205569	0.499471	0.199897	0.00381953	0.0764661
á	0.128961	0.00403585	0.162642	0.325533	0.134351	0.0513528	0.193125
i	0.0112763	0.00305154	0.0223777	0.170097	0.643571	0.125076	0.0245505
d	0.0154562	0.0324858	0.115285	0.290173	0.183217	0.284237	0.0791454
z	0.00711194	0.00521631	0.024999	0.0448127	0.052165	0.811799	0.0538965
á	0.00572145	0.000978086	0.0165417	0.0461528	0.0136105	0.872495	0.0444999
a	0.00307453	0.00242241	0.0139854	0.135914	0.242947	0.16831	0.433346
o	0.00924069	0.0125449	0.0543463	0.0586911	0.19666	0.209189	0.459328
y	0.00252554	0.01914	0.081002	0.107679	0.293741	0.198839	0.297073
í	0.0153782	0.00921484	0.0142585	0.0248376	0.315434	0.420239	0.200639
í	0.0045424	0.00347747	0.00466101	0.0155758	0.145665	0.141094	0.684985
</S>	0.00483707	0.00380861	0.00819907	0.0199275	0.315785	0.0495413	0.597902
