 	notre	mère	a	attrapé	une	grenouille	dans	l'	étang	où	elle	trempe	le	manioc	</S>
n	0.538009	0.327296	0.0355038	0.00308049	0.0185014	0.0226751	0.00847892	0.00807347	0.00376193	0.00619112	0.0106975	0.00310287	0.0113227	0.00321094	9.41524e-05
g	0.0665048	0.928113	0.00356965	2.82065e-06	0.000349957	0.00010074	1.28074e-05	0.000105447	0.000435081	0.000170868	0.000218822	0.000290341	9.44748e-05	1.57566e-05	1.57236e-05
ó	0.0264733	0.956404	0.00650875	5.96991e-05	0.00103598	0.000855052	8.0747e-05	0.000732008	0.00611354	0.000860434	0.000230502	0.000277977	0.000191562	5.26985e-05	0.000124227
o	0.0314167	0.961727	0.00339295	0.000194447	0.000192348	0.00134455	4.85127e-05	0.000198097	0.000561088	0.000305301	7.5517e-05	0.000171442	0.000167346	4.14305e-05	0.000163423
y	0.395817	0.0184205	0.536037	0.0149324	0.00753842	0.000991023	0.00338684	0.00313013	0.00105758	0.00329599	0.00187388	0.000766817	0.00408136	0.000733359	0.00793824
a	0.849669	0.0121579	0.0931578	0.0077684	0.00445004	0.000949051	0.00293546	0.0035487	0.00186226	0.00384709	0.00342193	0.00459876	0.00456258	0.000659534	0.00641162
b	0.967998	0.000587235	0.0214026	0.00277939	0.000690258	8.43291e-05	0.000203537	0.000381947	0.000237681	0.000528972	0.000566804	0.000457432	0.000420328	5.05433e-05	0.00361075
í	0.945281	0.00581935	0.0237972	0.000768994	0.0054332	0.00899664	0.00212997	0.00162347	0.000873151	0.000938515	0.000369641	0.000426118	0.00147591	0.000496444	0.00157045
s	0.977238	0.00508844	0.00861465	0.00140872	0.000754577	0.000924833	0.00073369	0.000653758	0.000186538	0.000550447	0.00045617	0.000111472	0.000483265	0.000576093	0.00221939
í	0.491239	0.0881031	0.209045	0.00149438	0.0150845	0.00883334	0.0136693	0.0435041	0.0140884	0.0205416	0.00546304	0.00438651	0.0189929	0.000743845	0.0648106
á	0.0642025	0.00170114	0.738219	0.119859	0.0269696	0.00375147	0.00596541	0.00353125	0.00356663	0.00550665	0.00412976	0.00297656	0.00468505	0.000972429	0.013963
p	0.00061394	0.000343626	0.0529273	0.866361	0.0340379	0.00895489	0.00470643	0.00296713	0.00398154	0.00148446	0.00486302	0.00591428	0.00131892	0.00152754	0.00999816
i	0.00212456	0.000148733	0.0149387	0.903517	0.035085	0.00629974	0.00284284	0.00170584	0.00809096	0.00133781	0.00565928	0.0125802	0.000522384	0.00146592	0.00368149
i	0.00277955	0.000119274	0.0115523	0.873597	0.0475465	0.0166137	0.0070147	0.00428696	0.00987815	0.00323842	0.0083767	0.00963277	0.00123455	0.00176511	0.00236456
