 	ne	pense	pas	trop	à	cela	parce	qu'	il	blague	seulement	</S>
o	0.890488	0.0335548	0.0162102	0.00600727	0.00624126	0.00734345	0.00963315	0.012297	0.013454	0.00261155	0.00200963	0.0001493
t	0.10431	0.483374	0.0650918	0.0265864	0.01327	0.0102567	0.0143106	0.0159195	0.0238603	0.051293	0.153311	0.0384173
a	0.00962217	0.373047	0.0390874	0.141889	0.0378962	0.0333673	0.0586825	0.0219068	0.0410295	0.0767931	0.148897	0.0177821
a	0.0240271	0.49689	0.0445064	0.0617835	0.0348076	0.0354362	0.0306514	0.0207981	0.0277929	0.0533284	0.104754	0.0652236
w	0.346335	0.149791	0.307126	0.0548821	0.0255828	0.0183938	0.0183428	0.0144949	0.0111274	0.0132031	0.00311735	0.0376039
á	0.115023	0.0191872	0.109274	0.0804687	0.0479087	0.0620738	0.0746853	0.130744	0.103805	0.0805762	0.0183742	0.157879
á	0.0816533	0.0323807	0.168683	0.104333	0.0414145	0.0401118	0.0680668	0.105911	0.101431	0.0374364	0.0135139	0.205065
o	0.0191921	0.0217406	0.234682	0.223499	0.20096	0.0969588	0.051122	0.0259352	0.0237399	0.0319742	0.0306543	0.0395419
b	0.0101101	0.121937	0.0853013	0.175406	0.236201	0.123554	0.0646406	0.0156626	0.0242338	0.0706334	0.0145305	0.0577906
a	0.00756996	0.125401	0.0714893	0.129179	0.183926	0.148282	0.098373	0.0326285	0.0559377	0.0791857	0.00961332	0.0584148
r	0.00892176	0.0764767	0.107801	0.211802	0.119609	0.101914	0.096332	0.0352075	0.0421894	0.0337776	0.01276	0.153209
í	0.0134984	0.0150559	0.165819	0.210038	0.0833262	0.0737649	0.141332	0.0714039	0.0500404	0.0291169	0.0290357	0.117568
í	0.00722377	0.00472798	0.144086	0.129886	0.15311	0.131404	0.160671	0.10869	0.0964412	0.0463246	0.00274177	0.014695
t	0.00343814	0.0043762	0.0582673	0.0849679	0.182309	0.218302	0.167462	0.0973264	0.0856911	0.0689844	0.0137128	0.0151622
s	0.0015769	0.00312158	0.0522881	0.190695	0.116182	0.115955	0.0899046	0.0486459	0.079057	0.202471	0.019744	0.0803592
í	0.000384454	0.00173672	0.0345182	0.114372	0.102432	0.194856	0.211039	0.0933803	0.0985165	0.0963052	0.0213391	0.0311204
n	0.000353292	0.00132364	0.0228234	0.0417025	0.0479977	0.114248	0.161859	0.10822	0.176051	0.114074	0.0356414	0.175707
a	0.00175954	0.00240633	0.00602892	0.00665025	0.0116016	0.0439186	0.168329	0.134452	0.158526	0.0597925	0.175189	0.231346
w	0.00103913	0.000788073	0.0209285	0.0197989	0.0539727	0.0875795	0.132636	0.188484	0.256072	0.15493	0.0310409	0.0527306
a	0.00303374	0.00165209	0.017	0.0369573	0.0438549	0.117817	0.189324	0.265025	0.225617	0.0546982	0.0101424	0.0348782
b	0.000478815	0.000193468	0.00608184	0.0124574	0.0204895	0.048303	0.129377	0.254231	0.252026	0.16213	0.0403184	0.0739148
h	0.00343927	0.00723067	0.0115845	0.0271775	0.0494977	0.140629	0.328607	0.189171	0.124183	0.0357484	0.00782515	0.0749065
έ	0.00043891	0.00159472	0.00371797	0.00595275	0.020966	0.115351	0.113336	0.101795	0.149182	0.119296	0.0276123	0.340757
ε	0.000181861	0.000430951	0.00566682	0.00809481	0.018429	0.044449	0.0500618	0.0503129	0.0974632	0.272772	0.203086	0.249052
l	0.00091489	0.000315483	0.00908348	0.009635	0.0165806	0.0356753	0.0242937	0.0466302	0.0571838	0.390675	0.108574	0.300438
á	0.000991124	0.000890369	0.00767435	0.00883578	0.0115726	0.0242538	0.0405093	0.0441935	0.0716697	0.458923	0.111143	0.219343
a	0.00129163	0.00117822	0.00980603	0.00781757	0.0121549	0.0244838	0.0859875	0.209975	0.254286	0.115252	0.219218	0.0585486
k	0.00141105	0.00371186	0.0153158	0.00866123	0.0157926	0.0204633	0.0239113	0.0170001	0.0403694	0.206689	0.435193	0.211482
y	7.40302e-05	0.00118392	0.00352887	0.01023	0.00674897	0.0141248	0.0102518	0.00767049	0.0275845	0.609819	0.114876	0.193907
á	0.00183477	0.00499377	0.021358	0.031554	0.0342621	0.0734849	0.129315	0.0598076	0.0821267	0.388429	0.0842638	0.0885699
i	0.000860435	0.000802424	0.00909228	0.0118716	0.0124902	0.0296023	0.0756195	0.109237	0.117778	0.18647	0.104698	0.341478
k	0.000925985	0.000400903	0.00332993	0.00348281	0.00421482	0.011591	0.00815495	0.0159869	0.0277417	0.134305	0.392284	0.397582
y	0.000203694	0.000652929	0.007813	0.00900776	0.0111314	0.0387826	0.0251264	0.0105731	0.0166893	0.134253	0.443836	0.30193
έ	0.00070754	0.0013651	0.0117481	0.0133672	0.0168056	0.0452469	0.0561306	0.0257576	0.0389268	0.29814	0.259688	0.232116
έ	9.71453e-05	0.000229012	0.00350613	0.00381702	0.00632408	0.0186791	0.0295973	0.0331753	0.0514416	0.162364	0.370316	0.320453
</S>	0.000412552	0.000379993	0.00787381	0.00576903	0.00959036	0.0212157	0.00988142	0.0245689	0.0346961	0.128263	0.292795	0.464554
