 	des	gens	se	sont	réunis	en	grand	nombre	au	milieu	du	village	pour	écouter	la	parole	de	dieu	</S>
b	0.287367	0.67427	0.0164829	0.00442903	0.00119125	0.00323174	0.00380715	0.00388755	0.000343329	0.000999563	0.0017818	0.00047672	0.0012115	0.000261965	0.000108872	2.08088e-05	9.03087e-05	2.65555e-05	1.19894e-05
a	0.0142759	0.952339	0.00744779	0.00121418	0.000337486	0.00110501	0.00102619	0.0119481	0.000157355	0.000190215	0.000196369	1.91797e-05	0.00122873	0.00805828	9.9526e-05	8.91551e-05	0.000218025	3.76788e-05	1.16024e-05
r	0.00681517	0.980271	0.00434571	0.000610618	0.000307798	0.000497748	0.000360035	0.00322819	0.000141478	0.000106192	6.31899e-05	2.98693e-05	0.000264201	0.00270463	5.27169e-05	2.78048e-05	3.05224e-05	5.81655e-05	8.45156e-05
e	0.556746	0.271662	0.0192969	0.00363699	0.0491397	0.0107167	0.00843729	0.00203044	0.00700586	0.00508779	0.000787226	0.000404119	0.00419343	0.0230478	0.00197143	0.00240944	0.00130786	0.00184866	0.0302708
á	0.262875	0.0428645	0.43075	0.167885	0.0220701	0.0187414	0.00512857	0.00210838	0.0089492	0.00468742	0.00588059	0.000605643	0.00524389	0.00291473	0.00512901	0.00245666	0.00248016	0.000202379	0.00902708
k	0.0190271	0.000863532	0.160805	0.403662	0.306293	0.0331865	0.0111137	0.00188144	0.0268182	0.0103929	0.00476447	0.00227814	0.00276145	0.00122651	0.00520927	0.00237745	0.00193197	0.000266509	0.00514106
o	0.00462219	0.00190319	0.0195695	0.0952948	0.723796	0.0480358	0.0278826	0.00552359	0.0219884	0.0128622	0.00537252	0.00268409	0.00480974	0.00225888	0.00652329	0.00335579	0.00228845	0.000420024	0.010809
í	0.0112929	0.00572678	0.0585292	0.089875	0.583176	0.104519	0.058056	0.0129053	0.0167766	0.00914963	0.00984251	0.0160671	0.0057677	0.00303264	0.00528376	0.000844304	0.000692146	0.000134322	0.00832943
d	0.0129203	0.00135101	0.204851	0.289408	0.116937	0.21933	0.0578911	0.0218638	0.0189648	0.00962853	0.0139738	0.00287861	0.00622592	0.00209181	0.00514832	0.00235332	0.00384778	0.000634516	0.00969908
z	0.0021971	3.25034e-05	0.038508	0.0996337	0.473363	0.212055	0.0467972	0.0011453	0.0391156	0.016683	0.00732884	0.00102074	0.00203604	0.00205014	0.00684381	0.00728766	0.00591613	0.00254898	0.0354379
e	0.00436137	9.20936e-05	0.0248998	0.0538615	0.536586	0.193641	0.0562142	0.000674928	0.0397491	0.027524	0.00741572	0.00672869	0.00278315	0.00494348	0.00615103	0.00795196	0.00387641	0.0108434	0.0117015
n	0.00881294	0.00227087	0.0696187	0.0456459	0.0455503	0.212266	0.223625	0.0688106	0.0852282	0.0772437	0.0311741	0.00721804	0.0107901	0.0159604	0.0158736	0.014498	0.00961973	0.002771	0.0530234
d	0.0058547	0.00320205	0.0178583	0.044959	0.108021	0.182758	0.313768	0.0242133	0.0268036	0.0484283	0.046081	0.00419246	0.0235062	0.0105366	0.0264338	0.023403	0.0210942	0.0229678	0.0459189
z	0.00301792	9.52276e-05	0.00668221	0.00735351	0.0713056	0.199903	0.497246	0.018801	0.0612504	0.0313628	0.0145869	0.00268746	0.0064123	0.0263644	0.0069455	0.00783323	0.00537905	0.0201123	0.0126612
é	0.00157337	0.000320299	0.00923014	0.0100591	0.171341	0.118884	0.289846	0.00409279	0.0727737	0.0544577	0.01316	0.0205161	0.00877899	0.0247019	0.0129385	0.0305143	0.0111879	0.0773917	0.068233
