 	il	a	les	sourcils	en	broussaille	</S>
w	0.825982	0.132037	0.0331261	0.00384958	0.00421611	0.000421578	0.000367811
a	0.536186	0.435471	0.0262059	0.000118722	0.00172429	8.54134e-05	0.000208918
i	0.0738152	0.333832	0.426348	0.104501	0.0559042	0.00218347	0.00341577
k	0.0373444	0.156268	0.567314	0.127842	0.0600255	0.00134711	0.0498586
í	0.0412862	0.105534	0.169684	0.534813	0.0837554	0.00257947	0.062348
i	0.00292104	0.0765996	0.298709	0.414627	0.187944	0.013009	0.00619108
í	0.119845	0.136446	0.538843	0.0226232	0.157077	0.010097	0.0150688
d	0.00332166	0.0241194	0.237335	0.129616	0.50308	0.0973803	0.00514717
í	0.000178066	0.00374679	0.14437	0.0792544	0.439916	0.192006	0.140528
f	0.00244597	0.00489717	0.099236	0.0382836	0.254265	0.388842	0.21203
u	0.00246347	0.00410151	0.00737992	0.0156951	0.133057	0.318318	0.518984
ú	0.000395704	0.00149111	0.00975845	0.0128254	0.10728	0.43847	0.429779
u	0.00338519	0.00930345	0.0227998	0.00252771	0.0514724	0.184644	0.725867
</S>	0.00206974	0.00169154	0.0078459	0.00376804	0.0533884	0.105736	0.8255
