 	le	ballon	est	rond	</S>
d	0.511793	0.409738	0.0754333	0.000604716	0.00243167
i	0.253254	0.699807	0.0288652	0.0103178	0.00775651
n	0.151555	0.685834	0.109681	0.0198033	0.0331271
g	0.0833901	0.89176	0.00828507	0.0143553	0.00220977
a	0.492675	0.408156	0.0352219	0.0119943	0.0519523
í	0.0685694	0.0383624	0.655968	0.062395	0.174705
d	0.0571056	0.0132001	0.201761	0.583849	0.144084
i	0.00596401	0.00104551	0.0869586	0.181876	0.724155
y	0.0375977	0.003592	0.0935508	0.406033	0.459226
έ	0.00301566	0.00129472	0.00372285	0.878727	0.11324
r	0.00123614	0.00199242	0.0138521	0.820823	0.162096
ε	0.0113515	0.043104	0.0270854	0.746259	0.1722
r	0.007631	0.00466529	0.0292178	0.471781	0.486704
ε	0.0236861	0.0282004	0.0249196	0.365157	0.558037
</S>	0.0122028	0.00951038	0.0301914	0.311256	0.63684
