 	la	grosse	chenille	velue	m'	a	piqué	</S>
e	0.568998	0.341314	0.0762501	0.00651104	0.0048231	0.00178214	0.0002734	4.81034e-05
t	0.125858	0.837396	0.0145963	0.00286781	0.00136222	0.00282893	0.0137118	0.00137923
ώ	0.0161446	0.907424	0.0685069	0.00323617	0.000216081	0.000816264	0.00142125	0.00223448
n	0.0389103	0.893352	0.0624443	0.000311697	0.000122285	0.000352069	0.00167882	0.00282814
í	0.193313	0.776064	0.0116404	0.00503975	0.00160111	0.00131905	0.00136312	0.00966021
é	0.33132	0.108933	0.47036	0.0287731	0.0138481	0.024277	0.00217171	0.0203176
t	0.113305	0.0227057	0.265991	0.26044	0.0962469	0.178649	0.00806238	0.0546005
έ	0.0592774	0.162802	0.209928	0.196206	0.0271759	0.172614	0.0252348	0.146761
ε	0.0565425	0.0672105	0.159631	0.162006	0.0613978	0.0446466	0.0485685	0.399997
n	0.00658915	0.00068662	0.0411891	0.225276	0.582256	0.108219	0.0207964	0.0149883
g	0.00418998	0.00167855	0.0208805	0.597136	0.336361	0.0242845	0.0101253	0.00534405
á	0.0069545	0.00313471	0.0533281	0.543494	0.336241	0.0210731	0.0272368	0.00853819
</S>	0.0101299	0.00272861	0.0709319	0.268067	0.30188	0.257275	0.0559166	0.0330713
