 	on	m'	a	dit	que	c'	est	vous	qui	êtes	le	chef	de	ce	village	</S>
á	0.605553	0.110288	0.0287922	0.00324014	0.00745947	0.0223408	0.0162077	0.017485	0.0235654	0.00633577	0.134044	0.0165315	0.00323662	0.00429217	0.000378544	0.000250484
s	0.0547144	0.0300209	0.144272	0.349396	0.0249397	0.0069224	0.0167736	0.0352261	0.108753	0.0499116	0.127572	0.0433751	0.00612789	0.000597212	0.00103483	0.000363689
ε	0.0227119	0.0708646	0.0598658	0.271499	0.0223537	0.00914683	0.0140897	0.0834986	0.184642	0.125898	0.0600713	0.00826306	0.0187474	0.00812207	0.000172784	0.0400528
r	0.0115891	0.0353858	0.0952865	0.141869	0.0367407	0.0313821	0.0664045	0.0319511	0.074021	0.0752551	0.0582262	0.00376132	0.0585035	0.0344533	0.00143382	0.243737
i	0.142958	0.198285	0.110739	0.0354567	0.0473959	0.0133868	0.0535122	0.0804564	0.0764671	0.0532063	0.0425792	0.00481307	0.0432566	0.0570706	0.00127267	0.0391441
l	0.0839092	0.426914	0.124531	0.0927668	0.0500939	0.0171371	0.0261595	0.0360214	0.0251078	0.0196543	0.0190518	0.000937259	0.0119358	0.0186907	0.00153909	0.0455501
a	0.0540799	0.0686283	0.0956234	0.0758573	0.0748476	0.0306136	0.0496223	0.0311972	0.0411312	0.0921033	0.0490058	0.00895232	0.0487045	0.083386	0.00307996	0.193167
n	0.0501901	0.405909	0.0406209	0.0281306	0.0338929	0.017902	0.0386688	0.119748	0.121163	0.0594928	0.0101875	0.00342811	0.0242823	0.0162385	0.000487175	0.0296577
g	0.0189872	0.407495	0.0129284	0.011713	0.0259922	0.00943363	0.0148472	0.235105	0.105563	0.0504806	0.0278859	0.00644726	0.0378117	0.0160794	0.00019013	0.0190409
á	0.00389698	0.231327	0.030736	0.0306123	0.0486959	0.00826317	0.0141569	0.250879	0.125779	0.176423	0.0258449	0.00931365	0.0193895	0.00614363	0.00030735	0.0182318
w	0.00407634	0.00912894	0.0457958	0.0663221	0.210766	0.16228	0.121164	0.0460619	0.127478	0.0825143	0.083857	0.00684767	0.00847495	0.0145829	0.00263439	0.00801603
á	0.0162767	0.0232163	0.0606109	0.0256308	0.13674	0.137988	0.0645442	0.0621322	0.139477	0.139986	0.0782725	0.0314607	0.0409549	0.0167228	0.00059324	0.0253933
r	0.00772129	0.0385941	0.012987	0.0140251	0.062036	0.147237	0.0985742	0.132598	0.153508	0.110777	0.0693705	0.0518492	0.0205965	0.0226581	0.0190664	0.0384018
e	0.00512879	0.0489158	0.0115896	0.0314214	0.0713564	0.0259813	0.0657286	0.367265	0.226731	0.0922646	0.0239019	0.00521355	0.00700304	0.00459234	0.000113532	0.0127927
n	0.00126489	0.00773251	0.0419233	0.054902	0.0932286	0.0867217	0.106771	0.0956955	0.236454	0.130927	0.108831	0.00474509	0.0142431	0.00855642	0.000263643	0.00774016
ώ	0.00201359	0.0215273	0.0126221	0.0504455	0.0963316	0.0335609	0.086495	0.165404	0.204604	0.215783	0.0326361	0.00538169	0.00990792	0.00803651	0.000306496	0.0549455
m	0.000686758	0.00415575	0.0244768	0.0324126	0.0626575	0.0893358	0.124211	0.0884433	0.19736	0.19428	0.139506	0.00871695	0.0151312	0.00990901	0.000798186	0.00791882
o	0.0049359	0.0104356	0.0145787	0.0427275	0.080622	0.183024	0.145678	0.0256465	0.0711677	0.120606	0.0661852	0.069453	0.0669996	0.0489918	0.00167116	0.0472775
r	0.000757128	0.00126233	0.0047186	0.00801708	0.0417657	0.160127	0.195579	0.0526605	0.14416	0.11293	0.127172	0.109866	0.0224521	0.00712288	0.00356629	0.0078437
o	0.0014819	0.00115876	0.00129707	0.00759113	0.0178235	0.0266307	0.0513598	0.0431807	0.329087	0.239553	0.0817558	0.127978	0.0573414	0.00318956	0.000562792	0.0100086
y	0.000753805	0.00300489	0.00401979	0.00766051	0.0402946	0.0618189	0.0871529	0.0731619	0.130137	0.148116	0.273783	0.0488395	0.0904936	0.0191365	0.00273046	0.00889714
e	0.00804329	0.00553929	0.00752163	0.0141204	0.0547442	0.101227	0.161998	0.0588475	0.184003	0.117676	0.0911583	0.0987791	0.0330799	0.0186165	0.0333439	0.0113008
e	0.00254124	0.00216456	0.00658529	0.0115262	0.0548711	0.0913483	0.262526	0.0809668	0.0712788	0.0877393	0.0925806	0.0202968	0.0670453	0.097069	0.0162231	0.0352373
d	0.000211385	0.000349362	0.00197926	0.00523853	0.00730458	0.0133799	0.0126436	0.00797793	0.0322766	0.192764	0.0618198	0.368524	0.165013	0.0303281	0.0360653	0.0641251
í	8.98023e-05	0.000136172	0.00132665	0.0322241	0.010012	0.0139766	0.0325156	0.0259047	0.0490066	0.163084	0.174715	0.110141	0.167982	0.0353296	0.0348998	0.148656
o	0.000109936	0.000247466	0.000823687	0.00975716	0.0180985	0.0267495	0.0608631	0.0195854	0.0536472	0.147259	0.228192	0.0395545	0.158086	0.0995927	0.0235497	0.113883
k	5.46043e-05	9.53967e-05	0.000348646	0.00199712	0.00316173	0.00552264	0.00878914	0.00728806	0.0300581	0.196191	0.0818999	0.0515877	0.330183	0.119227	0.0634648	0.100131
o	5.64006e-05	2.20877e-05	0.000190595	0.000317415	0.00236043	0.00626601	0.00456049	0.00527092	0.0100721	0.0623168	0.060315	0.406125	0.204452	0.022287	0.0955888	0.119799
n	1.48959e-05	5.62258e-06	2.82199e-05	6.9144e-05	0.00104976	0.00347921	0.00269629	0.000985535	0.00678364	0.0672184	0.0607198	0.543629	0.117138	0.0238517	0.153634	0.0186963
d	0.000259727	5.4432e-05	0.000137706	0.000484762	0.00334038	0.00686623	0.00851403	0.000824366	0.00720686	0.104384	0.0423544	0.634696	0.0818245	0.0199803	0.0236965	0.0653756
z	0.000247071	0.000162877	0.000175481	0.000627817	0.00925956	0.0135655	0.022536	0.0050145	0.0176579	0.111028	0.0586103	0.440475	0.104176	0.028216	0.0122734	0.175974
i	0.000297655	0.000118862	0.000121815	0.00023828	0.00766272	0.016323	0.0173533	0.00895086	0.00834395	0.0528284	0.0477717	0.514042	0.102291	0.0479902	0.0459908	0.129675
y	0.000975294	0.000585257	0.00161381	0.00181955	0.00689951	0.0102011	0.023572	0.00916278	0.0171037	0.0538525	0.0326629	0.0104189	0.204845	0.366879	0.0232612	0.236148
a	0.00140802	0.00144468	0.00117768	0.00235152	0.0137177	0.0220939	0.0532496	0.0336544	0.0212372	0.0373358	0.021634	0.00711603	0.0967992	0.133745	0.204176	0.348859
p	0.000775906	0.000971877	0.00106362	0.00243326	0.00585949	0.00811741	0.0493578	0.034134	0.0157349	0.00849029	0.0176704	0.000736605	0.0210544	0.117323	0.677644	0.0386331
o	0.000104522	0.000103197	0.000221442	0.000182376	0.00103214	0.0025612	0.00270027	0.00288234	0.000980626	0.000716062	0.00315035	0.00105515	0.00584415	0.0114881	0.953418	0.0135604
o	7.06161e-05	5.37262e-05	3.83445e-05	0.000142861	0.000367315	0.000723625	0.000963271	0.000261092	0.0004196	0.00403589	0.00199324	0.00354427	0.00427361	0.00873557	0.940539	0.0338381
y	0.000522644	0.000309122	0.000594536	0.00253256	0.0064792	0.00796996	0.0170673	0.00375517	0.00771216	0.0173228	0.046655	0.00145413	0.0455638	0.191665	0.230725	0.419671
é	0.00172375	0.00314972	0.0105397	0.0298766	0.0758074	0.0591642	0.151397	0.0556449	0.0393424	0.0371755	0.0884116	0.00466271	0.0568233	0.164097	0.100235	0.12195
</S>	0.00222969	0.00337165	0.00389242	0.00807133	0.0106579	0.0127863	0.0632305	0.0691355	0.0243395	0.0229079	0.0282047	0.00148976	0.0255813	0.210911	0.107754	0.405437
