 	qu'	est-ce	que	le	féticheur	vous	a	donné	comme	conseils	</S>
e	0.320642	0.169664	0.203861	0.103897	0.0604147	0.00676382	0.0660252	0.0237506	0.0251097	0.00142549	0.0184468
s	0.010714	0.342523	0.0399124	0.0187201	0.00837267	0.00255232	0.185043	0.376523	0.00859182	0.00566285	0.00138497
i	0.00836387	0.482811	0.170595	0.0631097	0.00958566	0.00697253	0.040094	0.181447	0.0125068	0.00783306	0.0166808
έ	0.0109989	0.28215	0.212672	0.0729667	0.00869845	0.00926107	0.0146298	0.0369492	0.0365872	0.0472629	0.267824
y	0.183083	0.063879	0.229679	0.105319	0.0372983	0.0139084	0.0390365	0.0435886	0.0542341	0.0124297	0.217544
ó	0.264852	0.0487041	0.110367	0.18619	0.0727624	0.0272948	0.0295367	0.0318407	0.0503666	0.00437131	0.173715
n	0.066332	0.00351725	0.0294865	0.295139	0.414213	0.13867	0.0280711	0.0071397	0.0095049	0.000640853	0.00728637
g	0.00456776	0.00174029	0.033219	0.307767	0.598811	0.043203	0.00246956	0.00204611	0.00350069	0.000186389	0.00248929
a	0.0024704	0.00216863	0.0387089	0.194353	0.59577	0.129779	0.00908802	0.00818772	0.0080563	0.00125042	0.0101686
n	0.00948013	0.0294523	0.0598325	0.227167	0.195563	0.118042	0.121612	0.0683252	0.13834	0.0157813	0.0164037
g	0.0452614	0.0160026	0.202297	0.155415	0.199898	0.0680714	0.117488	0.0439046	0.0626783	0.00411351	0.0848699
a	0.0216385	0.0143508	0.135549	0.169391	0.402835	0.110201	0.0506648	0.0277662	0.0387994	0.00973239	0.0190714
b	0.0836302	0.0263745	0.150868	0.0335451	0.0206581	0.0229958	0.348322	0.123256	0.165377	0.00654126	0.0184327
ó	0.0364135	0.0055895	0.0453118	0.0620193	0.0642012	0.0510008	0.294501	0.319162	0.0892857	0.00223211	0.0302829
ó	0.0190426	0.00632339	0.0841966	0.135724	0.0597982	0.126874	0.228	0.103266	0.223699	0.00494747	0.00812905
d	0.00411563	0.00257555	0.0181434	0.00858366	0.00612909	0.0144032	0.293651	0.452672	0.156351	0.0289051	0.0144704
z	0.00244765	0.0042963	0.0275701	0.00537296	0.000776991	0.0130986	0.210382	0.419862	0.14751	0.0345864	0.134097
w	0.0116177	0.0130492	0.0483289	0.206867	0.00605761	0.0158873	0.137002	0.302468	0.192939	0.0269607	0.0388233
e	0.0374169	0.00587072	0.02892	0.0659648	0.00461784	0.0171044	0.0595046	0.271877	0.324529	0.0679879	0.116207
b	0.00709648	0.0022559	0.0296406	0.0254015	0.00384787	0.035575	0.0447343	0.0686906	0.56852	0.108862	0.105376
í	0.00493744	0.00495058	0.0389225	0.026628	0.0173227	0.388552	0.0588131	0.104379	0.119135	0.0720073	0.164353
n	0.00333859	0.000959976	0.0132566	0.0495246	0.0283065	0.717632	0.0658644	0.0239785	0.0633057	0.0137213	0.0201119
í	0.00485536	0.00112865	0.0634161	0.05778	0.036902	0.542634	0.0865845	0.0523058	0.0642432	0.00715381	0.0829968
é	0.00073719	0.000705367	0.013851	0.00734594	0.00145956	0.0144718	0.249935	0.199062	0.292966	0.0717955	0.147672
d	0.00749652	0.0122888	0.0295423	0.00526763	0.000940599	0.00361009	0.0848211	0.227968	0.247026	0.338537	0.0425023
z	0.00196688	0.0075436	0.0440425	0.0045957	0.000106309	0.00374364	0.0391293	0.11026	0.15786	0.331262	0.29949
e	0.00977297	0.0138294	0.0255046	0.039462	0.000880737	0.0121569	0.0616728	0.0767097	0.252119	0.249794	0.258098
n	0.00915869	0.00217102	0.0263883	0.0529895	0.00092061	0.0210584	0.0268189	0.0778381	0.289946	0.203062	0.289648
d	0.00577122	0.00139501	0.0336026	0.042189	0.00538337	0.183588	0.0372604	0.0364341	0.107575	0.0819741	0.464827
é	0.00124918	0.00125814	0.0167556	0.0249951	0.0110224	0.186108	0.0334137	0.0158232	0.0635259	0.0823099	0.563539
</S>	0.000432894	0.000725119	0.00702985	0.00410025	0.000811204	0.00928542	0.06646	0.0810786	0.124454	0.0754137	0.630209
