 	ses	dents	sont	atteintes	de	carie	il	faut	les	lui	ôter	</S>
w	0.640155	0.28405	0.0226981	0.00596085	0.0143492	0.0108918	0.00493279	0.00955106	0.00593901	0.00111055	0.000311993	4.94777e-05
a	0.364014	0.494577	0.0612576	0.00412274	0.0214538	0.0274394	0.00317152	0.00915598	0.00507911	0.00247241	0.00718599	7.01052e-05
m	0.219704	0.549306	0.134381	0.0297403	0.0150423	0.0074377	0.00870399	0.0111261	0.00878629	0.0107803	0.00328827	0.00170378
í	0.155962	0.142314	0.364657	0.0783208	0.071866	0.0330215	0.0159676	0.00193056	0.0243607	0.0620804	0.00641337	0.0431061
n	0.105523	0.308014	0.31015	0.0913299	0.0278918	0.0206992	0.0352335	0.0210865	0.0229398	0.0181572	0.00410778	0.034867
a	0.10157	0.641231	0.0688431	0.0983956	0.0250349	0.0105422	0.00853696	0.00400969	0.00391169	0.00384624	0.00116951	0.0329092
á	0.0323054	0.056231	0.560948	0.227719	0.0671826	0.006309	0.00742385	0.00441753	0.00638367	0.00798155	0.0036471	0.0194517
d	0.00849517	0.0170583	0.241417	0.582751	0.108225	0.0113015	0.00305396	0.00305556	0.0047155	0.00978857	0.00104604	0.00909263
í	0.00609676	0.00217154	0.153773	0.660272	0.0999793	0.00960756	0.0047698	0.00163028	0.00452188	0.00607853	0.000453229	0.0506457
l	0.0280454	0.00256071	0.141446	0.401268	0.204695	0.0217709	0.0201355	0.0116112	0.0229133	0.0110943	0.00158868	0.13287
a	0.00273317	0.000743552	0.0457664	0.628956	0.22853	0.0213662	0.0193203	0.00681982	0.00978986	0.00798806	0.000423826	0.0275632
m	0.00456631	0.00186544	0.0385949	0.221594	0.155406	0.473454	0.0320895	0.0130858	0.0145334	0.00780883	0.00487525	0.032126
b	0.00200868	0.00105203	0.00351099	0.0165284	0.0369162	0.926174	0.00398127	0.000685432	0.00149829	0.00222794	0.00148361	0.00393318
o	0.000745357	0.000364461	0.00194982	0.00290524	0.018481	0.960242	0.00367279	0.000481281	0.000929105	0.00143132	0.00654667	0.00225103
n	0.000389018	0.000188702	0.00510841	0.00121555	0.00629576	0.97292	0.00649636	0.00107307	0.000531748	0.000784091	0.00124099	0.00375618
g	0.00168302	0.0013364	0.00639098	0.027115	0.0462229	0.887234	0.00739139	0.000682613	0.00212278	0.00365807	0.00193218	0.0142305
ó	0.00774677	0.012201	0.0118735	0.0477369	0.0653269	0.807031	0.0298119	0.00181719	0.00255196	0.00407293	0.00509298	0.00473681
k	0.00495008	0.0057548	0.0646798	0.0721003	0.259939	0.13401	0.296233	0.0673969	0.041518	0.0178059	0.0052583	0.0303548
á	0.00299235	0.000512174	0.0108701	0.0100261	0.0429511	0.0344942	0.321579	0.449914	0.0702298	0.0121398	0.000799003	0.0434929
a	0.00194664	0.000652751	0.0102343	0.0181266	0.0362181	0.0104236	0.379885	0.349863	0.0779374	0.0300962	0.00485061	0.0797662
b	0.00136435	0.000261304	0.0048925	0.00489782	0.0108777	0.00773264	0.233058	0.276625	0.290237	0.116955	0.0146284	0.0384716
á	0.00156235	0.000268794	0.00357816	0.0010688	0.00820404	0.0114097	0.0913618	0.629582	0.160621	0.0485265	0.0152478	0.0285691
a	0.00157874	0.000705958	0.00244169	0.00286997	0.0094225	0.00295447	0.0988348	0.628002	0.154461	0.0412312	0.0371014	0.0203968
w	0.00106305	0.000326058	0.0120068	0.00655773	0.0138747	0.00505998	0.057036	0.199824	0.299552	0.213537	0.0285295	0.162633
ó	0.00178455	0.00102353	0.015709	0.00721122	0.0196258	0.0546181	0.0440668	0.19798	0.156284	0.230717	0.182983	0.0879975
n	0.000236272	4.53439e-05	0.0016471	0.00187225	0.00446065	0.0239387	0.0805463	0.164038	0.107848	0.18031	0.208224	0.226835
g	0.00900402	0.00322505	0.0140393	0.0129474	0.0445711	0.0861926	0.0658235	0.0755922	0.160553	0.161214	0.120868	0.24597
á	0.00293109	0.00557354	0.00259922	0.0176413	0.024345	0.231338	0.116028	0.0915226	0.068722	0.0775036	0.258962	0.102834
w	0.00233027	9.54103e-05	0.00202677	0.00191054	0.00488234	0.00264359	0.0543423	0.149452	0.276732	0.146998	0.0324087	0.326178
a	0.0017362	7.69375e-05	0.00241783	0.00302902	0.00514411	0.00931949	0.0993825	0.21971	0.182143	0.313784	0.077953	0.0853034
m	0.00076485	5.67013e-05	0.000644427	0.000617588	0.00161889	0.00100616	0.0308	0.140571	0.120882	0.149817	0.0874325	0.46579
á	0.00124123	0.000437011	0.00615693	0.00257994	0.0159086	0.0307723	0.0180841	0.0142414	0.150646	0.408557	0.171316	0.18006
a	0.00181482	0.00102342	0.00685788	0.00702129	0.017485	0.0122596	0.0233174	0.0951505	0.17994	0.263041	0.153461	0.238628
</S>	0.000293595	0.000311525	0.00428526	0.00335871	0.00771756	0.00299274	0.00619277	0.0248733	0.0518735	0.10496	0.0756565	0.717485
